,,,,,,,,,
,tmdb_id,nominee,year,festival,category,won,movie_title,,
,21231,Woody Allen,1984,BAFTA,Best Original Screenplay,TRUE,Zelig,,
,21232,Bill Forsyth,1984,BAFTA,Best Original Screenplay,FALSE,Local Hero,,
,21233,Bob Gale; Robert Zemeckis,1984,BAFTA,Best Original Screenplay,FALSE,Back to the Future,,
,21234,John Cassavetes,1984,BAFTA,Best Original Screenplay,FALSE,Gloria,,
,21235,Ruth Prawer Jhabvala,1984,BAFTA,Best Adapted Screenplay,TRUE,Heat and Dust,,
,21236,Willy Russell,1984,BAFTA,Best Adapted Screenplay,FALSE,Educating Rita,,
,21237,Harold Pinter,1984,BAFTA,Best Adapted Screenplay,FALSE,Betrayal,,
,21238,Dustin Hoffman; Murray Schisgal,1984,BAFTA,Best Adapted Screenplay,FALSE,Tootsie,,
,21239,Woody Allen,1985,BAFTA,Best Original Screenplay,TRUE,Broadway Danny Rose,,
,21240,Bill Forsyth,1985,BAFTA,Best Original Screenplay,FALSE,Comfort and Joy,,
,21241,Lawrence Kasdan; Barbara Benedek,1985,BAFTA,Best Original Screenplay,FALSE,The Big Chill,,
,21242,John Briley,1985,BAFTA,Best Original Screenplay,FALSE,Gandhi,,
,21243,Bruce Robinson,1985,BAFTA,Best Adapted Screenplay,TRUE,The Killing Fields,,
,21244,Julian Mitchell,1985,BAFTA,Best Adapted Screenplay,FALSE,Another Country,,
,21245,Ronald Harwood,1985,BAFTA,Best Adapted Screenplay,FALSE,The Dresser,,
,21246,Peter Shaffer,1985,BAFTA,Best Adapted Screenplay,FALSE,Amadeus,,
,21239,Woody Allen,1986,BAFTA,Best Original Screenplay,TRUE,The Purple Rose of Cairo,,
,21247,Robert Zemeckis; Bob Gale,1986,BAFTA,Best Original Screenplay,FALSE,Back to the Future,,
,21248,Earl W. Wallace; William Kelley,1986,BAFTA,Best Original Screenplay,FALSE,Witness,,
,21249,Terry Gilliam; Tom Stoppard; Charles McKeown,1986,BAFTA,Best Original Screenplay,FALSE,Brazil,,
,21250,Richard Eyre; Charles Wood,1986,BAFTA,Best Adapted Screenplay,TRUE,The Ploughman's Lunch,,
,21251,Kurt Luedtke,1986,BAFTA,Best Adapted Screenplay,FALSE,Out of Africa,,
,21252,Alice Walker; Menno Meyjes,1986,BAFTA,Best Adapted Screenplay,FALSE,The Color Purple,,
,21253,Janet Roach; Richard Condon,1986,BAFTA,Best Adapted Screenplay,FALSE,Prizzi's Honor,,
,21231,Woody Allen,1987,BAFTA,Best Original Screenplay,TRUE,Hannah and Her Sisters,,
,21254,John Patrick Shanley,1987,BAFTA,Best Original Screenplay,FALSE,Moonstruck,,
,21255,John Boorman,1987,BAFTA,Best Original Screenplay,FALSE,Hope and Glory,,
,21256,David Leland,1987,BAFTA,Best Original Screenplay,FALSE,Wish You Were Here,,
,21257,Claude Berri; Gérard Brach,1987,BAFTA,Best Adapted Screenplay,TRUE,Jean de Florette,,
,21258,Ruth Prawer Jhabvala,1987,BAFTA,Best Adapted Screenplay,FALSE,A Room with a View,,
,21259,Beth Henley,1987,BAFTA,Best Adapted Screenplay,FALSE,Crimes of the Heart,,
,21260,Hugh Whitemore,1987,BAFTA,Best Adapted Screenplay,FALSE,84 Charing Cross Road,,
,21261,David Lean,1988,BAFTA,Best Original Screenplay,TRUE,A Passage to India,,
,21262,Louis Malle,1988,BAFTA,Best Original Screenplay,FALSE,Au Revoir les Enfants,,
,21263,John Fishman; David Mickey Evans,1988,BAFTA,Best Original Screenplay,FALSE,Radio Flyer,,
,21264,Nora Ephron,1988,BAFTA,Best Original Screenplay,FALSE,When Harry Met Sally...,,
,21265,Bernardo Bertolucci; Mark Peploe,1988,BAFTA,Best Adapted Screenplay,TRUE,The Last Emperor,,
,21266,James Dearden,1988,BAFTA,Best Adapted Screenplay,FALSE,Fatal Attraction,,
,21267,James Ivory,1988,BAFTA,Best Adapted Screenplay,FALSE,Maurice,,
,21268,Tom Stoppard,1988,BAFTA,Best Adapted Screenplay,FALSE,Empire of the Sun,,
,21264,Nora Ephron,1990,BAFTA,Best Original Screenplay,TRUE,When Harry Met Sally...,,
,21231,Woody Allen,1990,BAFTA,Best Original Screenplay,FALSE,Crimes and Misdemeanors,,
,21269,Tom Schulman,1990,BAFTA,Best Original Screenplay,FALSE,Dead Poets Society,,
,21270,Steven Soderbergh,1990,BAFTA,Best Original Screenplay,FALSE,Sex, Lies, and Videotape
,21271,Christopher Hampton,1990,BAFTA,Best Adapted Screenplay,TRUE,Dangerous Liaisons,,
,21272,Alfred Uhry,1990,BAFTA,Best Adapted Screenplay,FALSE,Driving Miss Daisy,,
,21273,Jim Sheridan; Shane Connaughton,1990,BAFTA,Best Adapted Screenplay,FALSE,My Left Foot,,
,21274,Willy Russell,1990,BAFTA,Best Adapted Screenplay,FALSE,Shirley Valentine,,
,21275,Bruce Robinson,1992,BAFTA,Best Original Screenplay,TRUE,Truly Madly Deeply,,
,21276,Callie Khouri,1992,BAFTA,Best Original Screenplay,FALSE,Thelma & Louise,,
,21277,Richard LaGravenese,1992,BAFTA,Best Original Screenplay,FALSE,The Fisher King,,
,21278,John Singleton,1992,BAFTA,Best Original Screenplay,FALSE,Boyz n the Hood,,
,21279,Ted Tally,1992,BAFTA,Best Adapted Screenplay,TRUE,The Silence of the Lambs,,
,21280,Fannie Flagg; Carol Sobieski,1992,BAFTA,Best Adapted Screenplay,FALSE,Fried Green Tomatoes,,
,21281,Oliver Stone; Zachary Sklar,1992,BAFTA,Best Adapted Screenplay,FALSE,JFK,,
,21282,Alan Bennett,1992,BAFTA,Best Adapted Screenplay,FALSE,The Madness of King George,,
,21283,Harold Ramis; Danny Rubin,1994,BAFTA,Best Original Screenplay,TRUE,Groundhog Day,,
,21284,Jane Campion,1994,BAFTA,Best Original Screenplay,FALSE,The Piano,,
,21285,Nora Ephron; David S. Ward,1994,BAFTA,Best Original Screenplay,FALSE,Sleepless in Seattle,,
,21286,Jeff Maguire,1994,BAFTA,Best Original Screenplay,FALSE,In the Line of Fire,,
,21287,Steven Zaillian,1994,BAFTA,Best Adapted Screenplay,TRUE,Schindler's List,,
,21288,William Nicholson,1994,BAFTA,Best Adapted Screenplay,FALSE,Shadowlands,,
,21289,Bo Goldman,1994,BAFTA,Best Adapted Screenplay,FALSE,Scent of a Woman,,
,21290,Ruth Prawer Jhabvala,1994,BAFTA,Best Adapted Screenplay,FALSE,The Remains of the Day,,
,21291,Quentin Tarantino; Roger Avary,1995,BAFTA,Best Original Screenplay,TRUE,Pulp Fiction,,
,21292,Stephan Elliott,1995,BAFTA,Best Original Screenplay,FALSE,The Adventures of Priscilla, Queen of the Desert,
,21293,Richard Curtis,1995,BAFTA,Best Original Screenplay,FALSE,Four Weddings and a Funeral,,
,21294,Fran Walsh; Peter Jackson,1995,BAFTA,Best Original Screenplay,FALSE,Heavenly Creatures,,
,21295,Paul Attanasio,1995,BAFTA,Best Adapted Screenplay,TRUE,Quiz Show,,
,21296,Eric Roth,1995,BAFTA,Best Adapted Screenplay,FALSE,Forrest Gump,,
,21297,Frank Darabont,1995,BAFTA,Best Adapted Screenplay,FALSE,The Shawshank Redemption,,
,21298,Ronald Harwood,1995,BAFTA,Best Adapted Screenplay,FALSE,The Browning Version,,
,21299,Matt Damon; Ben Affleck,1998,BAFTA,Best Original Screenplay,TRUE,Good Will Hunting,,
,21300,Simon Beaufoy,1998,BAFTA,Best Original Screenplay,FALSE,The Full Monty,,
,21301,Paul Thomas Anderson,1998,BAFTA,Best Original Screenplay,FALSE,Boogie Nights,,
,21302,Andrew Niccol,1998,BAFTA,Best Original Screenplay,FALSE,The Truman Show,,
,21303,Brian Helgeland; Curtis Hanson,1998,BAFTA,Best Adapted Screenplay,TRUE,L.A. Confidential,,
,21304,Atom Egoyan,1998,BAFTA,Best Adapted Screenplay,FALSE,The Sweet Hereafter,,
,21305,James Schamus,1998,BAFTA,Best Adapted Screenplay,FALSE,The Ice Storm,,
,21306,Baz Luhrmann; Craig Pearce,1998,BAFTA,Best Adapted Screenplay,FALSE,Romeo + Juliet,,
,21302,Andrew Niccol,1999,BAFTA,Best Original Screenplay,TRUE,The Truman Show,,
,21307,Alan Ball,1999,BAFTA,Best Original Screenplay,FALSE,American Beauty,,
,21308,Marc Norman; Tom Stoppard,1999,BAFTA,Best Original Screenplay,FALSE,Shakespeare in Love,,
,21309,M. Night Shyamalan,1999,BAFTA,Best Original Screenplay,FALSE,The Sixth Sense,,
,21310,Charlie Kaufman,1999,BAFTA,Best Adapted Screenplay,TRUE,Being John Malkovich,,
,21311,John Irving,1999,BAFTA,Best Adapted Screenplay,FALSE,The Cider House Rules,,
,21312,Frank Darabont,1999,BAFTA,Best Adapted Screenplay,FALSE,The Green Mile,,
,21313,Anthony Minghella,1999,BAFTA,Best Adapted Screenplay,FALSE,The Talented Mr. Ripley,,
,21314,Cameron Crowe,2001,BAFTA,Best Original Screenplay,TRUE,Almost Famous,,
,21315,Lee Hall,2001,BAFTA,Best Original Screenplay,FALSE,Billy Elliot,,
,21316,Susannah Grant,2001,BAFTA,Best Original Screenplay,FALSE,Erin Brockovich,,
,21317,David Franzoni; John Logan; William Nicholson,2001,BAFTA,Best Original Screenplay,FALSE,Gladiator,,
,21318,Stephen Gaghan,2001,BAFTA,Best Adapted Screenplay,TRUE,Traffic,,
,21319,James Schamus; Wang Hui-Ling; Kuo Jung Tsai,2001,BAFTA,Best Adapted Screenplay,FALSE,Crouching Tiger, Hidden Dragon,
,21320,Joel Coen; Ethan Coen,2001,BAFTA,Best Adapted Screenplay,FALSE,O Brother, Where Art Thou?,
,21321,Steven Zaillian; Kenneth Lonergan,2001,BAFTA,Best Adapted Screenplay,FALSE,Gangs of New York,,
,21322,Charlie Kaufman; Michel Gondry; Pierre Bismuth,2005,BAFTA,Best Original Screenplay,TRUE,Eternal Sunshine of the Spotless Mind,,
,21323,John Logan,2005,BAFTA,Best Original Screenplay,FALSE,The Aviator,,
,21324,Brad Bird,2005,BAFTA,Best Original Screenplay,FALSE,The Incredibles,,
,21325,Josh Marston,2005,BAFTA,Best Original Screenplay,FALSE,Maria Full of Grace,,
,21326,Alexander Payne; Jim Taylor,2005,BAFTA,Best Adapted Screenplay,TRUE,Sideways,,
,21327,Richard Linklater; Julie Delpy; Ethan Hawke,2005,BAFTA,Best Adapted Screenplay,FALSE,Before Sunset,,
,21328,David Magee,2005,BAFTA,Best Adapted Screenplay,FALSE,Finding Neverland,,
