tmdb_id,nominee,year,festival,category,won,movie_title
0,The Go-Between,1972,BAFTA,Best Costume Design,TRUE,The Go-Between
0,Travels with My Aunt,1973,BAFTA,Best Costume Design,TRUE,Travels with My Aunt
0,The Three Musketeers,1974,BAFTA,Best Costume Design,TRUE,The Three Musketeers
0,Chinatown,1975,BAFTA,Best Costume Design,TRUE,Chinatown
0,Barry Lyndon,1976,BAFTA,Best Costume Design,TRUE,Barry Lyndon
0,The Man Who Fell to Earth,1977,BAFTA,Best Costume Design,TRUE,The Man Who Fell to Earth
0,Star Wars,1978,BAFTA,Best Costume Design,TRUE,Star Wars
0,Death on the Nile,1979,BAFTA,Best Costume Design,TRUE,Death on the Nile
0,The Elephant Man,1981,BAFTA,Best Costume Design,TRUE,The Elephant Man
0,Chariots of Fire,1982,BAFTA,Best Costume Design,TRUE,Chariots of Fire
0,Gandhi,1983,BAFTA,Best Costume Design,TRUE,Gandhi
0,Fanny and Alexander,1984,BAFTA,Best Costume Design,TRUE,Fanny and Alexander
0,The Killing Fields,1985,BAFTA,Best Costume Design,TRUE,The Killing Fields
0,The Mission,1987,BAFTA,Best Costume Design,TRUE,The Mission
0,Jean de Florette,1988,BAFTA,Best Costume Design,TRUE,Jean de Florette
0,Dangerous Liaisons,1989,BAFTA,Best Costume Design,TRUE,Dangerous Liaisons
0,Henry V,1990,BAFTA,Best Costume Design,TRUE,Henry V
0,Cyrano de Bergerac,1991,BAFTA,Best Costume Design,TRUE,Cyrano de Bergerac
0,Bugsy,1992,BAFTA,Best Costume Design,TRUE,Bugsy
0,Howards End,1993,BAFTA,Best Costume Design,TRUE,Howards End
0,The Age of Innocence,1994,BAFTA,Best Costume Design,TRUE,The Age of Innocence
0,The Adventures of Priscilla Queen of the Desert,1995,BAFTA,Best Costume Design,TRUE,The Adventures of Priscilla Queen of the Desert
0,Richard III,1996,BAFTA,Best Costume Design,TRUE,Richard III
0,The English Patient,1997,BAFTA,Best Costume Design,TRUE,The English Patient
0,Titanic,1998,BAFTA,Best Costume Design,TRUE,Titanic
0,Elizabeth,1999,BAFTA,Best Costume Design,TRUE,Elizabeth
0,Topsy-Turvy,2000,BAFTA,Best Costume Design,TRUE,Topsy-Turvy
0,Gladiator,2001,BAFTA,Best Costume Design,TRUE,Gladiator
0,Moulin Rouge!,2002,BAFTA,Best Costume Design,TRUE,Moulin Rouge!
0,The Pianist,2003,BAFTA,Best Costume Design,TRUE,The Pianist
0,Lord of the Rings: The Return of the King,2004,BAFTA,Best Costume Design,TRUE,Lord of the Rings: The Return of the King
0,The Aviator,2005,BAFTA,Best Costume Design,TRUE,The Aviator
0,Memoirs of a Geisha,2006,BAFTA,Best Costume Design,TRUE,Memoirs of a Geisha
0,The Queen,2007,BAFTA,Best Costume Design,TRUE,The Queen
0,Elizabeth: The Golden Age,2008,BAFTA,Best Costume Design,TRUE,Elizabeth: The Golden Age
0,The Duchess,2009,BAFTA,Best Costume Design,TRUE,The Duchess
0,The Young Victoria,2010,BAFTA,Best Costume Design,TRUE,The Young Victoria
0,Alice in Wonderland,2011,BAFTA,Best Costume Design,TRUE,Alice in Wonderland
0,W.E.,2012,BAFTA,Best Costume Design,TRUE,W.E.
0,Anna Karenina,2013,BAFTA,Best Costume Design,TRUE,Anna Karenina
0,The Grand Budapest Hotel,2014,BAFTA,Best Costume Design,TRUE,The Grand Budapest Hotel
0,Cinderella,2016,BAFTA,Best Costume Design,TRUE,Cinderella
0,Jackie,2017,BAFTA,Best Costume Design,TRUE,Jackie
0,Phantom Thread,2018,BAFTA,Best Costume Design,TRUE,Phantom Thread
0,The Favourite,2019,BAFTA,Best Costume Design,TRUE,The Favourite
0,Little Women,2020,BAFTA,Best Costume Design,TRUE,Little Women
0,Mank,2021,BAFTA,Best Costume Design,TRUE,Mank
0,Belfast,2022,BAFTA,Best Costume Design,TRUE,Belfast
0,Everything Everywhere All at Once,2023,BAFTA,Best Costume Design,TRUE,Everything Everywhere All at Once
0,Poor Things,2024,BAFTA,Best Costume Design,TRUE,Poor Things
0,Conclave,2025,BAFTA,Best Costume Design,TRUE,Conclave
0,One Battle After Another,2026,BAFTA,Best Costume Design,TRUE,One Battle After Another
