tmdb_id,nominee,year,festival,category,won,movie_title
0,Local Hero,1984,BAFTA,Best Original Score,TRUE,Local Hero
0,The Killing Fields,1985,BAFTA,Best Original Score,TRUE,The Killing Fields
0,Out of Africa,1986,BAFTA,Best Original Score,TRUE,Out of Africa
0,Round Midnight,1987,BAFTA,Best Original Score,TRUE,Round Midnight
0,Empire of the Sun,1988,BAFTA,Best Original Score,TRUE,Empire of the Sun
0,The Milagro Beanfield War,1989,BAFTA,Best Original Score,TRUE,The Milagro Beanfield War
0,Born on the Fourth of July,1990,BAFTA,Best Original Score,TRUE,Born on the Fourth of July
0,Dances with Wolves,1991,BAFTA,Best Original Score,TRUE,Dances with Wolves
0,Bugsy,1992,BAFTA,Best Original Score,TRUE,Bugsy
0,Chaplin,1993,BAFTA,Best Original Score,TRUE,Chaplin
0,Schindler's List,1994,BAFTA,Best Original Score,TRUE,Schindler's List
0,The Lion King,1995,BAFTA,Best Original Score,TRUE,The Lion King
0,Braveheart,1996,BAFTA,Best Original Score,TRUE,Braveheart
0,The English Patient,1997,BAFTA,Best Original Score,TRUE,The English Patient
0,Titanic,1998,BAFTA,Best Original Score,TRUE,Titanic
0,Shakespeare in Love,1999,BAFTA,Best Original Score,TRUE,Shakespeare in Love
0,American Beauty,2000,BAFTA,Best Original Score,TRUE,American Beauty
0,Gladiator,2001,BAFTA,Best Original Score,TRUE,Gladiator
0,Amelie,2002,BAFTA,Best Original Score,TRUE,Amelie
0,The Hours,2003,BAFTA,Best Original Score,TRUE,The Hours
0,Cold Mountain,2004,BAFTA,Best Original Score,TRUE,Cold Mountain
0,Finding Neverland,2005,BAFTA,Best Original Score,TRUE,Finding Neverland
0,Brokeback Mountain,2006,BAFTA,Best Original Score,TRUE,Brokeback Mountain
0,Pan's Labyrinth,2007,BAFTA,Best Original Score,TRUE,Pan's Labyrinth
0,There Will Be Blood,2008,BAFTA,Best Original Score,TRUE,There Will Be Blood
0,Slumdog Millionaire,2009,BAFTA,Best Original Score,TRUE,Slumdog Millionaire
0,Up,2010,BAFTA,Best Original Score,TRUE,Up
0,The King's Speech,2011,BAFTA,Best Original Score,TRUE,The King's Speech
0,The Artist,2012,BAFTA,Best Original Score,TRUE,The Artist
0,Skyfall,2013,BAFTA,Best Original Score,TRUE,Skyfall
0,Gravity,2014,BAFTA,Best Original Score,TRUE,Gravity
0,The Grand Budapest Hotel,2015,BAFTA,Best Original Score,TRUE,The Grand Budapest Hotel
0,The Hateful Eight,2016,BAFTA,Best Original Score,TRUE,The Hateful Eight
0,La La Land,2017,BAFTA,Best Original Score,TRUE,La La Land
0,Three Billboards Outside Ebbing Missouri,2018,BAFTA,Best Original Score,TRUE,Three Billboards Outside Ebbing Missouri
0,If Beale Street Could Talk,2019,BAFTA,Best Original Score,TRUE,If Beale Street Could Talk
0,Joker,2020,BAFTA,Best Original Score,TRUE,Joker
0,Soul,2021,BAFTA,Best Original Score,TRUE,Soul
0,Spencer,2022,BAFTA,Best Original Score,TRUE,Spencer
0,All Quiet on the Western Front,2023,BAFTA,Best Original Score,TRUE,All Quiet on the Western Front
0,Oppenheimer,2024,BAFTA,Best Original Score,TRUE,Oppenheimer
0,Emilia Pérez,2025,BAFTA,Best Original Score,TRUE,Emilia Pérez
0,Sinners,2026,BAFTA,Best Original Score,TRUE,Sinners
