tmdb_id,nominee,year,festival,category,won,movie_title
0,Ian Holm,1969,BAFTA,Best Supporting Actor,TRUE,The Bofors Gun
0,Anthony Hopkins,1969,BAFTA,Best Supporting Actor,FALSE,The Lion in Winter
0,John McEnery,1969,BAFTA,Best Supporting Actor,FALSE,Romeo and Juliet
0,George Segal,1969,BAFTA,Best Supporting Actor,FALSE,No Way to Treat a Lady
0,Laurence Olivier,1970,BAFTA,Best Supporting Actor,TRUE,Oh! What a Lovely War
0,Jack Klugman,1970,BAFTA,Best Supporting Actor,FALSE,Goodbye Columbus
0,Jack Nicholson,1970,BAFTA,Best Supporting Actor,FALSE,Easy Rider
0,Robert Vaughn,1970,BAFTA,Best Supporting Actor,FALSE,Bullitt
0,Colin Welland,1971,BAFTA,Best Supporting Actor,TRUE,Kes
0,Bernard Cribbins,1971,BAFTA,Best Supporting Actor,FALSE,The Railway Children
0,John Mills,1971,BAFTA,Best Supporting Actor,FALSE,Ryan's Daughter
0,Gig Young,1971,BAFTA,Best Supporting Actor,FALSE,They Shoot Horses Don't They?
0,Edward Fox,1972,BAFTA,Best Supporting Actor,TRUE,The Go-Between
0,Michael Gough,1972,BAFTA,Best Supporting Actor,FALSE,The Go-Between
0,Ian Hendry,1972,BAFTA,Best Supporting Actor,FALSE,Get Carter
0,John Hurt,1972,BAFTA,Best Supporting Actor,FALSE,10 Rillington Place
0,Ben Johnson,1973,BAFTA,Best Supporting Actor,TRUE,The Last Picture Show
0,Max Adrian,1973,BAFTA,Best Supporting Actor,FALSE,The Boy Friend
0,Robert Duvall,1973,BAFTA,Best Supporting Actor,FALSE,The Godfather
0,Ralph Richardson,1973,BAFTA,Best Supporting Actor,FALSE,Lady Caroline Lamb
0,Arthur Lowe,1974,BAFTA,Best Supporting Actor,TRUE,O Lucky Man!
0,Ian Bannen,1974,BAFTA,Best Supporting Actor,FALSE,The Offence
0,Denholm Elliott,1974,BAFTA,Best Supporting Actor,FALSE,A Doll's House
0,Michael Lonsdale,1974,BAFTA,Best Supporting Actor,FALSE,The Day of the Jackal
0,John Gielgud,1975,BAFTA,Best Supporting Actor,TRUE,Murder on the Orient Express
0,Adam Faith,1975,BAFTA,Best Supporting Actor,FALSE,Stardust
0,John Huston,1975,BAFTA,Best Supporting Actor,FALSE,Chinatown
0,Randy Quaid,1975,BAFTA,Best Supporting Actor,FALSE,The Last Detail
0,Fred Astaire,1976,BAFTA,Best Supporting Actor,TRUE,The Towering Inferno
0,Martin Balsam,1976,BAFTA,Best Supporting Actor,FALSE,The Taking of Pelham One Two Three
0,Burgess Meredith,1976,BAFTA,Best Supporting Actor,FALSE,The Day of the Locust
0,Jack Warden,1976,BAFTA,Best Supporting Actor,FALSE,Shampoo
0,Brad Dourif,1977,BAFTA,Best Supporting Actor,TRUE,One Flew Over the Cuckoo's Nest
0,Martin Balsam,1977,BAFTA,Best Supporting Actor,FALSE,All the President's Men
0,Michael Hordern,1977,BAFTA,Best Supporting Actor,FALSE,The Slipper and the Rose
0,Jason Robards,1977,BAFTA,Best Supporting Actor,FALSE,All the President's Men
0,Edward Fox,1978,BAFTA,Best Supporting Actor,TRUE,A Bridge Too Far
0,Colin Blakely,1978,BAFTA,Best Supporting Actor,FALSE,Equus
0,Robert Duvall,1978,BAFTA,Best Supporting Actor,FALSE,Network
0,Zero Mostel,1978,BAFTA,Best Supporting Actor,FALSE,The Front
0,John Hurt,1979,BAFTA,Best Supporting Actor,TRUE,Midnight Express
0,Gene Hackman,1979,BAFTA,Best Supporting Actor,FALSE,Superman
0,Jason Robards,1979,BAFTA,Best Supporting Actor,FALSE,Julia
0,François Truffaut,1979,BAFTA,Best Supporting Actor,FALSE,Close Encounters of the Third Kind
0,Robert Duvall,1980,BAFTA,Best Supporting Actor,TRUE,Apocalypse Now
0,Denholm Elliott,1980,BAFTA,Best Supporting Actor,FALSE,Saint Jack
0,John Hurt,1980,BAFTA,Best Supporting Actor,FALSE,Alien
0,Christopher Walken,1980,BAFTA,Best Supporting Actor,FALSE,The Deer Hunter
0,Ian Holm,1982,BAFTA,Best Supporting Actor,TRUE,Chariots of Fire
0,Denholm Elliott,1982,BAFTA,Best Supporting Actor,FALSE,Raiders of the Lost Ark
0,John Gielgud,1982,BAFTA,Best Supporting Actor,FALSE,Arthur
0,Nigel Havers,1982,BAFTA,Best Supporting Actor,FALSE,Chariots of Fire
0,Jack Nicholson,1983,BAFTA,Best Supporting Actor,TRUE,Reds
0,Frank Finlay,1983,BAFTA,Best Supporting Actor,FALSE,The Return of the Soldier
0,Edward Fox,1983,BAFTA,Best Supporting Actor,FALSE,Gandhi
0,Roshan Seth,1983,BAFTA,Best Supporting Actor,FALSE,Gandhi
0,Denholm Elliott,1984,BAFTA,Best Supporting Actor,TRUE,Trading Places
0,Bob Hoskins,1984,BAFTA,Best Supporting Actor,FALSE,The Honorary Consul
0,Burt Lancaster,1984,BAFTA,Best Supporting Actor,FALSE,Local Hero
0,Jerry Lewis,1984,BAFTA,Best Supporting Actor,FALSE,The King of Comedy
0,Denholm Elliott,1985,BAFTA,Best Supporting Actor,TRUE,A Private Function
0,Michael Elphick,1985,BAFTA,Best Supporting Actor,FALSE,Gorky Park
0,Ian Holm,1985,BAFTA,Best Supporting Actor,FALSE,Greystoke: The Legend of Tarzan Lord of the Apes
0,Ralph Richardson,1985,BAFTA,Best Supporting Actor,FALSE,Greystoke: The Legend of Tarzan Lord of the Apes
0,Denholm Elliott,1986,BAFTA,Best Supporting Actor,TRUE,Defence of the Realm
0,James Fox,1986,BAFTA,Best Supporting Actor,FALSE,A Passage to India
0,John Gielgud,1986,BAFTA,Best Supporting Actor,FALSE,Plenty
0,Saeed Jaffrey,1986,BAFTA,Best Supporting Actor,FALSE,My Beautiful Laundrette
0,Ray McAnally,1987,BAFTA,Best Supporting Actor,TRUE,The Mission
0,Klaus Maria Brandauer,1987,BAFTA,Best Supporting Actor,FALSE,Out of Africa
0,Simon Callow,1987,BAFTA,Best Supporting Actor,FALSE,A Room with a View
0,Denholm Elliott,1987,BAFTA,Best Supporting Actor,FALSE,A Room with a View
0,Daniel Auteuil,1988,BAFTA,Best Supporting Actor,TRUE,Jean de Florette
0,Ian Bannen,1988,BAFTA,Best Supporting Actor,FALSE,Hope and Glory
0,Sean Connery,1988,BAFTA,Best Supporting Actor,FALSE,The Untouchables
0,John Thaw,1988,BAFTA,Best Supporting Actor,FALSE,Cry Freedom
0,Michael Palin,1989,BAFTA,Best Supporting Actor,TRUE,A Fish Called Wanda
0,Joss Ackland,1989,BAFTA,Best Supporting Actor,FALSE,White Mischief
0,Peter O'Toole,1989,BAFTA,Best Supporting Actor,FALSE,The Last Emperor
0,David Suchet,1989,BAFTA,Best Supporting Actor,FALSE,A World Apart
0,Ray McAnally,1990,BAFTA,Best Supporting Actor,TRUE,My Left Foot
0,Marlon Brando,1990,BAFTA,Best Supporting Actor,FALSE,A Dry White Season
0,Sean Connery,1990,BAFTA,Best Supporting Actor,FALSE,Indiana Jones and the Last Crusade
0,Jack Nicholson,1990,BAFTA,Best Supporting Actor,FALSE,Batman
0,Salvatore Cascio,1991,BAFTA,Best Supporting Actor,TRUE,Cinema Paradiso
0,Alan Alda,1991,BAFTA,Best Supporting Actor,FALSE,Crimes and Misdemeanors
0,John Hurt,1991,BAFTA,Best Supporting Actor,FALSE,The Field
0,Al Pacino,1991,BAFTA,Best Supporting Actor,FALSE,Dick Tracy
0,Alan Rickman,1992,BAFTA,Best Supporting Actor,TRUE,Robin Hood: Prince of Thieves
0,Alan Bates,1992,BAFTA,Best Supporting Actor,FALSE,Hamlet
0,Derek Jacobi,1992,BAFTA,Best Supporting Actor,FALSE,Dead Again
0,Andrew Strong,1992,BAFTA,Best Supporting Actor,FALSE,The Commitments
0,Gene Hackman,1993,BAFTA,Best Supporting Actor,TRUE,Unforgiven
0,Jaye Davidson,1993,BAFTA,Best Supporting Actor,FALSE,The Crying Game
0,Tommy Lee Jones,1993,BAFTA,Best Supporting Actor,FALSE,JFK
0,Samuel West,1993,BAFTA,Best Supporting Actor,FALSE,Howards End
0,Ralph Fiennes,1994,BAFTA,Best Supporting Actor,TRUE,Schindler's List
0,Tommy Lee Jones,1994,BAFTA,Best Supporting Actor,FALSE,The Fugitive
0,Ben Kingsley,1994,BAFTA,Best Supporting Actor,FALSE,Schindler's List
0,John Malkovich,1994,BAFTA,Best Supporting Actor,FALSE,In the Line of Fire
0,Samuel L. Jackson,1995,BAFTA,Best Supporting Actor,TRUE,Pulp Fiction
0,Simon Callow,1995,BAFTA,Best Supporting Actor,FALSE,Four Weddings and a Funeral
0,John Hannah,1995,BAFTA,Best Supporting Actor,FALSE,Four Weddings and a Funeral
0,Paul Scofield,1995,BAFTA,Best Supporting Actor,FALSE,Quiz Show
0,Tim Roth,1996,BAFTA,Best Supporting Actor,TRUE,Rob Roy
0,Ian Holm,1996,BAFTA,Best Supporting Actor,FALSE,The Madness of King George
0,Martin Landau,1996,BAFTA,Best Supporting Actor,FALSE,Ed Wood
