tmdb_id,nominee,year,festival,category,won,movie_title,,
30001,Akim Tamiroff,1944,Golden Globes,Best Supporting Actor,TRUE,For Whom the Bell Tolls,,
30002,Katina Paxinou,1944,Golden Globes,Best Supporting Actress,TRUE,For Whom the Bell Tolls,,
30003,Barry Fitzgerald,1945,Golden Globes,Best Supporting Actor,TRUE,Going My Way,,
30004,Agnes Moorehead,1945,Golden Globes,Best Supporting Actress,TRUE,Mrs. Parkington,,
30005,J. Carrol Naish,1946,Golden Globes,Best Supporting Actor,TRUE,A Medal for Benny,,
30006,Angela Lansbury,1946,Golden Globes,Best Supporting Actress,TRUE,The Picture of Dorian Gray,,
30007,Harold Russell,1947,Golden Globes,Best Supporting Actor,TRUE,The Best Years of Our Lives,,
30008,Anne Baxter,1947,Golden Globes,Best Supporting Actress,TRUE,The Razor's Edge,,
30009,Edmund Gwenn,1948,Golden Globes,Best Supporting Actor,TRUE,Miracle on 34th Street,,
30436,Nils Asther,1948,Golden Globes,Best Supporting Actor,FALSE,The Love of Sunya,,
30010,Celeste Holm,1948,Golden Globes,Best Supporting Actress,TRUE,Gentleman's Agreement,,
30011,Walter Huston,1949,Golden Globes,Best Supporting Actor,TRUE,The Treasure of the Sierra Madre,,
30437,Charles Bickford,1949,Golden Globes,Best Supporting Actor,FALSE,Johnny Belinda,,
30012,Ellen Corby,1949,Golden Globes,Best Supporting Actress,TRUE,I Remember Mama,,
30013,James Whitmore,1950,Golden Globes,Best Supporting Actor,TRUE,Battleground,,
30438,David Brian,1950,Golden Globes,Best Supporting Actor,FALSE,Intruder in the Dust,,
30014,Mercedes McCambridge,1950,Golden Globes,Best Supporting Actress,TRUE,All the King's Men,,
30439,Miriam Hopkins,1950,Golden Globes,Best Supporting Actress,FALSE,The Heiress,,
30015,Edmund Gwenn,1951,Golden Globes,Best Supporting Actor,TRUE,Mister 880,,
30440,George Sanders,1951,Golden Globes,Best Supporting Actor,FALSE,All About Eve,,
30441,Erich von Stroheim,1951,Golden Globes,Best Supporting Actor,FALSE,Sunset Boulevard,,
30016,Josephine Hull,1951,Golden Globes,Best Supporting Actress,TRUE,Harvey,,
30442,Judy Holliday,1951,Golden Globes,Best Supporting Actress,FALSE,Adam's Rib,,
30443,Thelma Ritter,1951,Golden Globes,Best Supporting Actress,FALSE,All About Eve,,
30017,Peter Ustinov,1952,Golden Globes,Best Supporting Actor,TRUE,Quo Vadis,,
