tmdb_id,nominee,year,festival,category,won,movie_title
30160,George Seaton,1948,Golden Globes,Best Screenplay,TRUE,Miracle on 34th Street
30161,Richard Schweizer,1949,Golden Globes,Best Screenplay,TRUE,The Search
30162,Robert Pirosh,1950,Golden Globes,Best Screenplay,TRUE,Battleground
30163,Walter Doniger,1950,Golden Globes,Best Screenplay,FALSE,Rope of Sand
30164,Joseph L. Mankiewicz,1951,Golden Globes,Best Screenplay,TRUE,All About Eve
30166,Charles Brackett; Billy Wilder; D.M. Marshman Jr.,1951,Golden Globes,Best Screenplay,FALSE,Sunset Boulevard
30165,John Huston; Ben Maddow,1951,Golden Globes,Best Screenplay,FALSE,The Asphalt Jungle
30167,Robert Buckner,1952,Golden Globes,Best Screenplay,TRUE,Bright Victory
30168,Michael Wilson,1953,Golden Globes,Best Screenplay,TRUE,5 Fingers
30169,Carl Foreman,1953,Golden Globes,Best Screenplay,FALSE,High Noon
30170,Clarence Greene; Russell Rouse,1953,Golden Globes,Best Screenplay,FALSE,The Thief
30171,Helen Deutsch,1954,Golden Globes,Best Screenplay,TRUE,Lili
30172,Ernest Lehman; Billy Wilder; Samuel A. Taylor,1955,Golden Globes,Best Screenplay,TRUE,Sabrina
30173,Robert Bolt,1966,Golden Globes,Best Screenplay,TRUE,Doctor Zhivago
30176,Guy Green,1966,Golden Globes,Best Screenplay,FALSE,A Patch of Blue
30175,John Kohn; Stanley Mann,1966,Golden Globes,Best Screenplay,FALSE,The Collector
30174,Philip Dunne,1966,Golden Globes,Best Screenplay,FALSE,The Agony and the Ecstasy
30177,Stirling Silliphant,1966,Golden Globes,Best Screenplay,FALSE,The Slender Thread
30173,Robert Bolt,1967,Golden Globes,Best Screenplay,TRUE,A Man for All Seasons
30178,Bill Naughton,1967,Golden Globes,Best Screenplay,FALSE,Alfie
30172,Ernest Lehman,1967,Golden Globes,Best Screenplay,FALSE,Who's Afraid of Virginia Woolf?
30180,Robert Anderson,1967,Golden Globes,Best Screenplay,FALSE,The Sand Pebbles
30179,William Rose,1967,Golden Globes,Best Screenplay,FALSE,The Russians Are Coming the Russians Are Coming
30177,Stirling Silliphant,1968,Golden Globes,Best Screenplay,TRUE,In the Heat of the Night
30183,Buck Henry; Calder Willingham,1968,Golden Globes,Best Screenplay,FALSE,The Graduate
30182,Lewis John Carlino; Howard Koch,1968,Golden Globes,Best Screenplay,FALSE,The Fox
30181,Robert Benton; David Newman,1968,Golden Globes,Best Screenplay,FALSE,Bonnie and Clyde
30179,William Rose,1968,Golden Globes,Best Screenplay,FALSE,Guess Who's Coming to Dinner
30177,Stirling Silliphant,1969,Golden Globes,Best Screenplay,TRUE,Charly
30184,Dalton Trumbo,1969,Golden Globes,Best Screenplay,FALSE,The Fixer
30185,James Goldman,1969,Golden Globes,Best Screenplay,FALSE,The Lion in Winter
30186,Mel Brooks,1969,Golden Globes,Best Screenplay,FALSE,The Producers
30187,Roman Polanski,1969,Golden Globes,Best Screenplay,FALSE,Rosemary's Baby
30188,Bridget Boland; John Hale; Richard Sokolove,1970,Golden Globes,Best Screenplay,TRUE,Anne of the Thousand Days
30190,David Shaw,1970,Golden Globes,Best Screenplay,FALSE,If It's Tuesday This Must Be Belgium
30191,John Mortimer,1970,Golden Globes,Best Screenplay,FALSE,John and Mary
30192,Waldo Salt,1970,Golden Globes,Best Screenplay,FALSE,Midnight Cowboy
30189,William Goldman,1970,Golden Globes,Best Screenplay,FALSE,Butch Cassidy and the Sundance Kid
30193,Erich Segal,1971,Golden Globes,Best Screenplay,TRUE,Love Story
