tmdb_id,nominee,year,festival,category,won,movie_title
10582,Walter Brennan,1937,Academy Awards,Best Supporting Actor,TRUE,Come and Get It
20150,Joseph Schildkraut,1938,Academy Awards,Best Supporting Actor,TRUE,The Life of Emile Zola
10582,Walter Brennan,1939,Academy Awards,Best Supporting Actor,TRUE,Kentucky
11054,Thomas Mitchell,1940,Academy Awards,Best Supporting Actor,TRUE,Stagecoach
10582,Walter Brennan,1941,Academy Awards,Best Supporting Actor,TRUE,The Westerner
18144,Donald Crisp,1942,Academy Awards,Best Supporting Actor,TRUE,How Green Was My Valley
15758,Van Heflin,1943,Academy Awards,Best Supporting Actor,TRUE,Johnny Eager
2144,Charles Coburn,1944,Academy Awards,Best Supporting Actor,TRUE,The More the Merrier
19227,Barry Fitzgerald,1945,Academy Awards,Best Supporting Actor,TRUE,Going My Way
10515,James Dunn,1946,Academy Awards,Best Supporting Actor,TRUE,A Tree Grows in Brooklyn
15222,Harold Russell,1947,Academy Awards,Best Supporting Actor,TRUE,The Best Years of Our Lives
10839,Edmund Gwenn,1948,Academy Awards,Best Supporting Actor,TRUE,Miracle on 34th Street
14717,Walter Huston,1949,Academy Awards,Best Supporting Actor,TRUE,The Treasure of the Sierra Madre
20117,Dean Jagger,1950,Academy Awards,Best Supporting Actor,TRUE,Twelve O'Clock High
14570,George Sanders,1951,Academy Awards,Best Supporting Actor,TRUE,All About Eve
3101,Karl Malden,1952,Academy Awards,Best Supporting Actor,TRUE,A Streetcar Named Desire
16346,Anthony Quinn,1953,Academy Awards,Best Supporting Actor,TRUE,Viva Zapata!
267,Frank Sinatra,1954,Academy Awards,Best Supporting Actor,TRUE,From Here to Eternity
15053,Edmond O'Brien,1955,Academy Awards,Best Supporting Actor,TRUE,The Barefoot Contessa
2540,Jack Lemmon,1956,Academy Awards,Best Supporting Actor,TRUE,Mister Roberts
16346,Anthony Quinn,1957,Academy Awards,Best Supporting Actor,TRUE,Lust for Life
4254,Red Buttons,1958,Academy Awards,Best Supporting Actor,TRUE,Sayonara
19213,Burl Ives,1959,Academy Awards,Best Supporting Actor,TRUE,The Big Country
16186,Hugh Griffith,1960,Academy Awards,Best Supporting Actor,TRUE,Ben-Hur
335,Peter Ustinov,1961,Academy Awards,Best Supporting Actor,TRUE,Spartacus
15423,George Chakiris,1962,Academy Awards,Best Supporting Actor,TRUE,West Side Story
16298,Ed Begley,1963,Academy Awards,Best Supporting Actor,TRUE,Sweet Bird of Youth
16349,Melvyn Douglas,1964,Academy Awards,Best Supporting Actor,TRUE,Hud
335,Peter Ustinov,1965,Academy Awards,Best Supporting Actor,TRUE,Topkapi
19124,Martin Balsam,1966,Academy Awards,Best Supporting Actor,TRUE,A Thousand Clowns
13455,Walter Matthau,1967,Academy Awards,Best Supporting Actor,TRUE,The Fortune Cookie
14431,George Kennedy,1968,Academy Awards,Best Supporting Actor,TRUE,Cool Hand Luke
18579,Jack Albertson,1969,Academy Awards,Best Supporting Actor,TRUE,The Subject Was Roses
11195,Gig Young,1970,Academy Awards,Best Supporting Actor,TRUE,They Shoot Horses Don't They?
15132,John Mills,1971,Academy Awards,Best Supporting Actor,TRUE,Ryan's Daughter
16188,Ben Johnson,1972,Academy Awards,Best Supporting Actor,TRUE,The Last Picture Show
15888,Joel Grey,1973,Academy Awards,Best Supporting Actor,TRUE,Cabaret
20148,John Houseman,1974,Academy Awards,Best Supporting Actor,TRUE,The Paper Chase
380,Robert De Niro,1975,Academy Awards,Best Supporting Actor,TRUE,The Godfather Part II
19119,George Burns,1976,Academy Awards,Best Supporting Actor,TRUE,The Sunshine Boys
13570,Jason Robards,1977,Academy Awards,Best Supporting Actor,TRUE,All the President's Men
13570,Jason Robards,1978,Academy Awards,Best Supporting Actor,TRUE,Julia
1833,Christopher Walken,1979,Academy Awards,Best Supporting Actor,TRUE,The Deer Hunter
16349,Melvyn Douglas,1980,Academy Awards,Best Supporting Actor,TRUE,Being There
13568,Timothy Hutton,1981,Academy Awards,Best Supporting Actor,TRUE,Ordinary People
16155,John Gielgud,1982,Academy Awards,Best Supporting Actor,TRUE,Arthur
15556,Louis Gossett Jr.,1983,Academy Awards,Best Supporting Actor,TRUE,An Officer and a Gentleman
2,Jack Nicholson,1984,Academy Awards,Best Supporting Actor,TRUE,Terms of Endearment
20152,Haing S. Ngor,1985,Academy Awards,Best Supporting Actor,TRUE,The Killing Fields
16181,Don Ameche,1986,Academy Awards,Best Supporting Actor,TRUE,Cocoon
112,Michael Caine,1987,Academy Awards,Best Supporting Actor,TRUE,Hannah and Her Sisters
228,Sean Connery,1988,Academy Awards,Best Supporting Actor,TRUE,The Untouchables
10332,Kevin Kline,1989,Academy Awards,Best Supporting Actor,TRUE,A Fish Called Wanda
5292,Denzel Washington,1990,Academy Awards,Best Supporting Actor,TRUE,Glory
882,Joe Pesci,1991,Academy Awards,Best Supporting Actor,TRUE,GoodFellas
15844,Jack Palance,1992,Academy Awards,Best Supporting Actor,TRUE,City Flickers
182,Gene Hackman,1993,Academy Awards,Best Supporting Actor,TRUE,Unforgiven
217,Tommy Lee Jones,1994,Academy Awards,Best Supporting Actor,TRUE,The Fugitive
1161,Martin Landau,1995,Academy Awards,Best Supporting Actor,TRUE,Ed Wood
1979,Kevin Spacey,1996,Academy Awards,Best Supporting Actor,TRUE,The Usual Suspects
4090,Cuba Gooding Jr.,1997,Academy Awards,Best Supporting Actor,TRUE,Jerry Maguire
2157,Robin Williams,1998,Academy Awards,Best Supporting Actor,TRUE,Good Will Hunting
15017,James Coburn,1999,Academy Awards,Best Supporting Actor,TRUE,Affliction
112,Michael Caine,2000,Academy Awards,Best Supporting Actor,TRUE,The Cider House Rules
1170,Benicio del Toro,2001,Academy Awards,Best Supporting Actor,TRUE,Traffic
13444,Jim Broadbent,2002,Academy Awards,Best Supporting Actor,TRUE,Iris
2051,Chris Cooper,2003,Academy Awards,Best Supporting Actor,TRUE,Adaptation
1101,Tim Robbins,2004,Academy Awards,Best Supporting Actor,TRUE,Mystic River
192,Morgan Freeman,2005,Academy Awards,Best Supporting Actor,TRUE,Million Dollar Baby
22636,George Clooney,2006,Academy Awards,Best Supporting Actor,TRUE,Syriana
4690,Alan Arkin,2007,Academy Awards,Best Supporting Actor,TRUE,Little Miss Sunshine
3810,Javier Bardem,2008,Academy Awards,Best Supporting Actor,TRUE,No Country for Old Men
1810,Heath Ledger,2009,Academy Awards,Best Supporting Actor,TRUE,The Dark Knight
13737,Christoph Waltz,2010,Academy Awards,Best Supporting Actor,TRUE,Inglourious Basterds
3894,Christian Bale,2011,Academy Awards,Best Supporting Actor,TRUE,The Fighter
352,Christopher Plummer,2012,Academy Awards,Best Supporting Actor,TRUE,Beginners
13737,Christoph Waltz,2013,Academy Awards,Best Supporting Actor,TRUE,Django Unchained
10358,Jared Leto,2014,Academy Awards,Best Supporting Actor,TRUE,Dallas Buyers Club
17698,J.K. Simmons,2015,Academy Awards,Best Supporting Actor,TRUE,Whiplash
54881,Mark Rylance,2016,Academy Awards,Best Supporting Actor,TRUE,Bridge of Spies
131525,Mahershala Ali,2017,Academy Awards,Best Supporting Actor,TRUE,Moonlight
3028,Sam Rockwell,2018,Academy Awards,Best Supporting Actor,TRUE,Three Billboards Outside Ebbing Missouri
131525,Mahershala Ali,2019,Academy Awards,Best Supporting Actor,TRUE,Green Book
287,Brad Pitt,2020,Academy Awards,Best Supporting Actor,TRUE,Once Upon a Time in Hollywood
1325781,Daniel Kaluuya,2021,Academy Awards,Best Supporting Actor,TRUE,Judas and the Black Messiah
1478142,Troy Kotsur,2022,Academy Awards,Best Supporting Actor,TRUE,CODA
32367,Ke Huy Quan,2023,Academy Awards,Best Supporting Actor,TRUE,Everything Everywhere All at Once
3223,Robert Downey Jr.,2024,Academy Awards,Best Supporting Actor,TRUE,Oppenheimer
62862,Kieran Culkin,2025,Academy Awards,Best Supporting Actor,TRUE,A Real Pain
1892,Sean Penn,2026,Academy Awards,Best Supporting Actor,TRUE,One Battle After Another
10582,Walter Brennan,1937,Academy Awards,Best Supporting Actor,TRUE,Come and Get It
20150,Mischa Auer,1937,Academy Awards,Best Supporting Actor,FALSE,My Man Godfrey
16301,Stuart Erwin,1937,Academy Awards,Best Supporting Actor,FALSE,Pigskin Parade
335,Basil Rathbone,1937,Academy Awards,Best Supporting Actor,FALSE,Romeo and Juliet
