tmdb_id,nominee,year,festival,category,won,movie_title
129,Hayao Miyazaki,2002,Academy Awards,Best Animated Feature,TRUE,Spirited Away
12,Andrew Stanton,2003,Academy Awards,Best Animated Feature,TRUE,Finding Nemo
9806,Brad Bird,2004,Academy Awards,Best Animated Feature,TRUE,The Incredibles
533,Nick Park; Steve Box,2005,Academy Awards,Best Animated Feature,TRUE,Wallace & Gromit: The Curse of the Were-Rabbit
9833,George Miller,2006,Academy Awards,Best Animated Feature,TRUE,Happy Feet
204,Brad Bird,2007,Academy Awards,Best Animated Feature,TRUE,Ratatouille
10681,Andrew Stanton,2008,Academy Awards,Best Animated Feature,TRUE,WALL-E
14160,Pete Docter,2009,Academy Awards,Best Animated Feature,TRUE,Up
10193,Lee Unkrich,2010,Academy Awards,Best Animated Feature,TRUE,Toy Story 3
44896,Gore Verbinski,2011,Academy Awards,Best Animated Feature,TRUE,Rango
62177,Mark Andrews; Brenda Chapman,2012,Academy Awards,Best Animated Feature,TRUE,Brave
109445,Chris Buck; Jennifer Lee,2013,Academy Awards,Best Animated Feature,TRUE,Frozen
177572,Don Hall; Chris Williams,2014,Academy Awards,Best Animated Feature,TRUE,Big Hero 6
150540,Pete Docter,2015,Academy Awards,Best Animated Feature,TRUE,Inside Out
269149,Byron Howard; Rich Moore,2016,Academy Awards,Best Animated Feature,TRUE,Zootopia
354912,Lee Unkrich,2017,Academy Awards,Best Animated Feature,TRUE,Coco
324857,Bob Persichetti; Peter Ramsey; Rodney Rothman,2018,Academy Awards,Best Animated Feature,TRUE,Spider-Man: Into the Spider-Verse
301528,Josh Cooley,2019,Academy Awards,Best Animated Feature,TRUE,Toy Story 4
508442,Pete Docter,2020,Academy Awards,Best Animated Feature,TRUE,Soul
568124,Jared Bush; Byron Howard,2021,Academy Awards,Best Animated Feature,TRUE,Encanto
555604,Guillermo del Toro; Mark Gustafson,2022,Academy Awards,Best Animated Feature,TRUE,Guillermo del Toro's Pinocchio
508883,Hayao Miyazaki,2023,Academy Awards,Best Animated Feature,TRUE,The Boy and the Heron
30609,Gints Zilbalodis,2024,Academy Awards,Best Animated Feature,TRUE,Flow
30614,K-Pop Demon Hunters,2025,Academy Awards,Best Animated Feature,TRUE,K-Pop Demon Hunters
33992,Lin-Manuel Miranda; Byron Howard,2026,Academy Awards,Best Animated Feature,TRUE,The Animated Odyssey
