tmdb_id,nominee,year,festival,category,won,movie_title,Blank,award_name,Unnamed: 9
33405,Charles Rosher; Karl Struss,1928,Academy Awards,Best Cinematography,TRUE,Sunrise: A Song of Two Humans,,Cinematography,
33409,Clyde De Vinna,1929,Academy Awards,Best Cinematography,TRUE,White Shadows in the South Seas,,Cinematography,
33414,Joseph T. Rucker; Willard Van der Veer,1930,Academy Awards,Best Cinematography,TRUE,With Byrd at the South Pole,,Cinematography,
33419,Floyd Crosby,1931,Academy Awards,Best Cinematography,TRUE,Tabu: A Story of the South Seas,,Cinematography,
33424,Lee Garmes,1932,Academy Awards,Best Cinematography,TRUE,Shanghai Express,,Cinematography,
33427,Charles Lang,1933,Academy Awards,Best Cinematography,TRUE,A Farewell to Arms,,Cinematography,
33430,Victor Milner,1934,Academy Awards,Best Cinematography,TRUE,Cleopatra,,Cinematography,
33433,Hal Mohr,1935,Academy Awards,Best Cinematography,TRUE,A Midsummer Night's Dream,,Cinematography,
33437,Tony Gaudio,1936,Academy Awards,Best Cinematography,TRUE,Anthony Adverse,,Cinematography,
33438,W. Howard Greene; Harold Rosson,1936,Academy Awards,Best Cinematography,TRUE,The Garden of Allah,,Special Achievement (Color),
33439,Karl Freund,1937,Academy Awards,Best Cinematography,TRUE,The Good Earth,,Cinematography,
33440,W. Howard Greene,1937,Academy Awards,Best Cinematography,TRUE,A Star Is Born,,Special Achievement (Color),
33441,Joseph Ruttenberg,1938,Academy Awards,Best Cinematography,TRUE,The Great Waltz,,Cinematography,
33442,Oliver Marsh; Allen Davey,1938,Academy Awards,Best Cinematography,TRUE,Sweethearts,,Special Achievement (Color),
33443,Gregg Toland,1939,Academy Awards,Best Cinematography (B&W),TRUE,Wuthering Heights,,Cinematography (Black-and-White),
33448,Ernest Haller; Ray Rennahan,1939,Academy Awards,Best Cinematography (Color),TRUE,Gone with the Wind,,Cinematography (Color),
33453,George Barnes,1940,Academy Awards,Best Cinematography (B&W),TRUE,Rebecca,,Cinematography (Black-and-White),
33463,Georges Périnal,1940,Academy Awards,Best Cinematography (Color),TRUE,The Thief of Bagdad,,Cinematography (Color),
33469,Arthur Miller,1941,Academy Awards,Best Cinematography (B&W),TRUE,How Green Was My Valley,,Cinematography (Black-and-White),
33479,Ernest Palmer; Ray Rennahan,1941,Academy Awards,Best Cinematography (Color),TRUE,Blood and Sand,,Cinematography (Color),
33485,Joseph Ruttenberg,1942,Academy Awards,Best Cinematography (B&W),TRUE,Mrs. Miniver,,Cinematography (Black-and-White),
33494,Leon Shamroy,1942,Academy Awards,Best Cinematography (Color),TRUE,The Black Swan,,Cinematography (Color),
33500,Arthur Miller,1943,Academy Awards,Best Cinematography (B&W),TRUE,The Song of Bernadette,,Cinematography (Black-and-White),
33505,Hal Mohr; W. Howard Greene,1943,Academy Awards,Best Cinematography (Color),TRUE,Phantom of the Opera,,Cinematography (Color),
33510,Joseph LaShelle,1944,Academy Awards,Best Cinematography (B&W),TRUE,Laura,,Cinematography (Black-and-White),
33514,Leon Shamroy,1944,Academy Awards,Best Cinematography (Color),TRUE,Wilson,,Cinematography (Color),
33517,Harry Stradling,1945,Academy Awards,Best Cinematography (B&W),TRUE,The Picture of Dorian Gray,,Cinematography (Black-and-White),
33519,Leon Shamroy,1945,Academy Awards,Best Cinematography (Color),TRUE,Leave Her to Heaven,,Cinematography (Color),
33521,Arthur Miller,1946,Academy Awards,Best Cinematography (B&W),TRUE,Anna and the King of Siam,,Cinematography (Black-and-White),
33523,Charles Rosher; Leonard Smith; Arthur Arling,1946,Academy Awards,Best Cinematography (Color),TRUE,The Yearling,,Cinematography (Color),
33525,Guy Green,1947,Academy Awards,Best Cinematography (B&W),TRUE,Great Expectations,,Cinematography (Black-and-White),
33528,Jack Cardiff,1947,Academy Awards,Best Cinematography (Color),TRUE,Black Narcissus,,Cinematography (Color),
33531,William Daniels,1948,Academy Awards,Best Cinematography (B&W),TRUE,The Naked City,,Cinematography (Black-and-White),
33535,Joseph Valentine; William V. Skall; Winton Hoch,1948,Academy Awards,Best Cinematography (Color),TRUE,Joan of Arc,,Cinematography (Color),
33538,Paul C. Vogel,1949,Academy Awards,Best Cinematography (B&W),TRUE,Battleground,,Cinematography (Black-and-White),
33543,Winton Hoch,1949,Academy Awards,Best Cinematography (Color),TRUE,She Wore a Yellow Ribbon,,Cinematography (Color),
33548,Robert Krasker,1950,Academy Awards,Best Cinematography (B&W),TRUE,The Third Man,,Cinematography (Black-and-White),
33553,Robert Surtees,1950,Academy Awards,Best Cinematography (Color),TRUE,King Solomon's Mines,,Cinematography (Color),
33558,William Daniels,1951,Academy Awards,Best Cinematography (B&W),TRUE,A Place in the Sun,,Cinematography (Black-and-White),
33563,Alfred Gilks; John Alton,1951,Academy Awards,Best Cinematography (Color),TRUE,An American in Paris,,Cinematography (Color),
33569,Robert Surtees,1952,Academy Awards,Best Cinematography (B&W),TRUE,The Bad and the Beautiful,,Cinematography (Black-and-White),
33571,Winton Hoch; Archie Stout,1952,Academy Awards,Best Cinematography (Color),TRUE,The Quiet Man,,Cinematography (Color),
33573,Burnett Guffey,1953,Academy Awards,Best Cinematography (B&W),TRUE,From Here to Eternity,,Cinematography (Black-and-White),
33575,Loyal Griggs,1953,Academy Awards,Best Cinematography (Color),TRUE,Shane,,Cinematography (Color),
