tmdb_id,nominee,year,festival,category,won,movie_title,song_title,award_name,Unnamed: 9
30822,Roger K. Furse,1949,Academy Awards,Best Costume Design (B&W),TRUE,Hamlet,,Costume Design (Black-and-White),
32989,Dorothy Jeakins; Karinska,1949,Academy Awards,Best Costume Design (Color),TRUE,Joan of Arc,,Costume Design (Color),
32992,Edith Head; Gile Steele,1950,Academy Awards,Best Costume Design (B&W),TRUE,The Heiress,,Costume Design (Black-and-White),
34060,Leah Rhodes; Travilla; Marjorie Best,1950,Academy Awards,Best Costume Design (Color),TRUE,Adventures of Don Juan,,Costume Design (Color),
33101,Edith Head; Charles LeMaire,1951,Academy Awards,Best Costume Design (B&W),TRUE,All About Eve,,Costume Design (Black-and-White),
32993,Edith Head; Dorothy Jeakins; Elois Jenssen; Gile Steele; Gwen Wakeling,1951,Academy Awards,Best Costume Design (Color),TRUE,Samson and Delilah,,Costume Design (Color),
30830,Edith Head,1952,Academy Awards,Best Costume Design (B&W),TRUE,A Place in the Sun,,Costume Design (Black-and-White),
33193,Orry-Kelly; Walter Plunkett; Irene Sharaff,1952,Academy Awards,Best Costume Design (Color),TRUE,An American in Paris,,Costume Design (Color),
33250,Helen Rose,1953,Academy Awards,Best Costume Design (B&W),TRUE,The Bad and the Beautiful,,Costume Design (Black-and-White),
33196,Marcel Vertès,1953,Academy Awards,Best Costume Design (Color),TRUE,Moulin Rouge,,Costume Design (Color),
32996,Edith Head,1954,Academy Awards,Best Costume Design (B&W),TRUE,Roman Holiday,,Costume Design (Black-and-White),
33199,Charles LeMaire; Emile Santiago,1954,Academy Awards,Best Costume Design (Color),TRUE,The Robe,,Costume Design (Color),
31074,Edith Head,1955,Academy Awards,Best Costume Design (B&W),TRUE,Sabrina,,Costume Design (Black-and-White),
33001,Sanzo Wada,1955,Academy Awards,Best Costume Design (Color),TRUE,Gate of Hell,,Costume Design (Color),
33203,Helen Rose,1956,Academy Awards,Best Costume Design (B&W),TRUE,I'll Cry Tomorrow,,Costume Design (Black-and-White),
33205,Charles LeMaire,1956,Academy Awards,Best Costume Design (Color),TRUE,Love Is a Many-Splendored Thing,,Costume Design (Color),
33191,Jean Louis,1957,Academy Awards,Best Costume Design (B&W),TRUE,The Solid Gold Cadillac,,Costume Design (Black-and-White),
33005,Irene Sharaff,1957,Academy Awards,Best Costume Design (Color),TRUE,The King and I,,Costume Design (Color),
33209,Orry-Kelly,1958,Academy Awards,Best Costume Design,TRUE,Les Girls,,Costume Design,
33211,Cecil Beaton,1959,Academy Awards,Best Costume Design,TRUE,Gigi,,Costume Design,
33109,Orry-Kelly,1960,Academy Awards,Best Costume Design (B&W),TRUE,Some Like It Hot,,Costume Design (Black-and-White),
33009,Elizabeth Haffenden,1960,Academy Awards,Best Costume Design (Color),TRUE,Ben-Hur,,Costume Design (Color),
33215,Edith Head; Edward Stevenson,1961,Academy Awards,Best Costume Design (B&W),TRUE,The Facts of Life,,Costume Design (Black-and-White),
33011,Vittorio Nino Novarese; Bill Thomas,1961,Academy Awards,Best Costume Design (Color),TRUE,Spartacus,,Costume Design (Color),
33218,Piero Gherardi,1962,Academy Awards,Best Costume Design (B&W),TRUE,La Dolce Vita,,Costume Design (Black-and-White),
33013,Irene Sharaff,1962,Academy Awards,Best Costume Design (Color),TRUE,West Side Story,,Costume Design (Color),
33221,Norma Koch,1963,Academy Awards,Best Costume Design (B&W),TRUE,What Ever Happened to Baby Jane?,,Costume Design (Black-and-White),
