tmdb_id,nominee,year,festival,category,won,movie_title
32185,British Ministry of Information,1943,Academy Awards,Best Documentary Feature,TRUE,Desert Victory
32188,United States Navy,1944,Academy Awards,Best Documentary Feature,TRUE,The Fighting Lady
32190,Great Britain and United States Governments,1945,Academy Awards,Best Documentary Feature,TRUE,The True Glory
32192,Sid Rogell; Theron Warth; Richard Fleischer,1947,Academy Awards,Best Documentary Feature,TRUE,Design for Death
32193,Orville O. Dull,1948,Academy Awards,Best Documentary Feature,TRUE,The Secret Land
32194,Crown Film Unit,1949,Academy Awards,Best Documentary Feature,TRUE,Daybreak in Udi
32195,Robert Snyder,1950,Academy Awards,Best Documentary Feature,TRUE,The Titan: Story of Michelangelo
32196,Olle Nordemar,1951,Academy Awards,Best Documentary Feature,TRUE,Kon-Tiki
32197,Irwin Allen,1952,Academy Awards,Best Documentary Feature,TRUE,The Sea Around Us
32198,Walt Disney,1953,Academy Awards,Best Documentary Feature,TRUE,The Living Desert
32199,Walt Disney,1954,Academy Awards,Best Documentary Feature,TRUE,The Vanishing Prairie
32200,Nancy Hamilton,1955,Academy Awards,Best Documentary Feature,TRUE,Helen Keller in Her Story
32198,Jacques-Yves Cousteau,1956,Academy Awards,Best Documentary Feature,TRUE,The Silent World
32201,Jerome Hill,1957,Academy Awards,Best Documentary Feature,TRUE,Albert Schweitzer
30486,Ben Sharpsteen,1958,Academy Awards,Best Documentary Feature,TRUE,White Wilderness
32202,Bernhard Grzimek,1959,Academy Awards,Best Documentary Feature,TRUE,Serengeti Shall Not Die
32203,Larry Lansburgh,1960,Academy Awards,Best Documentary Feature,TRUE,The Horse with the Flying Tail
32204,Arthur Cohn; René Lafuite,1961,Academy Awards,Best Documentary Feature,TRUE,Sky Above and Mud Beneath
32205,Louis Clyde Stoumen,1962,Academy Awards,Best Documentary Feature,TRUE,Black Fox
32206,Robert Hughes,1963,Academy Awards,Best Documentary Feature,TRUE,Robert Frost: A Lover's Quarrel with the World
30621,Jacques-Yves Cousteau,1964,Academy Awards,Best Documentary Feature,TRUE,World Without Sun
30622,Sidney Glazier,1965,Academy Awards,Best Documentary Feature,TRUE,The Eleanor Roosevelt Story
32207,Peter Watkins,1966,Academy Awards,Best Documentary Feature,TRUE,The War Game
32208,Pierre Schoendoerffer,1967,Academy Awards,Best Documentary Feature,TRUE,The Anderson Platoon
32209,Bill Jersey,1968,Academy Awards,Best Documentary Feature,TRUE,Journey into Self
32210,Bernard Chevry,1969,Academy Awards,Best Documentary Feature,TRUE,Arthur Rubinstein – The Love of Life
32211,Bob Maurice,1970,Academy Awards,Best Documentary Feature,TRUE,Woodstock
32212,Walon Green,1971,Academy Awards,Best Documentary Feature,TRUE,The Hellstrom Chronicle
32213,Howard Smith; Sarah Kernochan,1972,Academy Awards,Best Documentary Feature,TRUE,Marjoe
32214,Kieth Merrill,1973,Academy Awards,Best Documentary Feature,TRUE,The Great American Cowboy
32215,Peter Davis; Bert Schneider,1974,Academy Awards,Best Documentary Feature,TRUE,Hearts and Minds
32216,F. R. Crawley; James Hager; Dale Hartlebe,1975,Academy Awards,Best Documentary Feature,TRUE,The Man Who Skied Down Everest
32217,Barbara Kopple,1976,Academy Awards,Best Documentary Feature,TRUE,Harlan County
32218,John Korty; Dan McCann; Warren Lockhart,1977,Academy Awards,Best Documentary Feature,TRUE,Who Are the DeBolts? And Where Did They Get Nineteen Kids?
32219,Arnold Shapiro,1978,Academy Awards,Best Documentary Feature,TRUE,Scared Straight!
32220,Ira Wohl,1979,Academy Awards,Best Documentary Feature,TRUE,Best Boy
32221,Murray Lerner,1980,Academy Awards,Best Documentary Feature,TRUE,From Mao to Mozart: Isaac Stern in China
32222,Arnold Schwartzman; Rabbi Marvin Hier,1981,Academy Awards,Best Documentary Feature,TRUE,Genocide
32223,John Zaritsky,1982,Academy Awards,Best Documentary Feature,TRUE,Just Another Missing Kid
32224,Emile Ardolino,1983,Academy Awards,Best Documentary Feature,TRUE,He Makes Me Feel Like Dancin'
32225,Rob Epstein; Richard Schmiechen,1984,Academy Awards,Best Documentary Feature,TRUE,The Times of Harvey Milk
32226,Maria Florio; Victoria Mudd,1985,Academy Awards,Best Documentary Feature,TRUE,Broken Rainbow
32227,Brigitte Berman,1986,Academy Awards,Best Documentary Feature,TRUE,Artie Shaw: Time Is All You've Got
32228,Joseph Feury; Milton Justice,1986,Academy Awards,Best Documentary Feature,TRUE,Down and Out in America
32229,Aviva Slesin,1987,Academy Awards,Best Documentary Feature,TRUE,The Ten-Year Lunch
32230,Marcel Ophüls,1988,Academy Awards,Best Documentary Feature,TRUE,Hôtel Terminus: The Life and Times of Klaus Barbie
32231,Rob Epstein; Jeffrey Friedman,1989,Academy Awards,Best Documentary Feature,TRUE,Common Threads: Stories from the Quilt
32232,Barbara Kopple; Arthur Cohn,1990,Academy Awards,Best Documentary Feature,TRUE,American Dream
32233,Allie Light; Irving Saraf,1991,Academy Awards,Best Documentary Feature,TRUE,In the Shadow of the Stars
32234,Barbara Trent; David Kasper,1992,Academy Awards,Best Documentary Feature,TRUE,The Panama Deception
32235,Susan Raymond; Alan Raymond,1993,Academy Awards,Best Documentary Feature,TRUE,I Am a Promise: The Children of Stanton Elementary School
32236,Freida Lee Mock; Terry Sanders,1994,Academy Awards,Best Documentary Feature,TRUE,Maya Lin: A Strong Clear Vision
32237,Jon Blair,1995,Academy Awards,Best Documentary Feature,TRUE,Anne Frank Remembered
32238,Leon Gast; David Sonenberg,1996,Academy Awards,Best Documentary Feature,TRUE,When We Were Kings
32239,Rabbi Marvin Hier; Richard Trank,1997,Academy Awards,Best Documentary Feature,TRUE,The Long Way Home
32240,James Moll; Ken Lipper,1998,Academy Awards,Best Documentary Feature,TRUE,The Last Days
32241,Arthur Cohn; Kevin Macdonald,1999,Academy Awards,Best Documentary Feature,TRUE,One Day in September
32242,Mark Jonathan Harris; Deborah Oppenheimer,2000,Academy Awards,Best Documentary Feature,TRUE,Into the Arms of Strangers: Stories of the Kindertransport
32243,Jean-Xavier de Lestrade; Denis Poncet,2001,Academy Awards,Best Documentary Feature,TRUE,Murder on a Sunday Morning
32244,Michael Moore; Kathleen Glynn,2002,Academy Awards,Best Documentary Feature,TRUE,Bowling for Columbine
32245,Errol Morris; Michael Williams,2003,Academy Awards,Best Documentary Feature,TRUE,The Fog of War
32246,Zana Briski; Ross Kauffman,2004,Academy Awards,Best Documentary Feature,TRUE,Born into Brothels
32247,Luc Jacquet; Yves Darondeau,2005,Academy Awards,Best Documentary Feature,TRUE,March of the Penguins
32248,Davis Guggenheim,2006,Academy Awards,Best Documentary Feature,TRUE,An Inconvenient Truth
32249,Alex Gibney; Eva Orner,2007,Academy Awards,Best Documentary Feature,TRUE,Taxi to the Dark Side
32250,James Marsh; Simon Chinn,2008,Academy Awards,Best Documentary Feature,TRUE,Man on Wire
32251,Louie Psihoyos; Fisher Stevens,2009,Academy Awards,Best Documentary Feature,TRUE,The Cove
32252,Charles Ferguson; Audrey Marrs,2010,Academy Awards,Best Documentary Feature,TRUE,Inside Job
32253,TJ Martin; Dan Lindsay; Rich Middlemas,2011,Academy Awards,Best Documentary Feature,TRUE,Undefeated
32254,Malik Bendjelloul; Simon Chinn,2012,Academy Awards,Best Documentary Feature,TRUE,Searching for Sugar Man
32255,Morgan Neville; Gil Friesen; Caitrin Rogers,2013,Academy Awards,Best Documentary Feature,TRUE,20 Feet from Stardom
32256,Laura Poitras; Mathilde Bonnefoy; Dirk Wilutzky,2014,Academy Awards,Best Documentary Feature,TRUE,Citizenfour
32257,Asif Kapadia; James Gay-Rees,2015,Academy Awards,Best Documentary Feature,TRUE,Amy
32258,Ezra Edelman; Caroline Waterlow,2016,Academy Awards,Best Documentary Feature,TRUE,O.J.: Made in America
