tmdb_id,nominee,year,festival,category,won,movie_title,country
41446,Maurice Cloche,1948,Academy Awards,Best International Feature Film,TRUE,Monsieur Vincent,France
123,Vittorio De Sica,1949,Academy Awards,Best International Feature Film,TRUE,Bicycle Thieves,Italy
41447,René Clément,1950,Academy Awards,Best International Feature Film,TRUE,The Walls of Malapaga,France/Italy
205,Akira Kurosawa,1951,Academy Awards,Best International Feature Film,TRUE,Rashomon,Japan
21367,René Clément,1952,Academy Awards,Best International Feature Film,TRUE,Forbidden Games,France
30411,Teinosuke Kinugasa,1954,Academy Awards,Best International Feature Film,TRUE,Gate of Hell,Japan
30412,Hiroshi Inagaki,1955,Academy Awards,Best International Feature Film,TRUE,Samurai I: Musashi Miyamoto,Japan
1441,Federico Fellini,1956,Academy Awards,Best International Feature Film,TRUE,La Strada,Italy
1165,Federico Fellini,1957,Academy Awards,Best International Feature Film,TRUE,Nights of Cabiria,Italy
10486,Jacques Tati,1958,Academy Awards,Best International Feature Film,TRUE,Mon Oncle,France
1337,Marcel Camus,1959,Academy Awards,Best International Feature Film,TRUE,Black Orpheus,France
5810,Ingmar Bergman,1960,Academy Awards,Best International Feature Film,TRUE,The Virgin Spring,Sweden
30433,Ingmar Bergman,1961,Academy Awards,Best International Feature Film,TRUE,Through a Glass Darkly,Sweden
30438,Serge Bourguignon,1962,Academy Awards,Best International Feature Film,TRUE,Sundays and Cybele,France
140,Federico Fellini,1963,Academy Awards,Best International Feature Film,TRUE,8½,Italy
30447,Vittorio De Sica,1964,Academy Awards,Best International Feature Film,TRUE,Yesterday, Today and Tomorrow
30451,Jan Kadár; Elmar Klos,1965,Academy Awards,Best International Feature Film,TRUE,The Shop on Main Street,Czechoslovakia
11645,Claude Lelouch,1966,Academy Awards,Best International Feature Film,TRUE,A Man and a Woman,France
30460,Jiří Menzel,1967,Academy Awards,Best International Feature Film,TRUE,Closely Watched Trains,Czechoslovakia
2981,Sergei Bondarchuk,1968,Academy Awards,Best International Feature Film,TRUE,War and Peace,USSR
106,Costa-Gavras,1969,Academy Awards,Best International Feature Film,TRUE,Z,Algeria
