tmdb_id,nominee,year,festival,category,won,movie_title
20490,Donald Ogden Stewart,1941,Academy Awards,Best Adapted Screenplay,TRUE,The Philadelphia Story
20492,Dalton Trumbo,1941,Academy Awards,Best Adapted Screenplay,FALSE,Kitty Foyle
20493,Dudley Nichols,1941,Academy Awards,Best Adapted Screenplay,FALSE,The Long Voyage Home
20491,Nunnally Johnson,1941,Academy Awards,Best Adapted Screenplay,FALSE,The Grapes of Wrath
20494,Robert E. Sherwood; Joan Harrison,1941,Academy Awards,Best Adapted Screenplay,FALSE,Rebecca
20486,Preston Sturges,1941,Academy Awards,Best Original Screenplay,TRUE,The Great McGinty
20487,Ben Hecht,1941,Academy Awards,Best Original Screenplay,FALSE,Angels Over Broadway
20489,Charles Bennett; Joan Harrison,1941,Academy Awards,Best Original Screenplay,FALSE,Foreign Correspondent
20488,Norman Burnside; Heinz Herald; John Huston,1941,Academy Awards,Best Original Screenplay,FALSE,Dr. Ehrlich's Magic Bullet
20500,Sidney Buchman; Seton I. Miller,1942,Academy Awards,Best Adapted Screenplay,TRUE,Here Comes Mr. Jordan
20501,Charles Brackett; Billy Wilder,1942,Academy Awards,Best Adapted Screenplay,FALSE,Hold Back the Dawn
20504,John Huston,1942,Academy Awards,Best Adapted Screenplay,FALSE,The Maltese Falcon
20503,Lillian Hellman,1942,Academy Awards,Best Adapted Screenplay,FALSE,The Little Foxes
20502,Philip Dunne,1942,Academy Awards,Best Adapted Screenplay,FALSE,How Green Was My Valley
20495,Herman J. Mankiewicz; Orson Welles,1942,Academy Awards,Best Original Screenplay,TRUE,Citizen Kane
20496,Harry Segall,1942,Academy Awards,Best Original Screenplay,FALSE,Here Comes Mr. Jordan
20497,John Huston; Howard Koch,1942,Academy Awards,Best Original Screenplay,FALSE,Sergeant York
20499,Karl Tunberg; Darrell Ware,1942,Academy Awards,Best Original Screenplay,FALSE,Tall
20498,Norman Krasna,1942,Academy Awards,Best Original Screenplay,FALSE,The Devil and Miss Jones
20509,Arthur Wimperis; George Froeschel; James Hilton; Claudine West,1943,Academy Awards,Best Adapted Screenplay,TRUE,Mrs. Miniver
20512,George Froeschel; Claudine West; Arthur Wimperis,1943,Academy Awards,Best Adapted Screenplay,FALSE,Random Harvest
20513,Herman J. Mankiewicz; Jo Swerling,1943,Academy Awards,Best Adapted Screenplay,FALSE,The Pride of the Yankees
20510,Rodney Ackland; Emeric Pressburger,1943,Academy Awards,Best Adapted Screenplay,FALSE,49th Parallel
20511,Sidney Buchman,1943,Academy Awards,Best Adapted Screenplay,FALSE,The Talk of the Town
