bucket,action,festival,category,year,nominee,movie_title,won,tmdb_id,source_file,review_required,notes
A,DROP,Oscar,Best Picture,2024,,Oppenheimer,true,872585,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2024,,Oppenheimer,true,872585,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Director,2024,,Oppenheimer,true,872585,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Director,2024,,Oppenheimer,true,872585,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Actor,2024,,Oppenheimer,true,872585,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Actor,2024,,Oppenheimer,true,872585,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2023,,Everything Everywhere All at Once,true,545611,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2023,,Everything Everywhere All at Once,true,545611,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Director,2023,,Everything Everywhere All at Once,true,545611,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Director,2023,,Everything Everywhere All at Once,true,545611,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Actor,2023,,The Whale,true,785084,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Actor,2023,,The Whale,true,785084,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2022,,CODA,true,505026,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2022,,CODA,true,505026,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Director,2022,,The Power of the Dog,true,600583,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Director,2022,,The Power of the Dog,true,600583,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Actor,2022,,King Richard,true,614917,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Actor,2022,,King Richard,true,614917,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2021,,Nomadland,true,581734,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2021,,Nomadland,true,581734,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Director,2021,,Nomadland,true,581734,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Director,2021,,Nomadland,true,581734,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Actor,2021,,The Father,true,600354,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Actor,2021,,The Father,true,600354,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2020,,Parasite,true,496243,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2020,,Parasite,true,496243,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Director,2020,,Parasite,true,496243,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Director,2020,,Parasite,true,496243,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Actor,2020,,Joker,true,475557,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Actor,2020,,Joker,true,475557,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Picture,2019,,Green Book,true,490132,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Picture,2019,,Green Book,true,490132,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Director,2019,,Roma,true,426426,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Director,2019,,Roma,true,426426,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
A,DROP,Oscar,Best Actor,2019,,Bohemian Rhapsody,true,424694,awards7coltemplate.csv,FALSE,Exact duplicate — canonical is awardssample.csv
A,KEEP,Oscar,Best Actor,2019,,Bohemian Rhapsody,true,424694,awardssample.csv,FALSE,Exact duplicate — keep canonical copy
