tmdb_id,nominee,year,festival,category,won,movie_title
872585,,2024,Oscar,Best Picture,true,Oppenheimer
872585,,2024,Oscar,Best Director,true,Oppenheimer
872585,,2024,Oscar,Best Actor,true,Oppenheimer
545611,,2023,Oscar,Best Picture,true,Everything Everywhere All at Once
545611,,2023,Oscar,Best Director,true,Everything Everywhere All at Once
785084,,2023,Oscar,Best Actor,true,The Whale
505026,,2022,Oscar,Best Picture,true,CODA
600583,,2022,Oscar,Best Director,true,The Power of the Dog
614917,,2022,Oscar,Best Actor,true,King Richard
581734,,2021,Oscar,Best Picture,true,Nomadland
581734,,2021,Oscar,Best Director,true,Nomadland
600354,,2021,Oscar,Best Actor,true,The Father
496243,,2020,Oscar,Best Picture,true,Parasite
496243,,2020,Oscar,Best Director,true,Parasite
475557,,2020,Oscar,Best Actor,true,Joker
490132,,2019,Oscar,Best Picture,true,Green Book
426426,,2019,Oscar,Best Director,true,Roma
424694,,2019,Oscar,Best Actor,true,Bohemian Rhapsody
399055,,2018,Oscar,Best Picture,true,The Shape of Water
399055,,2018,Oscar,Best Director,true,The Shape of Water
399404,,2018,Oscar,Best Actor,true,Darkest Hour
376867,,2017,Oscar,Best Picture,true,Moonlight
313369,,2017,Oscar,Best Director,true,La La Land
334541,,2017,Oscar,Best Actor,true,Manchester by the Sea
314365,,2016,Oscar,Best Picture,true,Spotlight
281957,,2016,Oscar,Best Director,true,The Revenant
281957,,2016,Oscar,Best Actor,true,The Revenant
194662,,2015,Oscar,Best Picture,true,Birdman or (The Unexpected Virtue of Ignorance)
194662,,2015,Oscar,Best Director,true,Birdman or (The Unexpected Virtue of Ignorance)
266856,,2015,Oscar,Best Actor,true,The Theory of Everything
76203,,2014,Oscar,Best Picture,true,12 Years a Slave
49047,,2014,Oscar,Best Director,true,Gravity
152532,,2014,Oscar,Best Actor,true,Dallas Buyers Club
68734,,2013,Oscar,Best Picture,true,Argo
87827,,2013,Oscar,Best Director,true,Life of Pi
72976,,2013,Oscar,Best Actor,true,Lincoln
74603,,2012,Oscar,Best Picture,true,The Artist
74603,,2012,Oscar,Best Director,true,The Artist
74603,,2012,Oscar,Best Actor,true,The Artist
45269,,2011,Oscar,Best Picture,true,The King's Speech
45269,,2011,Oscar,Best Director,true,The King's Speech
45269,,2011,Oscar,Best Actor,true,The King's Speech
