tmdb_id,title,year,festival,category,won
1064213,Anora,2025,Oscar,Best Picture,true
549509,The Brutalist,2025,Oscar,Best Picture,false
661539,A Complete Unknown,2025,Oscar,Best Picture,false
974576,Conclave,2025,Oscar,Best Picture,false
693134,Dune: Part Two,2025,Oscar,Best Picture,false
974950,Emilia Pérez,2025,Oscar,Best Picture,false
1000837,I'm Still Here,2025,Oscar,Best Picture,false
1028196,Nickel Boys,2025,Oscar,Best Picture,false
933260,The Substance,2025,Oscar,Best Picture,false
402431,Wicked,2025,Oscar,Best Picture,false
1064213,Anora,2025,Oscar,Best Director,true
549509,The Brutalist,2025,Oscar,Best Director,false
661539,A Complete Unknown,2025,Oscar,Best Director,false
974950,Emilia Pérez,2025,Oscar,Best Director,false
933260,The Substance,2025,Oscar,Best Director,false
549509,The Brutalist,2025,Oscar,Best Actor,true
661539,A Complete Unknown,2025,Oscar,Best Actor,false
1155828,Sing Sing,2025,Oscar,Best Actor,false
974576,Conclave,2025,Oscar,Best Actor,false
1182047,The Apprentice,2025,Oscar,Best Actor,false
1064213,Anora,2025,Oscar,Best Actress,true
402431,Wicked,2025,Oscar,Best Actress,false
974950,Emilia Pérez,2025,Oscar,Best Actress,false
933260,The Substance,2025,Oscar,Best Actress,false
1000837,I'm Still Here,2025,Oscar,Best Actress,false
1054867,One Battle After Another,2026,Oscar,Best Picture,true
1054867,One Battle After Another,2026,Oscar,Best Director,true
1233413,Sinners,2026,Oscar,Best Actor,true
858024,Hamnet,2026,Oscar,Best Actress,true
872585,Oppenheimer,2024,Oscar,Best Picture,true
346698,Barbie,2024,Oscar,Best Picture,false
1056380,American Fiction,2024,Oscar,Best Picture,false
915935,Anatomy of a Fall,2024,Oscar,Best Picture,false
840430,The Holdovers,2024,Oscar,Best Picture,false
466420,Killers of the Flower Moon,2024,Oscar,Best Picture,false
523607,Maestro,2024,Oscar,Best Picture,false
975902,Past Lives,2024,Oscar,Best Picture,false
792307,Poor Things,2024,Oscar,Best Picture,false
467244,The Zone of Interest,2024,Oscar,Best Picture,false
872585,Oppenheimer,2024,Oscar,Best Director,true
915935,Anatomy of a Fall,2024,Oscar,Best Director,false
466420,Killers of the Flower Moon,2024,Oscar,Best Director,false
792307,Poor Things,2024,Oscar,Best Director,false
467244,The Zone of Interest,2024,Oscar,Best Director,false
872585,Oppenheimer,2024,Oscar,Best Actor,true
523607,Maestro,2024,Oscar,Best Actor,false
0,Rustin,2024,Oscar,Best Actor,false
840430,The Holdovers,2024,Oscar,Best Actor,false
1056380,American Fiction,2024,Oscar,Best Actor,false
545611,Everything Everywhere All at Once,2023,Oscar,Best Picture,true
0,All Quiet on the Western Front,2023,Oscar,Best Picture,false
0,Avatar: The Way of Water,2023,Oscar,Best Picture,false
0,The Banshees of Inisherin,2023,Oscar,Best Picture,false
0,Elvis,2023,Oscar,Best Picture,false
0,The Fabelmans,2023,Oscar,Best Picture,false
0,Tár,2023,Oscar,Best Picture,false
0,Top Gun: Maverick,2023,Oscar,Best Picture,false
0,Triangle of Sadness,2023,Oscar,Best Picture,false
0,Women Talking,2023,Oscar,Best Picture,false
545611,Everything Everywhere All at Once,2023,Oscar,Best Director,true
0,The Banshees of Inisherin,2023,Oscar,Best Director,false
0,The Fabelmans,2023,Oscar,Best Director,false
0,Tár,2023,Oscar,Best Director,false
0,Triangle of Sadness,2023,Oscar,Best Director,false
785084,The Whale,2023,Oscar,Best Actor,true
0,Elvis,2023,Oscar,Best Actor,false
0,The Banshees of Inisherin,2023,Oscar,Best Actor,false
0,Aftersun,2023,Oscar,Best Actor,false
0,Living,2023,Oscar,Best Actor,false
505026,CODA,2022,Oscar,Best Picture,true
600583,The Power of the Dog,2022,Oscar,Best Director,true
614917,King Richard,2022,Oscar,Best Actor,true
581734,Nomadland,2021,Oscar,Best Picture,true
581734,Nomadland,2021,Oscar,Best Director,true
600354,The Father,2021,Oscar,Best Actor,true
496243,Parasite,2020,Oscar,Best Picture,true
496243,Parasite,2020,Oscar,Best Director,true
475557,Joker,2020,Oscar,Best Actor,true
490132,Green Book,2019,Oscar,Best Picture,true
426426,Roma,2019,Oscar,Best Director,true
424694,Bohemian Rhapsody,2019,Oscar,Best Actor,true
399055,The Shape of Water,2018,Oscar,Best Picture,true
399055,The Shape of Water,2018,Oscar,Best Director,true
399404,Darkest Hour,2018,Oscar,Best Actor,true
376867,Moonlight,2017,Oscar,Best Picture,true
313369,La La Land,2017,Oscar,Best Director,true
334541,Manchester by the Sea,2017,Oscar,Best Actor,true
314365,Spotlight,2016,Oscar,Best Picture,true
281957,The Revenant,2016,Oscar,Best Director,true
281957,The Revenant,2016,Oscar,Best Actor,true
194662,Birdman,2015,Oscar,Best Picture,true
194662,Birdman,2015,Oscar,Best Director,true
266856,The Theory of Everything,2015,Oscar,Best Actor,true
76203,12 Years a Slave,2014,Oscar,Best Picture,true
49047,Gravity,2014,Oscar,Best Director,true
152532,Dallas Buyers Club,2014,Oscar,Best Actor,true
