tmdb_id,nominee,year,festival,category,won,movie_title
0,Robert Aramayo,2026,BAFTA,Best Actor,false,I Swear
0,Timothée Chalamet,2026,BAFTA,Best Actor,false,Marty Supreme
0,Leonardo DiCaprio,2026,BAFTA,Best Actor,false,One Battle After Another
0,Ethan Hawke,2026,BAFTA,Best Actor,false,Blue Moon
0,Michael B. Jordan,2026,BAFTA,Best Actor,false,Sinners
0,Jesse Plemons,2026,BAFTA,Best Actor,false,Bugonia
0,Adrien Brody,2025,BAFTA,Best Actor,true,The Brutalist
0,Timothée Chalamet,2025,BAFTA,Best Actor,false,A Complete Unknown
0,Colman Domingo,2025,BAFTA,Best Actor,false,Sing Sing
0,Ralph Fiennes,2025,BAFTA,Best Actor,false,Conclave
0,Hugh Grant,2025,BAFTA,Best Actor,false,Heretic
0,Sebastian Stan,2025,BAFTA,Best Actor,false,The Apprentice
0,Cillian Murphy,2024,BAFTA,Best Actor,true,Oppenheimer
0,Bradley Cooper,2024,BAFTA,Best Actor,false,Maestro
0,Colman Domingo,2024,BAFTA,Best Actor,false,Rustin
0,Paul Giamatti,2024,BAFTA,Best Actor,false,The Holdovers
0,Barry Keoghan,2024,BAFTA,Best Actor,false,Saltburn
0,Teo Yoo,2024,BAFTA,Best Actor,false,Past Lives
0,Austin Butler,2023,BAFTA,Best Actor,true,Elvis
0,Colin Farrell,2023,BAFTA,Best Actor,false,The Banshees of Inisherin
0,Brendan Fraser,2023,BAFTA,Best Actor,false,The Whale
0,Daryl McCormack,2023,BAFTA,Best Actor,false,Good Luck to You Leo Grande
0,Paul Mescal,2023,BAFTA,Best Actor,false,Aftersun
0,Bill Nighy,2023,BAFTA,Best Actor,false,Living
0,Will Smith,2022,BAFTA,Best Actor,true,King Richard
0,Adeel Akhtar,2022,BAFTA,Best Actor,false,Ali & Ava
0,Mahershala Ali,2022,BAFTA,Best Actor,false,Swan Song
0,Benedict Cumberbatch,2022,BAFTA,Best Actor,false,The Power of the Dog
0,Leonardo DiCaprio,2022,BAFTA,Best Actor,false,Don't Look Up
0,Stephen Graham,2022,BAFTA,Best Actor,false,Boiling Point
0,Anthony Hopkins,2021,BAFTA,Best Actor,true,The Father
0,Riz Ahmed,2021,BAFTA,Best Actor,false,Sound of Metal
0,Chadwick Boseman,2021,BAFTA,Best Actor,false,Ma Rainey's Black Bottom
0,Adarsh Gourav,2021,BAFTA,Best Actor,false,The White Tiger
0,Mads Mikkelsen,2021,BAFTA,Best Actor,false,Another Round
0,Tahar Rahim,2021,BAFTA,Best Actor,false,The Mauritanian
0,Joaquin Phoenix,2020,BAFTA,Best Actor,true,Joker
0,Leonardo DiCaprio,2020,BAFTA,Best Actor,false,Once Upon a Time in Hollywood
0,Adam Driver,2020,BAFTA,Best Actor,false,Marriage Story
0,Taron Egerton,2020,BAFTA,Best Actor,false,Rocketman
0,Jonathan Pryce,2020,BAFTA,Best Actor,false,The Two Popes
0,Rami Malek,2019,BAFTA,Best Actor,true,Bohemian Rhapsody
0,Christian Bale,2019,BAFTA,Best Actor,false,Vice
0,Steve Coogan,2019,BAFTA,Best Actor,false,Stan & Ollie
0,Bradley Cooper,2019,BAFTA,Best Actor,false,A Star Is Born
0,Viggo Mortensen,2019,BAFTA,Best Actor,false,Green Book
0,Gary Oldman,2018,BAFTA,Best Actor,true,Darkest Hour
0,Jamie Bell,2018,BAFTA,Best Actor,false,Film Stars Don't Die in Liverpool
0,Timothée Chalamet,2018,BAFTA,Best Actor,false,Call Me by Your Name
0,Daniel Day-Lewis,2018,BAFTA,Best Actor,false,Phantom Thread
0,Daniel Kaluuya,2018,BAFTA,Best Actor,false,Get Out
0,Casey Affleck,2017,BAFTA,Best Actor,true,Manchester by the Sea
0,Andrew Garfield,2017,BAFTA,Best Actor,false,Hacksaw Ridge
0,Ryan Gosling,2017,BAFTA,Best Actor,false,La La Land
0,Jake Gyllenhaal,2017,BAFTA,Best Actor,false,Nocturnal Animals
0,Viggo Mortensen,2017,BAFTA,Best Actor,false,Captain Fantastic
0,Leonardo DiCaprio,2016,BAFTA,Best Actor,true,The Revenant
0,Bryan Cranston,2016,BAFTA,Best Actor,false,Trumbo
0,Matt Damon,2016,BAFTA,Best Actor,false,The Martian
0,Michael Fassbender,2016,BAFTA,Best Actor,false,Steve Jobs
0,Eddie Redmayne,2016,BAFTA,Best Actor,false,The Danish Girl
0,Eddie Redmayne,2015,BAFTA,Best Actor,true,The Theory of Everything
0,Benedict Cumberbatch,2015,BAFTA,Best Actor,false,The Imitation Game
0,Ralph Fiennes,2015,BAFTA,Best Actor,false,The Grand Budapest Hotel
0,Jake Gyllenhaal,2015,BAFTA,Best Actor,false,Nightcrawler
0,Michael Keaton,2015,BAFTA,Best Actor,false,Birdman
0,Chiwetel Ejiofor,2014,BAFTA,Best Actor,true,12 Years a Slave
0,Christian Bale,2014,BAFTA,Best Actor,false,American Hustle
0,Bruce Dern,2014,BAFTA,Best Actor,false,Nebraska
0,Leonardo DiCaprio,2014,BAFTA,Best Actor,false,The Wolf of Wall Street
0,Tom Hanks,2014,BAFTA,Best Actor,false,Captain Phillips
0,Daniel Day-Lewis,2013,BAFTA,Best Actor,true,Lincoln
0,Ben Affleck,2013,BAFTA,Best Actor,false,Argo
0,Bradley Cooper,2013,BAFTA,Best Actor,false,Silver Linings Playbook
0,Hugh Jackman,2013,BAFTA,Best Actor,false,Les Misérables
0,Joaquin Phoenix,2013,BAFTA,Best Actor,false,The Master
0,Jean Dujardin,2012,BAFTA,Best Actor,true,The Artist
0,George Clooney,2012,BAFTA,Best Actor,false,The Descendants
