id,ceremony_id,category_id,year,result,recipients_json,film_tmdb_id,film_title,subject_title,film_release_year,film_poster_path,source_url,source_citation,scraped_at,scrape_version,verified_status,flags_json,notes
gg.best_motion_picture_drama.2017.moonlight_unresolved,gg.2017,gg.best_motion_picture_drama,2017,won,[],376867,Moonlight,,2016,/qLnfEmPrDjJfPyyddLJPkXmshkp.jpg,https://en.wikipedia.org/wiki/74th_Golden_Globe_Awards,"74th Golden Globe Awards Wikipedia article, Best Motion Picture – Drama section",2026-04-30T04:20:37.404783+00:00,scrape-gg-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
gg.best_motion_picture_drama.2017.hacksaw_ridge_unresolved,gg.2017,gg.best_motion_picture_drama,2017,nominated,[],324786,Hacksaw Ridge,,2016,/fnOMP6mjmOmZwmlC1n0K7ivrzt1.jpg,https://en.wikipedia.org/wiki/74th_Golden_Globe_Awards,"74th Golden Globe Awards Wikipedia article, Best Motion Picture – Drama section",2026-04-30T04:20:37.404783+00:00,scrape-gg-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
gg.best_motion_picture_drama.2017.hell_or_high_water_unresolved,gg.2017,gg.best_motion_picture_drama,2017,nominated,[],338766,Hell or High Water,,2016,/ljRRxqy2aXIkIBXLmOVifcOR021.jpg,https://en.wikipedia.org/wiki/74th_Golden_Globe_Awards,"74th Golden Globe Awards Wikipedia article, Best Motion Picture – Drama section",2026-04-30T04:20:37.404783+00:00,scrape-gg-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
gg.best_motion_picture_drama.2017.lion_unresolved,gg.2017,gg.best_motion_picture_drama,2017,nominated,[],334543,Lion,,2016,/iBGRbLvg6kVc7wbS8wDdVHq6otm.jpg,https://en.wikipedia.org/wiki/74th_Golden_Globe_Awards,"74th Golden Globe Awards Wikipedia article, Best Motion Picture – Drama section",2026-04-30T04:20:37.404783+00:00,scrape-gg-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
gg.best_motion_picture_drama.2017.manchester_by_the_sea_unresolved,gg.2017,gg.best_motion_picture_drama,2017,nominated,[],334541,Manchester by the Sea,,2016,/o9VXYOuaJxCEKOxbA86xqtwmqYn.jpg,https://en.wikipedia.org/wiki/74th_Golden_Globe_Awards,"74th Golden Globe Awards Wikipedia article, Best Motion Picture – Drama section",2026-04-30T04:20:37.404783+00:00,scrape-gg-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
gg.best_motion_picture_musical_comedy.2017.la_la_land_unresolved,gg.2017,gg.best_motion_picture_musical_comedy,2017,won,[],313369,La La Land,,2016,/uDO8zWDhfWwoFdKS4fzkUJt0Rf0.jpg,https://en.wikipedia.org/wiki/74th_Golden_Globe_Awards,"74th Golden Globe Awards Wikipedia article, Best Motion Picture – Musical or Comedy section",2026-04-30T04:20:37.404980+00:00,scrape-gg-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
gg.best_motion_picture_musical_comedy.2017.20th_century_women_unresolved,gg.2017,gg.best_motion_picture_musical_comedy,2017,nominated,[],342737,20th Century Women,,2016,/mso2rEr9i0MilRIOao5HaWFipS9.jpg,https://en.wikipedia.org/wiki/74th_Golden_Globe_Awards,"74th Golden Globe Awards Wikipedia article, Best Motion Picture – Musical or Comedy section",2026-04-30T04:20:37.404980+00:00,scrape-gg-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
gg.best_motion_picture_musical_comedy.2017.deadpool_unresolved,gg.2017,gg.best_motion_picture_musical_comedy,2017,nominated,[],293660,Deadpool,,2016,/3E53WEZJqP6aM84D8CckXx4pIHw.jpg,https://en.wikipedia.org/wiki/74th_Golden_Globe_Awards,"74th Golden Globe Awards Wikipedia article, Best Motion Picture – Musical or Comedy section",2026-04-30T04:20:37.404980+00:00,scrape-gg-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
gg.best_motion_picture_musical_comedy.2017.florence_foster_jenkins_unresolved,gg.2017,gg.best_motion_picture_musical_comedy,2017,nominated,[],315664,Florence Foster Jenkins,,2016,/1HAdtUchzWEo0LMFHrgD2UBIBS3.jpg,https://en.wikipedia.org/wiki/74th_Golden_Globe_Awards,"74th Golden Globe Awards Wikipedia article, Best Motion Picture – Musical or Comedy section",2026-04-30T04:20:37.404980+00:00,scrape-gg-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
gg.best_motion_picture_musical_comedy.2017.sing_street_unresolved,gg.2017,gg.best_motion_picture_musical_comedy,2017,nominated,[],369557,Sing Street,,2016,/sUWpVlrvzU2SJbnVZqIeKulPKwk.jpg,https://en.wikipedia.org/wiki/74th_Golden_Globe_Awards,"74th Golden Globe Awards Wikipedia article, Best Motion Picture – Musical or Comedy section",2026-04-30T04:20:37.404980+00:00,scrape-gg-v1.0.0,auto_verified,"[""single_source_wikipedia_only""]",
