year,category_id,result,recipients_json,film_title,film_tmdb_id,co_winner,verified_status,notes,scraped_at
2016,venice.golden_lion,won,"[{""name"": ""Lav Diaz"", ""role"": null, ""tmdb_person_id"": 1051381, ""profile_path"": ""/jGWRQrpCoqSlxNYBbzRArhStQRK.jpg""}]",The Woman Who Left,408542,false,auto_verified,,2026-05-03T23:52:41.300055+00:00
2016,venice.silver_lion_grand_jury,won,"[{""name"": ""Tom Ford"", ""role"": null, ""tmdb_person_id"": 120615, ""profile_path"": null}]",Nocturnal Animals,340666,false,auto_verified,,2026-05-03T23:52:41.300055+00:00
2016,venice.silver_lion_best_director,won,"[{""name"": ""Amat Escalante"", ""role"": null, ""tmdb_person_id"": 56375, ""profile_path"": null}]",The Untamed,387801,true,auto_verified,,2026-05-03T23:52:41.300055+00:00
2016,venice.silver_lion_best_director,won,"[{""name"": ""Andrei Konchalovsky"", ""role"": null, ""tmdb_person_id"": 58728, ""profile_path"": null}]",Paradise,255343,true,auto_verified,,2026-05-03T23:52:41.300055+00:00
2016,venice.special_jury_prize,won,"[{""name"": ""Ana Lily Amirpour"", ""role"": null, ""tmdb_person_id"": 1289604, ""profile_path"": ""/bay1UyEh7oRwhW5ZIXvzpc33pXe.jpg""}]",The Bad Batch,316154,false,auto_verified,,2026-05-03T23:52:41.300055+00:00
2016,venice.volpi_cup_best_actor,won,"[{""name"": ""Oscar Martínez"", ""role"": null, ""tmdb_person_id"": 1457004, ""profile_path"": ""/t8d1BEV3OEasLnIULbL1oYVIvxa.jpg""}]",The Distinguished Citizen,408537,false,auto_verified,,2026-05-03T23:52:41.300055+00:00
2016,venice.volpi_cup_best_actress,won,"[{""name"": ""Emma Stone"", ""role"": null, ""tmdb_person_id"": 54693, ""profile_path"": null}]",La La Land,313369,false,auto_verified,,2026-05-03T23:52:41.300055+00:00
2016,venice.best_screenplay,won,"[{""name"": ""Noah Oppenheim"", ""role"": null, ""tmdb_person_id"": 1227160, ""profile_path"": ""/wDAKcj1Rx3xdivFNpozsw02Uhvq.jpg""}]",Jackie,376866,false,auto_verified,,2026-05-03T23:52:41.300055+00:00
2016,venice.marcello_mastroianni_award,won,"[{""name"": ""Paula Beer"", ""role"": null, ""tmdb_person_id"": 894116, ""profile_path"": null}]",Frantz,377263,false,auto_verified,,2026-05-03T23:52:41.300055+00:00
2016,venice.lion_of_the_future,won,"[{""name"": ""Ala Eddine Slim"", ""role"": null, ""tmdb_person_id"": 1657665, ""profile_path"": null}]",The Last of Us,408417,false,auto_verified,,2026-05-03T23:52:41.300055+00:00
