tmdb_id,nominee,year,festival,category,won,movie_title
0,Sunday Bloody Sunday,1972,BAFTA,Best Cinematography,TRUE,Sunday Bloody Sunday
3969096,Cabaret,1973,BAFTA,Best Cinematography,TRUE,Cabaret
4023739,Day for Night,1974,BAFTA,Best Cinematography,TRUE,Day for Night
0,The Man Who Would Be King,1976,BAFTA,Best Cinematography,TRUE,The Man Who Would Be King
0,Bugsy Malone,1977,BAFTA,Best Cinematography,TRUE,Bugsy Malone
0,Close Encounters of the Third Kind,1978,BAFTA,Best Cinematography,TRUE,Close Encounters of the Third Kind
0,Days of Heaven,1979,BAFTA,Best Cinematography,TRUE,Days of Heaven
0,Apocalypse Now,1980,BAFTA,Best Cinematography,TRUE,Apocalypse Now
137223,The Elephant Man,1981,BAFTA,Best Cinematography,TRUE,The Elephant Man
0,Chariots of Fire,1982,BAFTA,Best Cinematography,TRUE,Chariots of Fire
3945108,Gandhi,1983,BAFTA,Best Cinematography,TRUE,Gandhi
1466639,Zelig,1984,BAFTA,Best Cinematography,TRUE,Zelig
0,The Killing Fields,1985,BAFTA,Best Cinematography,TRUE,The Killing Fields
3444253,Witness,1986,BAFTA,Best Cinematography,TRUE,Witness
5168488,The Mission,1987,BAFTA,Best Cinematography,TRUE,The Mission
2875009,Empire of the Sun,1988,BAFTA,Best Cinematography,TRUE,Empire of the Sun
0,Mississippi Burning,1989,BAFTA,Best Cinematography,TRUE,Mississippi Burning
5877165,Glory,1990,BAFTA,Best Cinematography,TRUE,Glory
0,Dances with Wolves,1991,BAFTA,Best Cinematography,TRUE,Dances with Wolves
5944861,Bugsy,1992,BAFTA,Best Cinematography,TRUE,Bugsy
0,The Crying Game,1993,BAFTA,Best Cinematography,TRUE,The Crying Game
0,Schindler's List,1994,BAFTA,Best Cinematography,TRUE,Schindler's List
0,Legends of the Fall,1995,BAFTA,Best Cinematography,TRUE,Legends of the Fall
0,Sense and Sensibility,1996,BAFTA,Best Cinematography,TRUE,Sense and Sensibility
0,The English Patient,1997,BAFTA,Best Cinematography,TRUE,The English Patient
0,The Wings of the Dove,1998,BAFTA,Best Cinematography,TRUE,The Wings of the Dove
1337002,Elizabeth,1999,BAFTA,Best Cinematography,TRUE,Elizabeth
1379289,American Beauty,2000,BAFTA,Best Cinematography,TRUE,American Beauty
2289749,Gladiator,2001,BAFTA,Best Cinematography,TRUE,Gladiator
0,Lord of the Rings: The Fellowship of the Ring,2002,BAFTA,Best Cinematography,TRUE,Lord of the Rings: The Fellowship of the Ring
0,Road to Perdition,2003,BAFTA,Best Cinematography,TRUE,Road to Perdition
0,Cold Mountain,2004,BAFTA,Best Cinematography,TRUE,Cold Mountain
2582423,The Aviator,2005,BAFTA,Best Cinematography,TRUE,The Aviator
0,Memoirs of a Geisha,2006,BAFTA,Best Cinematography,TRUE,Memoirs of a Geisha
5114507,Pan's Labyrinth,2007,BAFTA,Best Cinematography,TRUE,Pan's Labyrinth
56455,There Will Be Blood,2008,BAFTA,Best Cinematography,TRUE,There Will Be Blood
0,Slumdog Millionaire,2009,BAFTA,Best Cinematography,TRUE,Slumdog Millionaire
2510253,Avatar,2010,BAFTA,Best Cinematography,TRUE,Avatar
0,True Grit,2011,BAFTA,Best Cinematography,TRUE,True Grit
2904829,Hugo,2012,BAFTA,Best Cinematography,TRUE,Hugo
0,Life of Pi,2013,BAFTA,Best Cinematography,TRUE,Life of Pi
4174137,Gravity,2014,BAFTA,Best Cinematography,TRUE,Gravity
1619167,Birdman,2015,BAFTA,Best Cinematography,TRUE,Birdman
1605735,The Revenant,2016,BAFTA,Best Cinematography,TRUE,The Revenant
75455,La La Land,2017,BAFTA,Best Cinematography,TRUE,La La Land
0,Blade Runner 2049,2018,BAFTA,Best Cinematography,TRUE,Blade Runner 2049
1431612,Roma,2019,BAFTA,Best Cinematography,TRUE,Roma
0,1917,2020,BAFTA,Best Cinematography,TRUE,1917
0,Nomadland,2021,BAFTA,Best Cinematography,TRUE,Nomadland
3084139,Dune,2022,BAFTA,Best Cinematography,TRUE,Dune
0,All Quiet on the Western Front,2023,BAFTA,Best Cinematography,TRUE,All Quiet on the Western Front
24320,Oppenheimer,2024,BAFTA,Best Cinematography,TRUE,Oppenheimer
0,The Brutalist,2025,BAFTA,Best Cinematography,TRUE,The Brutalist
1846949,Sinners,2026,BAFTA,Best Cinematography,TRUE,Sinners
