tmdb_id,nominee,year,festival,category,won,movie_title
0,Local Hero,1984,BAFTA,Best Original Score,TRUE,Local Hero
0,The Killing Fields,1985,BAFTA,Best Original Score,TRUE,The Killing Fields
0,Out of Africa,1986,BAFTA,Best Original Score,TRUE,Out of Africa
0,Round Midnight,1987,BAFTA,Best Original Score,TRUE,Round Midnight
2875009,Empire of the Sun,1988,BAFTA,Best Original Score,TRUE,Empire of the Sun
0,The Milagro Beanfield War,1989,BAFTA,Best Original Score,TRUE,The Milagro Beanfield War
0,Born on the Fourth of July,1990,BAFTA,Best Original Score,TRUE,Born on the Fourth of July
0,Dances with Wolves,1991,BAFTA,Best Original Score,TRUE,Dances with Wolves
5944861,Bugsy,1992,BAFTA,Best Original Score,TRUE,Bugsy
566331,Chaplin,1993,BAFTA,Best Original Score,TRUE,Chaplin
0,Schindler's List,1994,BAFTA,Best Original Score,TRUE,Schindler's List
4083691,The Lion King,1995,BAFTA,Best Original Score,TRUE,The Lion King
1185254,Braveheart,1996,BAFTA,Best Original Score,TRUE,Braveheart
0,The English Patient,1997,BAFTA,Best Original Score,TRUE,The English Patient
4885439,Titanic,1998,BAFTA,Best Original Score,TRUE,Titanic
0,Shakespeare in Love,1999,BAFTA,Best Original Score,TRUE,Shakespeare in Love
1379289,American Beauty,2000,BAFTA,Best Original Score,TRUE,American Beauty
2289749,Gladiator,2001,BAFTA,Best Original Score,TRUE,Gladiator
6066195,Amelie,2002,BAFTA,Best Original Score,TRUE,Amelie
1382795,The Hours,2003,BAFTA,Best Original Score,TRUE,The Hours
0,Cold Mountain,2004,BAFTA,Best Original Score,TRUE,Cold Mountain
0,Finding Neverland,2005,BAFTA,Best Original Score,TRUE,Finding Neverland
0,Brokeback Mountain,2006,BAFTA,Best Original Score,TRUE,Brokeback Mountain
5114507,Pan's Labyrinth,2007,BAFTA,Best Original Score,TRUE,Pan's Labyrinth
56455,There Will Be Blood,2008,BAFTA,Best Original Score,TRUE,There Will Be Blood
0,Slumdog Millionaire,2009,BAFTA,Best Original Score,TRUE,Slumdog Millionaire
974317,Up,2010,BAFTA,Best Original Score,TRUE,Up
0,The King's Speech,2011,BAFTA,Best Original Score,TRUE,The King's Speech
4836717,The Artist,2012,BAFTA,Best Original Score,TRUE,The Artist
0,Skyfall,2013,BAFTA,Best Original Score,TRUE,Skyfall
4174137,Gravity,2014,BAFTA,Best Original Score,TRUE,Gravity
0,The Grand Budapest Hotel,2015,BAFTA,Best Original Score,TRUE,The Grand Budapest Hotel
0,The Hateful Eight,2016,BAFTA,Best Original Score,TRUE,The Hateful Eight
75455,La La Land,2017,BAFTA,Best Original Score,TRUE,La La Land
0,Three Billboards Outside Ebbing Missouri,2018,BAFTA,Best Original Score,TRUE,Three Billboards Outside Ebbing Missouri
0,If Beale Street Could Talk,2019,BAFTA,Best Original Score,TRUE,If Beale Street Could Talk
6009010,Joker,2020,BAFTA,Best Original Score,TRUE,Joker
3488269,Soul,2021,BAFTA,Best Original Score,TRUE,Soul
4672687,Spencer,2022,BAFTA,Best Original Score,TRUE,Spencer
0,All Quiet on the Western Front,2023,BAFTA,Best Original Score,TRUE,All Quiet on the Western Front
24320,Oppenheimer,2024,BAFTA,Best Original Score,TRUE,Oppenheimer
2456720,Emilia Pérez,2025,BAFTA,Best Original Score,TRUE,Emilia Pérez
1846949,Sinners,2026,BAFTA,Best Original Score,TRUE,Sinners
