tmdb_id,nominee,year,festival,category,won,movie_title
3969096,Cabaret,1973,BAFTA,Best Production Design,TRUE,Cabaret
982,The Sting,1974,BAFTA,Best Production Design,TRUE,The Sting
0,Murder on the Orient Express,1975,BAFTA,Best Production Design,TRUE,Murder on the Orient Express
0,Barry Lyndon,1976,BAFTA,Best Production Design,TRUE,Barry Lyndon
0,Bugsy Malone,1977,BAFTA,Best Production Design,TRUE,Bugsy Malone
3485655,Star Wars,1978,BAFTA,Best Production Design,TRUE,Star Wars
0,Heaven Can Wait,1979,BAFTA,Best Production Design,TRUE,Heaven Can Wait
0,Apocalypse Now,1980,BAFTA,Best Production Design,TRUE,Apocalypse Now
137223,The Elephant Man,1981,BAFTA,Best Production Design,TRUE,The Elephant Man
0,Raiders of the Lost Ark,1982,BAFTA,Best Production Design,TRUE,Raiders of the Lost Ark
3945108,Gandhi,1983,BAFTA,Best Production Design,TRUE,Gandhi
0,Fanny and Alexander,1984,BAFTA,Best Production Design,TRUE,Fanny and Alexander
0,The Killing Fields,1985,BAFTA,Best Production Design,TRUE,The Killing Fields
1230070,Brazil,1986,BAFTA,Best Production Design,TRUE,Brazil
5168488,The Mission,1987,BAFTA,Best Production Design,TRUE,The Mission
2875009,Empire of the Sun,1988,BAFTA,Best Production Design,TRUE,Empire of the Sun
0,Tucker: The Man and His Dream,1989,BAFTA,Best Production Design,TRUE,Tucker: The Man and His Dream
3568848,Batman,1990,BAFTA,Best Production Design,TRUE,Batman
0,Cyrano de Bergerac,1991,BAFTA,Best Production Design,TRUE,Cyrano de Bergerac
5944861,Bugsy,1992,BAFTA,Best Production Design,TRUE,Bugsy
1247997,Howards End,1993,BAFTA,Best Production Design,TRUE,Howards End
0,Schindler's List,1994,BAFTA,Best Production Design,TRUE,Schindler's List
0,Legends of the Fall,1995,BAFTA,Best Production Design,TRUE,Legends of the Fall
3280932,Richard III,1996,BAFTA,Best Production Design,TRUE,Richard III
0,The English Patient,1997,BAFTA,Best Production Design,TRUE,The English Patient
4885439,Titanic,1998,BAFTA,Best Production Design,TRUE,Titanic
1337002,Elizabeth,1999,BAFTA,Best Production Design,TRUE,Elizabeth
0,Sleepy Hollow,2000,BAFTA,Best Production Design,TRUE,Sleepy Hollow
2289749,Gladiator,2001,BAFTA,Best Production Design,TRUE,Gladiator
0,Moulin Rouge!,2002,BAFTA,Best Production Design,TRUE,Moulin Rouge!
0,Lord of the Rings: The Two Towers,2003,BAFTA,Best Production Design,TRUE,Lord of the Rings: The Two Towers
0,Lord of the Rings: The Return of the King,2004,BAFTA,Best Production Design,TRUE,Lord of the Rings: The Return of the King
2582423,The Aviator,2005,BAFTA,Best Production Design,TRUE,The Aviator
0,Memoirs of a Geisha,2006,BAFTA,Best Production Design,TRUE,Memoirs of a Geisha
5114507,Pan's Labyrinth,2007,BAFTA,Best Production Design,TRUE,Pan's Labyrinth
0,Sweeney Todd: The Demon Barber of Fleet Street,2008,BAFTA,Best Production Design,TRUE,Sweeney Todd: The Demon Barber of Fleet Street
0,The Dark Knight,2009,BAFTA,Best Production Design,TRUE,The Dark Knight
2510253,Avatar,2010,BAFTA,Best Production Design,TRUE,Avatar
0,Alice in Wonderland,2011,BAFTA,Best Production Design,TRUE,Alice in Wonderland
2904829,Hugo,2012,BAFTA,Best Production Design,TRUE,Hugo
6069016,Lincoln,2013,BAFTA,Best Production Design,TRUE,Lincoln
0,The Grand Budapest Hotel,2014,BAFTA,Best Production Design,TRUE,The Grand Budapest Hotel
0,The Imitation Game,2015,BAFTA,Best Production Design,TRUE,The Imitation Game
0,Mad Max: Fury Road,2016,BAFTA,Best Production Design,TRUE,Mad Max: Fury Road
0,Fantastic Beasts and Where to Find Them,2017,BAFTA,Best Production Design,TRUE,Fantastic Beasts and Where to Find Them
0,Blade Runner 2049,2018,BAFTA,Best Production Design,TRUE,Blade Runner 2049
0,The Favourite,2019,BAFTA,Best Production Design,TRUE,The Favourite
0,Once Upon a Time in Hollywood,2020,BAFTA,Best Production Design,TRUE,Once Upon a Time in Hollywood
4557461,Mank,2021,BAFTA,Best Production Design,TRUE,Mank
3084139,Dune,2022,BAFTA,Best Production Design,TRUE,Dune
0,All Quiet on the Western Front,2023,BAFTA,Best Production Design,TRUE,All Quiet on the Western Front
24320,Oppenheimer,2024,BAFTA,Best Production Design,TRUE,Oppenheimer
5458281,Nosferatu,2025,BAFTA,Best Production Design,TRUE,Nosferatu
187052,Hamnet,2026,BAFTA,Best Production Design,TRUE,Hamnet
