tmdb_id,nominee,year,festival,category,won,movie_title
0,Apocalypse Now,1980,BAFTA,Best Sound,TRUE,Apocalypse Now
137223,The Elephant Man,1981,BAFTA,Best Sound,TRUE,The Elephant Man
0,Raiders of the Lost Ark,1982,BAFTA,Best Sound,TRUE,Raiders of the Lost Ark
3945108,Gandhi,1983,BAFTA,Best Sound,TRUE,Gandhi
0,Educating Rita,1984,BAFTA,Best Sound,TRUE,Educating Rita
0,The Killing Fields,1985,BAFTA,Best Sound,TRUE,The Killing Fields
0,Back to the Future,1986,BAFTA,Best Sound,TRUE,Back to the Future
3471748,Platoon,1987,BAFTA,Best Sound,TRUE,Platoon
2875009,Empire of the Sun,1988,BAFTA,Best Sound,TRUE,Empire of the Sun
4350198,Bird,1989,BAFTA,Best Sound,TRUE,Bird
0,Indiana Jones and the Last Crusade,1990,BAFTA,Best Sound,TRUE,Indiana Jones and the Last Crusade
0,Dances with Wolves,1991,BAFTA,Best Sound,TRUE,Dances with Wolves
0,Terminator 2: Judgment Day,1992,BAFTA,Best Sound,TRUE,Terminator 2: Judgment Day
0,The Last of the Mohicans,1993,BAFTA,Best Sound,TRUE,The Last of the Mohicans
0,Schindler's List,1994,BAFTA,Best Sound,TRUE,Schindler's List
3833858,Speed,1995,BAFTA,Best Sound,TRUE,Speed
1185254,Braveheart,1996,BAFTA,Best Sound,TRUE,Braveheart
0,The English Patient,1997,BAFTA,Best Sound,TRUE,The English Patient
4885439,Titanic,1998,BAFTA,Best Sound,TRUE,Titanic
0,Saving Private Ryan,1999,BAFTA,Best Sound,TRUE,Saving Private Ryan
4817014,The Matrix,2000,BAFTA,Best Sound,TRUE,The Matrix
2289749,Gladiator,2001,BAFTA,Best Sound,TRUE,Gladiator
0,Moulin Rouge!,2002,BAFTA,Best Sound,TRUE,Moulin Rouge!
2101342,Chicago,2003,BAFTA,Best Sound,TRUE,Chicago
0,Master and Commander: The Far Side of the World,2004,BAFTA,Best Sound,TRUE,Master and Commander: The Far Side of the World
2382331,Ray,2005,BAFTA,Best Sound,TRUE,Ray
994608,King Kong,2006,BAFTA,Best Sound,TRUE,King Kong
0,Apocalypto,2007,BAFTA,Best Sound,TRUE,Apocalypto
0,The Bourne Ultimatum,2008,BAFTA,Best Sound,TRUE,The Bourne Ultimatum
0,Slumdog Millionaire,2009,BAFTA,Best Sound,TRUE,Slumdog Millionaire
0,The Hurt Locker,2010,BAFTA,Best Sound,TRUE,The Hurt Locker
0,Inception,2011,BAFTA,Best Sound,TRUE,Inception
2904829,Hugo,2012,BAFTA,Best Sound,TRUE,Hugo
3052837,Les Misérables,2013,BAFTA,Best Sound,TRUE,Les Misérables
4174137,Gravity,2014,BAFTA,Best Sound,TRUE,Gravity
2292135,Whiplash,2015,BAFTA,Best Sound,TRUE,Whiplash
0,Mad Max: Fury Road,2016,BAFTA,Best Sound,TRUE,Mad Max: Fury Road
92225,Arrival,2017,BAFTA,Best Sound,TRUE,Arrival
42228,Dunkirk,2018,BAFTA,Best Sound,TRUE,Dunkirk
0,Bohemian Rhapsody,2019,BAFTA,Best Sound,TRUE,Bohemian Rhapsody
0,1917,2020,BAFTA,Best Sound,TRUE,1917
0,Sound of Metal,2021,BAFTA,Best Sound,TRUE,Sound of Metal
3084139,Dune,2022,BAFTA,Best Sound,TRUE,Dune
0,All Quiet on the Western Front,2023,BAFTA,Best Sound,TRUE,All Quiet on the Western Front
24320,Oppenheimer,2024,BAFTA,Best Sound,TRUE,Oppenheimer
5544391,Wicked,2025,BAFTA,Best Sound,TRUE,Wicked
1846949,Sinners,2026,BAFTA,Best Sound,TRUE,Sinners
