tmdb_id,nominee,year,festival,category,won,movie_title
65,Ian Holm,1969,BAFTA,Best Supporting Actor,TRUE,The Bofors Gun
4173,Anthony Hopkins,1969,BAFTA,Best Supporting Actor,FALSE,The Lion in Winter
24498,John McEnery,1969,BAFTA,Best Supporting Actor,FALSE,Romeo and Juliet
18364,George Segal,1969,BAFTA,Best Supporting Actor,FALSE,No Way to Treat a Lady
3359,Laurence Olivier,1970,BAFTA,Best Supporting Actor,TRUE,Oh! What a Lovely War
5250,Jack Klugman,1970,BAFTA,Best Supporting Actor,FALSE,Goodbye Columbus
514,Jack Nicholson,1970,BAFTA,Best Supporting Actor,FALSE,Easy Rider
14060,Robert Vaughn,1970,BAFTA,Best Supporting Actor,FALSE,Bullitt
14957,Colin Welland,1971,BAFTA,Best Supporting Actor,TRUE,Kes
40943,Bernard Cribbins,1971,BAFTA,Best Supporting Actor,FALSE,The Railway Children
11859,John Mills,1971,BAFTA,Best Supporting Actor,FALSE,Ryan's Daughter
70985,Gig Young,1971,BAFTA,Best Supporting Actor,FALSE,They Shoot Horses Don't They?
9126,Edward Fox,1972,BAFTA,Best Supporting Actor,TRUE,The Go-Between
3796,Michael Gough,1972,BAFTA,Best Supporting Actor,FALSE,The Go-Between
58339,Ian Hendry,1972,BAFTA,Best Supporting Actor,FALSE,Get Carter
5049,John Hurt,1972,BAFTA,Best Supporting Actor,FALSE,10 Rillington Place
8258,Ben Johnson,1973,BAFTA,Best Supporting Actor,TRUE,The Last Picture Show
77312,Max Adrian,1973,BAFTA,Best Supporting Actor,FALSE,The Boy Friend
3087,Robert Duvall,1973,BAFTA,Best Supporting Actor,FALSE,The Godfather
12689,Ralph Richardson,1973,BAFTA,Best Supporting Actor,FALSE,Lady Caroline Lamb
39024,Arthur Lowe,1974,BAFTA,Best Supporting Actor,TRUE,O Lucky Man!
2481,Ian Bannen,1974,BAFTA,Best Supporting Actor,FALSE,The Offence
656,Denholm Elliott,1974,BAFTA,Best Supporting Actor,FALSE,A Doll's House
3046592,Michael Lonsdale,1974,BAFTA,Best Supporting Actor,FALSE,The Day of the Jackal
11857,John Gielgud,1975,BAFTA,Best Supporting Actor,TRUE,Murder on the Orient Express
