tmdb_id,nominee,year,festival,category,won,movie_title
8226,Billie Whitelaw,1969,BAFTA,Best Supporting Actress,TRUE,Charlie Bubbles
47138,Pat Heywood,1969,BAFTA,Best Supporting Actress,FALSE,Romeo and Juliet
151040,Virginia Maskell,1969,BAFTA,Best Supporting Actress,FALSE,Interlude
12266,Simone Signoret,1969,BAFTA,Best Supporting Actress,FALSE,Games
12725,Celia Johnson,1970,BAFTA,Best Supporting Actress,TRUE,The Prime of Miss Jean Brodie
3672,Peggy Ashcroft,1970,BAFTA,Best Supporting Actress,FALSE,Three into Two Won't Go
25635,Pamela Franklin,1970,BAFTA,Best Supporting Actress,FALSE,The Prime of Miss Jean Brodie
1213692,Mary Wimbush,1970,BAFTA,Best Supporting Actress,FALSE,Oh! What a Lovely War
13326,Susannah York,1971,BAFTA,Best Supporting Actress,TRUE,They Shoot Horses Don't They?
1718511,Evin Crowley,1971,BAFTA,Best Supporting Actress,FALSE,Ryan's Daughter
6461,Estelle Parsons,1971,BAFTA,Best Supporting Actress,FALSE,Watermelon Man
21151,Maureen Stapleton,1971,BAFTA,Best Supporting Actress,FALSE,Airport
80255,Margaret Leighton,1972,BAFTA,Best Supporting Actress,TRUE,The Go-Between
22969,Jane Asher,1972,BAFTA,Best Supporting Actress,FALSE,Deep End
104311,Georgia Brown,1972,BAFTA,Best Supporting Actress,FALSE,The Raging Moon
52697,Georgia Engel,1972,BAFTA,Best Supporting Actress,FALSE,Taking Off
9599,Cloris Leachman,1973,BAFTA,Best Supporting Actress,TRUE,The Last Picture Show
31071,Marisa Berenson,1973,BAFTA,Best Supporting Actress,FALSE,Cabaret
39015,Eileen Brennan,1973,BAFTA,Best Supporting Actress,FALSE,The Last Picture Show
7632,Shelley Winters,1973,BAFTA,Best Supporting Actress,FALSE,The Poseidon Adventure
24499,Valentina Cortese,1974,BAFTA,Best Supporting Actress,TRUE,Day for Night
96408,Rosemary Leach,1974,BAFTA,Best Supporting Actress,FALSE,That'll Be the Day
3508,Delphine Seyrig,1974,BAFTA,Best Supporting Actress,FALSE,The Day of the Jackal
8742,Ingrid Thulin,1974,BAFTA,Best Supporting Actress,FALSE,Cries and Whispers
2150101,Ingrid Bergman,1975,BAFTA,Best Supporting Actress,TRUE,Murder on the Orient Express
528,Sylvia Sidney,1975,BAFTA,Best Supporting Actress,FALSE,Summer Wishes Winter Dreams
15736,Sylvia Syms,1975,BAFTA,Best Supporting Actress,FALSE,The Tamarind Seed
8434,Cindy Williams,1975,BAFTA,Best Supporting Actress,FALSE,American Graffiti
6587,Diane Ladd,1976,BAFTA,Best Supporting Actress,TRUE,Alice Doesn't Live Here Anymore
13652,Ronee Blakley,1976,BAFTA,Best Supporting Actress,FALSE,Nashville
41284,Lelia Goldoni,1976,BAFTA,Best Supporting Actress,FALSE,Alice Doesn't Live Here Anymore
30622,Gwen Welles,1976,BAFTA,Best Supporting Actress,FALSE,Nashville
1038,Jodie Foster,1977,BAFTA,Best Supporting Actress,TRUE,Bugsy Malone
55688,Annette Crosbie,1977,BAFTA,Best Supporting Actress,FALSE,The Slipper and the Rose
35314,Vivien Merchant,1977,BAFTA,Best Supporting Actress,FALSE,The Homecoming
8226,Billie Whitelaw,1977,BAFTA,Best Supporting Actress,FALSE,The Omen
14464,Jenny Agutter,1978,BAFTA,Best Supporting Actress,TRUE,Equus
400,Geraldine Chaplin,1978,BAFTA,Best Supporting Actress,FALSE,Welcome to L.A.
23709,Joan Plowright,1978,BAFTA,Best Supporting Actress,FALSE,Equus
7632,Shelley Winters,1978,BAFTA,Best Supporting Actress,FALSE,Next Stop Greenwich Village
41283,Geraldine Page,1979,BAFTA,Best Supporting Actress,TRUE,Interiors
14730,Angela Lansbury,1979,BAFTA,Best Supporting Actress,FALSE,Death on the Nile
10978,Maggie Smith,1979,BAFTA,Best Supporting Actress,FALSE,Death on the Nile
89895,Mona Washbourne,1979,BAFTA,Best Supporting Actress,FALSE,Stevie
82495,Rachel Roberts,1980,BAFTA,Best Supporting Actress,TRUE,Yanks
28950,Lisa Eichhorn,1980,BAFTA,Best Supporting Actress,FALSE,The Europeans
10447,Mariel Hemingway,1980,BAFTA,Best Supporting Actress,FALSE,Manhattan
5064,Meryl Streep,1980,BAFTA,Best Supporting Actress,FALSE,Manhattan
11849,Rohini Hattangadi,1983,BAFTA,Best Supporting Actress,TRUE,Gandhi
21151,Maureen Stapleton,1983,BAFTA,Best Supporting Actress,TRUE,Reds
11850,Candice Bergen,1983,BAFTA,Best Supporting Actress,FALSE,Gandhi
6352,Jane Fonda,1983,BAFTA,Best Supporting Actress,FALSE,On Golden Pond
