tmdb_id,nominee,year,festival,category,won,movie_title
5248,Lee J. Cobb,1958,Berlin,Silver Bear Best Actor,TRUE,12 Angry Men
16897,Sidney Poitier,1958,Berlin,Silver Bear Best Actor,TRUE,The Defiant Ones
11544,Jean Gabin,1959,Berlin,Silver Bear Best Actor,TRUE,Archimède le clochard
13576,Fredric March,1960,Berlin,Silver Bear Best Actor,TRUE,Inherit the Wind
29903,Peter Finch,1962,Berlin,Silver Bear Best Actor,TRUE,No Love for Johnnie
854,James Stewart,1963,Berlin,Silver Bear Best Actor,TRUE,Mr. Hobbs Takes a Vacation
522,Rod Steiger,1964,Berlin,Silver Bear Best Actor,TRUE,The Pawnbroker
18391,Lee Marvin,1965,Berlin,Silver Bear Best Actor,TRUE,Cat Ballou
1653,Jean-Pierre Léaud,1966,Berlin,Silver Bear Best Actor,TRUE,Masculine Feminine
12748,Michel Simon,1966,Berlin,Silver Bear Best Actor,TRUE,The Train
3784,Michel Piccoli,1967,Berlin,Silver Bear Best Actor,TRUE,The Young Girls of Rochefort
1352,Jean-Louis Trintignant,1968,Berlin,Silver Bear Best Actor,TRUE,The Man Who Lies
236083,Miklós Gábor,1970,Berlin,Silver Bear Best Actor,TRUE,Love
0,Elmar Otterbeck,1971,Berlin,Silver Bear Best Actor,TRUE,Los guerrilleros
45982,Alberto Sordi,1972,Berlin,Silver Bear Best Actor,TRUE,Detenuto in attesa di giudizio
929015,Karl Böhm,1973,Berlin,Silver Bear Best Actor,TRUE,Tenderness of the Wolves
16927,Gérard Depardieu,1974,Berlin,Silver Bear Best Actor,TRUE,The Police Chief
11733,Vlastimil Brodský,1975,Berlin,Silver Bear Best Actor,TRUE,Jacob the Liar
19235,Gerhard Olschewski,1976,Berlin,Silver Bear Best Actor,TRUE,Escape Route to Marseilles
965,Fernando Fernán Gómez,1977,Berlin,Silver Bear Best Actor,TRUE,El anacoreta
1388922,Craig Russell,1978,Berlin,Silver Bear Best Actor,TRUE,Outrageous!
25819,Michele Placido,1979,Berlin,Silver Bear Best Actor,TRUE,The Pump
2829,Andrzej Seweryn,1980,Berlin,Silver Bear Best Actor,TRUE,The Conductor
3151,Jack Lemmon,1981,Berlin,Silver Bear Best Actor,TRUE,Tribute
3784,Michel Piccoli,1982,Berlin,Silver Bear Best Actor,TRUE,Une étrange affaire
6905,Bruce Dern,1983,Berlin,Silver Bear Best Actor,TRUE,That Championship Season
3926,Albert Finney,1984,Berlin,Silver Bear Best Actor,TRUE,The Dresser
965,Fernando Fernán Gómez,1985,Berlin,Silver Bear Best Actor,TRUE,Stico
20728,Tuncel Kurtiz,1986,Berlin,Silver Bear Best Actor,TRUE,The Smile of the Lamb
14276,Gian Maria Volonté,1987,Berlin,Silver Bear Best Actor,TRUE,Chronicle of a Death Foretold
1158283,Jörg Pose,1988,Berlin,Silver Bear Best Actor,TRUE,I Was Stalin's Bodyguard
83191,Roger Jendly,1988,Berlin,Silver Bear Best Actor,TRUE,I Was Stalin's Bodyguard
193,Gene Hackman,1989,Berlin,Silver Bear Best Actor,TRUE,Mississippi Burning
20508,Iain Glen,1990,Berlin,Silver Bear Best Actor,TRUE,Silent Scream
57096,Maynard Eziashi,1991,Berlin,Silver Bear Best Actor,TRUE,Boesman and Lena
12647,Armin Mueller-Stahl,1992,Berlin,Silver Bear Best Actor,TRUE,Utz
5292,Denzel Washington,1993,Berlin,Silver Bear Best Actor,TRUE,Malcolm X
31,Tom Hanks,1994,Berlin,Silver Bear Best Actor,TRUE,Philadelphia
3636,Paul Newman,1995,Berlin,Silver Bear Best Actor,TRUE,Nobody's Fool
2228,Sean Penn,1996,Berlin,Silver Bear Best Actor,TRUE,Dead Man Walking
6193,Leonardo DiCaprio,1997,Berlin,Silver Bear Best Actor,TRUE,Romeo + Juliet
2231,Samuel L. Jackson,1998,Berlin,Silver Bear Best Actor,TRUE,Jackie Brown
697,Michael Gwisdek,1999,Berlin,Silver Bear Best Actor,TRUE,Nachtgestalten
5292,Denzel Washington,2000,Berlin,Silver Bear Best Actor,TRUE,The Hurricane
1121,Benicio del Toro,2001,Berlin,Silver Bear Best Actor,TRUE,Traffic
77860,Jacques Gamblin,2002,Berlin,Silver Bear Best Actor,TRUE,Laissez-passer
6807,Sam Rockwell,2003,Berlin,Silver Bear Best Actor,TRUE,Confessions of a Dangerous Mind
3872,Daniel Brühl,2004,Berlin,Silver Bear Best Actor,TRUE,Good Bye Lenin!
17441,Lou Taylor Pucci,2005,Berlin,Silver Bear Best Actor,TRUE,Thumbsucker
677,Moritz Bleibtreu,2006,Berlin,Silver Bear Best Actor,TRUE,Elementary Particles
36634,Julio César Cedillo,2007,Berlin,Silver Bear Best Actor,TRUE,The Three Burials of Melquiades Estrada
87388,Reza Naji,2008,Berlin,Silver Bear Best Actor,TRUE,The Song of Sparrows
125970,Sotigui Kouyaté,2009,Berlin,Silver Bear Best Actor,TRUE,London River
107722,Grigory Dobrygin,2010,Berlin,Silver Bear Best Actor,TRUE,How I Ended This Summer
1864160,Alexei Pogrebnoy,2010,Berlin,Silver Bear Best Actor,TRUE,How I Ended This Summer
11516,Devin Ratray,2011,Berlin,Silver Bear Best Actor,TRUE,Nebraska
1013156,Mikkel Boe Følsgaard,2012,Berlin,Silver Bear Best Actor,TRUE,A Royal Affair
1141853,Nazif Mujić,2013,Berlin,Silver Bear Best Actor,TRUE,An Episode in the Life of an Iron Picker
99692,Liao Fan,2014,Berlin,Silver Bear Best Actor,TRUE,Black Coal Thin Ice
14011,Tom Courtenay,2015,Berlin,Silver Bear Best Actor,TRUE,45 Years
1576595,Majd Mastoura,2016,Berlin,Silver Bear Best Actor,TRUE,Hedi
40526,Georg Friedrich,2017,Berlin,Silver Bear Best Actor,TRUE,Bright Nights
1660839,Anthony Bajon,2018,Berlin,Silver Bear Best Actor,TRUE,The Prayer
1288449,Wang Jingchun,2019,Berlin,Silver Bear Best Actor,TRUE,So Long My Son
59269,Elio Germano,2020,Berlin,Silver Bear Best Actor,TRUE,Hidden Away
1056144,Mário Viegas,2021,Berlin,Silver Bear Best Actor,TRUE,Tschick
2473970,Mehmet Yilmaz Ak,2022,Berlin,Silver Bear Best Actor,TRUE,Sonne
0,Steel Gennadievich Gennadiev,2023,Berlin,Silver Bear Best Actor,TRUE,Superpower
60898,Sebastian Stan,2024,Berlin,Silver Bear Best Actor,TRUE,A Different Man
