tmdb_id,nominee,year,festival,category,won,movie_title
6250,Romy Schneider,1966,Berlin,Silver Bear Best Actress,TRUE,What's New Pussycat
1040465,Edith Clever,1975,Berlin,Silver Bear Best Actress,TRUE,The Marquise of O
3734,Hanna Schygulla,1976,Berlin,Silver Bear Best Actress,TRUE,Lotte in Weimar
10437,Lily Tomlin,1977,Berlin,Silver Bear Best Actress,TRUE,The Late Show
0,Gene Rowlands,1978,Berlin,Silver Bear Best Actress,TRUE,Opening Night
3734,Hanna Schygulla,1979,Berlin,Silver Bear Best Actress,TRUE,The Marriage of Maria Braun
23378,Barbara Sukowa,1980,Berlin,Silver Bear Best Actress,TRUE,Berlin Alexanderplatz
1205345,Barbara Grabowska,1981,Berlin,Silver Bear Best Actress,TRUE,Fever
4792,Katrin Sass,1982,Berlin,Silver Bear Best Actress,TRUE,Bürgschaft für ein Jahr
10627,Eva Mattes,1983,Berlin,Silver Bear Best Actress,TRUE,Flügel und Fesseln
41779,Monica Vitti,1985,Berlin,Silver Bear Best Actress,TRUE,Secret
1048672,Charlotte Valandrey,1986,Berlin,Silver Bear Best Actress,TRUE,Rouge baiser
974715,Ana Beatriz Nogueira,1987,Berlin,Silver Bear Best Actress,TRUE,Vera
18686,Holly Hunter,1988,Berlin,Silver Bear Best Actress,TRUE,Broadcast News
6553,Isabelle Adjani,1989,Berlin,Silver Bear Best Actress,TRUE,Camille Claudel
82177,Josephine Siao,1990,Berlin,Silver Bear Best Actress,TRUE,Song of the Exile
25256,Victoria Abril,1991,Berlin,Silver Bear Best Actress,TRUE,Lovers
1338,Maggie Cheung,1992,Berlin,Silver Bear Best Actress,TRUE,Actress
1160,Michelle Pfeiffer,1993,Berlin,Silver Bear Best Actress,TRUE,Love Field
110077,Crissy Rock,1994,Berlin,Silver Bear Best Actress,TRUE,Ladybird Ladybird
82177,Josephine Siao,1995,Berlin,Silver Bear Best Actress,TRUE,Summer Snow
70913,Ildikó Bánsági,1996,Berlin,Silver Bear Best Actress,TRUE,Father
1137,Juliette Binoche,1997,Berlin,Silver Bear Best Actress,TRUE,The English Patient
10055,Fernanda Montenegro,1998,Berlin,Silver Bear Best Actress,TRUE,Central Station
8797,Juliane Köhler,1999,Berlin,Silver Bear Best Actress,TRUE,Aimée and Jaguar
22686,Maria Schrader,1999,Berlin,Silver Bear Best Actress,TRUE,Aimée and Jaguar
32421,Bibiana Beglau,2000,Berlin,Silver Bear Best Actress,TRUE,The Legend of Rita
3489,Naomi Watts,2001,Berlin,Silver Bear Best Actress,TRUE,Mulholland Drive
4587,Halle Berry,2002,Berlin,Silver Bear Best Actress,TRUE,Monster's Ball
5064,Meryl Streep,2003,Berlin,Silver Bear Best Actress,TRUE,The Hours
5887,Catalina Sandino Moreno,2004,Berlin,Silver Bear Best Actress,TRUE,Maria Full of Grace
6885,Charlize Theron,2004,Berlin,Silver Bear Best Actress,TRUE,Monster
3932,Julia Jentsch,2005,Berlin,Silver Bear Best Actress,TRUE,Sophie Scholl: The Final Days
7152,Sandra Hüller,2006,Berlin,Silver Bear Best Actress,TRUE,Requiem
681,Nina Hoss,2007,Berlin,Silver Bear Best Actress,TRUE,Yella
39658,Sally Hawkins,2008,Berlin,Silver Bear Best Actress,TRUE,Happy-Go-Lucky
8800,Birgit Minichmayr,2009,Berlin,Silver Bear Best Actress,TRUE,Everyone Else
83527,Shinobu Terajima,2010,Berlin,Silver Bear Best Actress,TRUE,Caterpillar
0,Daniil Vologzhanin,2011,Berlin,Silver Bear Best Actress,TRUE,Groupirovka
1106979,Rachel Mwanza,2012,Berlin,Silver Bear Best Actress,TRUE,War Witch
1532436,Paulina García,2013,Berlin,Silver Bear Best Actress,TRUE,Gloria
1054260,Haru Kuroki,2014,Berlin,Silver Bear Best Actress,TRUE,The Little House
44079,Charlotte Rampling,2015,Berlin,Silver Bear Best Actress,TRUE,45 Years
4460,Trine Dyrholm,2016,Berlin,Silver Bear Best Actress,TRUE,The Commune
1743784,Kim Minhee,2017,Berlin,Silver Bear Best Actress,TRUE,On the Beach at Night Alone
1961671,Ana Brun,2018,Berlin,Silver Bear Best Actress,TRUE,The Heiresses
572086,Yong Mei,2019,Berlin,Silver Bear Best Actress,TRUE,So Long My Son
894116,Paula Beer,2020,Berlin,Silver Bear Best Actress,TRUE,Undine
7827,Maren Eggert,2021,Berlin,Silver Bear Best Actress,TRUE,I'm Your Man
1962697,Meltem Kaptan,2022,Berlin,Silver Bear Best Actress,TRUE,Rabiye Kurnaz vs. George W. Bush
3925017,Sofia Otero,2023,Berlin,Silver Bear Best Actress,TRUE,"20,000 Species of Bees"
1639,Emily Watson,2024,Berlin,Silver Bear Best Actress,TRUE,Small Things Like These
0,Natascha Lila Schindler,2025,Berlin,Silver Bear Best Actress,TRUE,Promises
