tmdb_id,nominee,year,festival,category,won,movie_title
7124,Ray Milland,1946,Cannes,Best Actor,TRUE,The Lost Weekend
13566,Edward G. Robinson,1949,Cannes,Best Actor,TRUE,House of Strangers
7640,Michael Redgrave,1951,Cannes,Best Actor,TRUE,The Browning Version
3084,Marlon Brando,1952,Cannes,Best Actor,TRUE,Viva Zapata!
12147,Spencer Tracy,1955,Cannes,Best Actor,TRUE,Bad Day at Black Rock
9876,John Kitzmiller,1957,Cannes,Best Actor,TRUE,Valley of Peace
3636,Paul Newman,1958,Cannes,Best Actor,TRUE,The Long Hot Summer
18647,Bradford Dillman,1959,Cannes,Best Actor,TRUE,Compulsion
40,Orson Welles,1959,Cannes,Best Actor,TRUE,Compulsion
923,Dean Stockwell,1959,Cannes,Best Actor,TRUE,Compulsion
7301,Anthony Perkins,1961,Cannes,Best Actor,TRUE,Goodbye Again
4765,Jason Robards,1962,Cannes,Best Actor,TRUE,Long Day's Journey into Night
12689,Ralph Richardson,1962,Cannes,Best Actor,TRUE,Long Day's Journey into Night
923,Dean Stockwell,1962,Cannes,Best Actor,TRUE,Long Day's Journey into Night
31722,Murray Melvin,1962,Cannes,Best Actor,TRUE,A Taste of Honey
194,Richard Harris,1963,Cannes,Best Actor,TRUE,This Sporting Life
119431,Saro Urzì,1964,Cannes,Best Actor,TRUE,Seduced and Abandoned
125192,Antal Páger,1964,Cannes,Best Actor,TRUE,Skylark
28641,Terence Stamp,1965,Cannes,Best Actor,TRUE,The Collector
3855,Per Oscarsson,1966,Cannes,Best Actor,TRUE,Hunger
1061625,Oded Kotler,1967,Cannes,Best Actor,TRUE,Three Days and a Child
1352,Jean-Louis Trintignant,1969,Cannes,Best Actor,TRUE,Z
5676,Marcello Mastroianni,1970,Cannes,Best Actor,TRUE,Jealousy Italian Style
29429,Riccardo Cucciolla,1971,Cannes,Best Actor,TRUE,Sacco and Vanzetti
1352,Jean-Louis Trintignant,1972,Cannes,Best Actor,TRUE,We Will Not Grow Old Together
3753,Giancarlo Giannini,1973,Cannes,Best Actor,TRUE,Love and Anarchy
514,Jack Nicholson,1974,Cannes,Best Actor,TRUE,The Last Detail
12259,Vittorio Gassman,1975,Cannes,Best Actor,TRUE,Scent of a Woman
72631,José Luis Gómez,1976,Cannes,Best Actor,TRUE,Pascual Duarte
14821,Fernando Rey,1977,Cannes,Best Actor,TRUE,Elisa My Life
10127,Jon Voight,1978,Cannes,Best Actor,TRUE,Coming Home
3151,Jack Lemmon,1979,Cannes,Best Actor,TRUE,The China Syndrome
3784,Michel Piccoli,1980,Cannes,Best Actor,TRUE,Leap into the Void
32312,Ugo Tognazzi,1981,Cannes,Best Actor,TRUE,The Tragedy of a Ridiculous Man
3151,Jack Lemmon,1982,Cannes,Best Actor,TRUE,Missing
14276,Gian Maria Volonté,1983,Cannes,Best Actor,TRUE,The Death of Mario Ricci
9768,Francisco Rabal,1984,Cannes,Best Actor,TRUE,The Holy Innocents
230884,Alfredo Landa,1984,Cannes,Best Actor,TRUE,The Holy Innocents
227,William Hurt,1985,Cannes,Best Actor,TRUE,Kiss of the Spider Woman
21175,Michel Blanc,1986,Cannes,Best Actor,TRUE,Ménage
382,Bob Hoskins,1986,Cannes,Best Actor,TRUE,Mona Lisa
5676,Marcello Mastroianni,1987,Cannes,Best Actor,TRUE,Dark Eyes
2178,Forest Whitaker,1988,Cannes,Best Actor,TRUE,Bird
13548,James Spader,1989,Cannes,Best Actor,TRUE,sex lies and videotape
16927,Gérard Depardieu,1990,Cannes,Best Actor,TRUE,Cyrano de Bergerac
1241,John Turturro,1991,Cannes,Best Actor,TRUE,Barton Fink
504,Tim Robbins,1992,Cannes,Best Actor,TRUE,The Player
11207,David Thewlis,1993,Cannes,Best Actor,TRUE,Naked
3431700,Ge You,1994,Cannes,Best Actor,TRUE,To Live
378,Jonathan Pryce,1995,Cannes,Best Actor,TRUE,Carrington
6012,Daniel Auteuil,1996,Cannes,Best Actor,TRUE,The Eighth Day
534031,Pascal Duquenne,1996,Cannes,Best Actor,TRUE,The Eighth Day
2228,Sean Penn,1997,Cannes,Best Actor,TRUE,She's So Lovely
