tmdb_id,nominee,year,festival,category,won,movie_title
927666,Michèle Morgan,1946,Cannes,Best Actress,TRUE,La symphonie pastorale
31696,Isa Miranda,1949,Cannes,Best Actress,TRUE,The Walls of Malapaga
3380,Bette Davis,1951,Cannes,Best Actress,TRUE,All About Eve
30123,Lee Grant,1952,Cannes,Best Actress,TRUE,Detective Story
5402,Giulietta Masina,1955,Cannes,Best Actress,TRUE,Cabiria
70276,Eva Dahlbeck,1955,Cannes,Best Actress,TRUE,Smiles of a Summer Night
1117958,Vera Kuznetsova,1955,Cannes,Best Actress,TRUE,A Big Family
6103,Nadia Gray,1955,Cannes,Best Actress,TRUE,Meridian Unknown
12520,Silvana Mangano,1955,Cannes,Best Actress,TRUE,Mambo
30124,Susan Hayward,1956,Cannes,Best Actress,TRUE,I'll Cry Tomorrow
5402,Giulietta Masina,1957,Cannes,Best Actress,TRUE,Nights of Cabiria
70276,Eva Dahlbeck,1958,Cannes,Best Actress,TRUE,Brink of Life
6657,Bibi Andersson,1958,Cannes,Best Actress,TRUE,Brink of Life
231918,Barbro Hiort af Ornäs,1958,Cannes,Best Actress,TRUE,Brink of Life
8742,Ingrid Thulin,1958,Cannes,Best Actress,TRUE,Brink of Life
12266,Simone Signoret,1959,Cannes,Best Actress,TRUE,Room at the Top
29902,Melina Mercouri,1960,Cannes,Best Actress,TRUE,Never on Sunday
16757,Sophia Loren,1961,Cannes,Best Actress,TRUE,Two Women
6598,Katharine Hepburn,1962,Cannes,Best Actress,TRUE,Long Day's Journey into Night
47754,Rita Tushingham,1962,Cannes,Best Actress,TRUE,A Taste of Honey
14813,Marina Vlady,1963,Cannes,Best Actress,TRUE,Queen Bee
10774,Anne Bancroft,1964,Cannes,Best Actress,TRUE,The Pumpkin Eater
46780,Samantha Eggar,1965,Cannes,Best Actress,TRUE,The Collector
13333,Vanessa Redgrave,1966,Cannes,Best Actress,TRUE,Morgan: A Suitable Case for Treatment
135996,Pia Degermark,1967,Cannes,Best Actress,TRUE,Elvira Madigan
15138,Ottavia Piccolo,1970,Cannes,Best Actress,TRUE,Metello
57921,Kitty Winn,1971,Cannes,Best Actress,TRUE,Panic in Needle Park
13326,Susannah York,1972,Cannes,Best Actress,TRUE,Images
109410,Joanne Woodward,1973,Cannes,Best Actress,TRUE,The Effect of Gamma Rays on Man-in-the-Moon Marigolds
543091,Marie-José Nat,1974,Cannes,Best Actress,TRUE,The Violins of the Ball
26483,Valerie Perrine,1975,Cannes,Best Actress,TRUE,Lenny
24590,Dominique Sanda,1976,Cannes,Best Actress,TRUE,The Inheritance
10409,Shelley Duvall,1977,Cannes,Best Actress,TRUE,Three Women
27812,Monique Mercure,1977,Cannes,Best Actress,TRUE,"J.A. Martin, Photographer"
17882,Isabelle Huppert,1978,Cannes,Best Actress,TRUE,Violette Nozière
35,Sally Field,1979,Cannes,Best Actress,TRUE,Norma Rae
5682,Anouk Aimée,1980,Cannes,Best Actress,TRUE,Leap into the Void
6553,Isabelle Adjani,1981,Cannes,Best Actress,TRUE,Possession
6553,Isabelle Adjani,1981,Cannes,Best Actress,TRUE,Quartet
1138528,Jadwiga Jankowska-Cieślak,1982,Cannes,Best Actress,TRUE,Another Way
3734,Hanna Schygulla,1983,Cannes,Best Actress,TRUE,The Story of Piera
15735,Helen Mirren,1984,Cannes,Best Actress,TRUE,Cal
46853,Norma Aleandro,1985,Cannes,Best Actress,TRUE,The Official Story
87335,Fernanda Torres,1985,Cannes,Best Actress,TRUE,Foreign Land
10767,Barbara Hershey,1987,Cannes,Best Actress,TRUE,Shy People
10767,Barbara Hershey,1988,Cannes,Best Actress,TRUE,A World Apart
57449,Jodhi May,1988,Cannes,Best Actress,TRUE,A World Apart
3167658,Linda Mvusi,1988,Cannes,Best Actress,TRUE,A World Apart
5064,Meryl Streep,1989,Cannes,Best Actress,TRUE,A Cry in the Dark
2807,Krystyna Janda,1990,Cannes,Best Actress,TRUE,Interrogation
1350,Irène Jacob,1991,Cannes,Best Actress,TRUE,The Double Life of Véronique
33190,Pernilla August,1992,Cannes,Best Actress,TRUE,Best Intentions
18686,Holly Hunter,1993,Cannes,Best Actress,TRUE,The Piano
