tmdb_id,nominee,year,festival,category,won,movie_title,Unnamed: 7,Unnamed: 8,Unnamed: 9
32401,Louis Silvers,1934,Academy Awards,Best Original Score,TRUE,One Night of Love,,,
32404,Max Steiner,1935,Academy Awards,Best Original Score,TRUE,The Informer,,,
32408,Erich Wolfgang Korngold,1936,Academy Awards,Best Original Score,TRUE,Anthony Adverse,,,
32413,Charles Previn,1937,Academy Awards,Best Original Score,TRUE,One Hundred Men and a Girl,,,
32408,Erich Wolfgang Korngold,1938,Academy Awards,Best Original Score,TRUE,The Adventures of Robin Hood,,,
32420,Alfred Newman,1938,Academy Awards,Best Original Score,TRUE,Alexander's Ragtime Band,,,
32421,Herbert Stothart,1939,Academy Awards,Best Original Score,TRUE,The Wizard of Oz,,,
32422,Leigh Harline; Paul Smith; Ned Washington,1940,Academy Awards,Best Original Score,TRUE,Pinocchio,,,
32423,Bernard Herrmann,1941,Academy Awards,Best Original Score,TRUE,The Devil and Daniel Webster,,,
32424,Max Steiner,1942,Academy Awards,Best Original Score,TRUE,Now, Voyager,,
32426,Alfred Newman,1943,Academy Awards,Best Original Score,TRUE,The Song of Bernadette,,,
32424,Max Steiner,1944,Academy Awards,Best Original Score,TRUE,Since You Went Away,,,
32427,Miklós Rózsa,1945,Academy Awards,Best Original Score,TRUE,Spellbound,,,
32428,Hugo Friedhofer,1946,Academy Awards,Best Original Score,TRUE,The Best Years of Our Lives,,,
32427,Miklós Rózsa,1947,Academy Awards,Best Original Score,TRUE,A Double Life,,,
32429,Brian Easdale,1948,Academy Awards,Best Original Score,TRUE,The Red Shoes,,,
32430,Aaron Copland,1949,Academy Awards,Best Original Score,TRUE,The Heiress,,,
32431,Franz Waxman,1950,Academy Awards,Best Original Score,TRUE,Sunset Boulevard,,,
30830,Franz Waxman,1951,Academy Awards,Best Original Score,TRUE,A Place in the Sun,,,
32416,Dimitri Tiomkin,1952,Academy Awards,Best Original Score,TRUE,High Noon,,,
32432,Bronislau Kaper,1953,Academy Awards,Best Original Score,TRUE,Lili,,,
32416,Dimitri Tiomkin,1954,Academy Awards,Best Original Score,TRUE,The High and the Mighty,,,
32426,Alfred Newman,1955,Academy Awards,Best Original Score,TRUE,Love Is a Many-Splendored Thing,,,
32418,Victor Young,1956,Academy Awards,Best Original Score,TRUE,Around the World in 80 Days,,,
34418,Alfred Newman; Ken Darby,1956,Academy Awards,Best Original Score,TRUE,The King and I,,,
34417,Victor Young,1956,Academy Awards,Best Original Score,TRUE,Around the World in 80 Days,,,
32433,Malcolm Arnold,1957,Academy Awards,Best Original Score,TRUE,The Bridge on the River Kwai,,,
34419,Malcolm Arnold,1957,Academy Awards,Best Original Score,TRUE,The Bridge on the River Kwai,,,
34420,Dimitri Tiomkin,1958,Academy Awards,Best Original Score,TRUE,The Old Man and the Sea,,,
32416,Dimitri Tiomkin,1958,Academy Awards,Best Original Score,TRUE,The Old Man and the Sea,,,
34421,André Previn,1958,Academy Awards,Best Original Score,TRUE,Gigi,,,
32427,Miklós Rózsa,1959,Academy Awards,Best Original Score,TRUE,Ben-Hur,,,
34422,Miklós Rózsa,1959,Academy Awards,Best Original Score,TRUE,Ben-Hur,,,
34423,André Previn; Ken Darby,1959,Academy Awards,Best Original Score,TRUE,Porgy and Bess,,,
34424,Ernest Gold,1960,Academy Awards,Best Original Score,TRUE,Exodus,,,
32434,Ernest Gold,1960,Academy Awards,Best Original Score,TRUE,Exodus,,,
34425,Morris Stoloff; Harry Sukman,1960,Academy Awards,Best Original Score,TRUE,Song Without End,,,
32435,Henry Mancini,1961,Academy Awards,Best Original Score,TRUE,Breakfast at Tiffany's,,,
34426,Henry Mancini,1961,Academy Awards,Best Original Score,TRUE,Breakfast at Tiffany's,,,
34427,Saul Chaplin; Johnny Green; Sid Ramin; Irwin Kostal,1961,Academy Awards,Best Original Score,TRUE,West Side Story,,,
34428,Maurice Jarre,1962,Academy Awards,Best Original Score,TRUE,Lawrence of Arabia,,,
32436,Maurice Jarre,1962,Academy Awards,Best Original Score,TRUE,Lawrence of Arabia,,,
34429,Ray Heindorf,1962,Academy Awards,Best Original Score,TRUE,The Music Man,,,
34430,John Addison,1963,Academy Awards,Best Original Score,TRUE,Tom Jones,,,
32437,John Addison,1963,Academy Awards,Best Original Score,TRUE,Tom Jones,,,
34431,André Previn,1963,Academy Awards,Best Original Score,TRUE,Irma la Douce,,,
