tmdb_id,nominee,year,festival,category,won,movie_title,song_title,award_name
11489,William Cameron Menzies,1929,Academy Awards,Best Production Design,TRUE,The Dove,,Interior Decoration
11489,William Cameron Menzies,1929,Academy Awards,Best Production Design,TRUE,Tempest,,Interior Decoration
9062,Cedric Gibbons,1930,Academy Awards,Best Production Design,TRUE,The Bridge of San Luis Rey,,Interior Decoration
1546668,Herman Rosse,1931,Academy Awards,Best Production Design,TRUE,King of Jazz,,Interior Decoration
1009388,Max Rée,1932,Academy Awards,Best Production Design,TRUE,Cimarron,,Interior Decoration
94166,Gordon Wiles,1933,Academy Awards,Best Production Design,TRUE,Transatlantic,,Interior Decoration
1096786,William S. Darling,1934,Academy Awards,Best Production Design,TRUE,Cavalcade,,Interior Decoration
9062,Cedric Gibbons; Fredric Hope,1935,Academy Awards,Best Production Design,TRUE,The Merry Widow,,Interior Decoration
1213124,Richard Day,1936,Academy Awards,Best Production Design,TRUE,The Dark Angel,,Interior Decoration
1213124,Richard Day,1937,Academy Awards,Best Production Design,TRUE,Dodsworth,,Interior Decoration
29345,Stephen Goosson,1938,Academy Awards,Best Production Design,TRUE,Lost Horizon,,Interior Decoration
4125,Carl Jules Weyl,1939,Academy Awards,Best Production Design,TRUE,The Adventures of Robin Hood,,Interior Decoration
3358,Lyle R. Wheeler,1940,Academy Awards,Best Production Design,TRUE,Gone with the Wind,,Interior Decoration
9062,Cedric Gibbons; Paul Groesse,1941,Academy Awards,Best Production Design (B&W),TRUE,Pride and Prejudice,,Interior Decoration (Black-and-White)
33261,Vincent Korda,1941,Academy Awards,Best Production Design (Color),TRUE,The Thief of Bagdad,,Interior Decoration (Color)
1213124,Richard Day; Nathan Juran,1942,Academy Awards,Best Production Design (B&W),TRUE,How Green Was My Valley,,Interior Decoration (Black-and-White)
9062,Cedric Gibbons; Urie McCleary,1942,Academy Awards,Best Production Design (Color),TRUE,Blossoms in the Dust,,Interior Decoration (Color)
1213124,Richard Day; Joseph C. Wright,1943,Academy Awards,Best Production Design (B&W),TRUE,This Above All,,Interior Decoration (Black-and-White)
1213124,Richard Day; Joseph C. Wright,1943,Academy Awards,Best Production Design (Color),TRUE,My Gal Sal,,Interior Decoration (Color)
2763,James Basevi; William S. Darling,1944,Academy Awards,Best Production Design (B&W),TRUE,The Song of Bernadette,,Interior Decoration (Black-and-White)
12346,Alexander Golitzen; John B. Goodman,1944,Academy Awards,Best Production Design (Color),TRUE,Phantom of the Opera,,Interior Decoration (Color)
9062,Cedric Gibbons; William Ferrari,1945,Academy Awards,Best Production Design (B&W),TRUE,Gaslight,,Interior Decoration (Black-and-White)
103507,Wiard Ihnen,1945,Academy Awards,Best Production Design (Color),TRUE,Wilson,,Interior Decoration (Color)
103507,Wiard Ihnen,1946,Academy Awards,Best Production Design (B&W),TRUE,Blood on the Sun,,Interior Decoration (Black-and-White)
8622,Hans Dreier; Ernst Fegté,1946,Academy Awards,Best Production Design (Color),TRUE,Frenchman's Creek,,Interior Decoration (Color)
1096786,William S. Darling; Lyle R. Wheeler,1947,Academy Awards,Best Production Design (B&W),TRUE,Anna and the King of Siam,,Art Direction (Black-and-White)
9062,Cedric Gibbons; Paul Groesse,1947,Academy Awards,Best Production Design (Color),TRUE,The Yearling,,Art Direction (Color)
6605,Wilfred Shingleton,1948,Academy Awards,Best Production Design (B&W),TRUE,Great Expectations,,Art Direction (Black-and-White)
27937,Alfred Junge,1948,Academy Awards,Best Production Design (Color),TRUE,Black Narcissus,,Art Direction (Color)
