tmdb_id,nominee,year,festival,category,won,movie_title
10582,Walter Brennan,1937,Academy Awards,Best Supporting Actor,TRUE,Come and Get It
20120,Akim Tamiroff,1937,Academy Awards,Best Supporting Actor,FALSE,The General Died at Dawn
335,Basil Rathbone,1937,Academy Awards,Best Supporting Actor,FALSE,Romeo and Juliet
20150,Mischa Auer,1937,Academy Awards,Best Supporting Actor,FALSE,My Man Godfrey
16301,Stuart Erwin,1937,Academy Awards,Best Supporting Actor,FALSE,Pigskin Parade
20150,Joseph Schildkraut,1938,Academy Awards,Best Supporting Actor,TRUE,The Life of Emile Zola
20114,H. B. Warner,1938,Academy Awards,Best Supporting Actor,FALSE,Lost Horizon
20115,Ralph Bellamy,1938,Academy Awards,Best Supporting Actor,FALSE,The Awful Truth
20113,Roland Young,1938,Academy Awards,Best Supporting Actor,FALSE,Topper
11054,Thomas Mitchell,1938,Academy Awards,Best Supporting Actor,FALSE,The Hurricane
10582,Walter Brennan,1939,Academy Awards,Best Supporting Actor,TRUE,Kentucky
335,Basil Rathbone,1939,Academy Awards,Best Supporting Actor,FALSE,If I Were King
20146,Gene Lockhart,1939,Academy Awards,Best Supporting Actor,FALSE,Algiers
20147,John Garfield,1939,Academy Awards,Best Supporting Actor,FALSE,Four Daughters
20145,Robert Morley,1939,Academy Awards,Best Supporting Actor,FALSE,Marie Antoinette
11054,Thomas Mitchell,1940,Academy Awards,Best Supporting Actor,TRUE,Stagecoach
20144,Brian Aherne,1940,Academy Awards,Best Supporting Actor,FALSE,Juarez
20142,Brian Donlevy,1940,Academy Awards,Best Supporting Actor,FALSE,Beau Geste
3085,Claude Rains,1940,Academy Awards,Best Supporting Actor,FALSE,Mr. Smith Goes to Washington
20143,Harry Carey Sr.,1940,Academy Awards,Best Supporting Actor,FALSE,Mr. Smith Goes to Washington
10582,Walter Brennan,1941,Academy Awards,Best Supporting Actor,TRUE,The Westerner
20141,Albert Bassermann,1941,Academy Awards,Best Supporting Actor,FALSE,Foreign Correspondent
15549,Jack Oakie,1941,Academy Awards,Best Supporting Actor,FALSE,The Great Dictator
20139,James Stephenson,1941,Academy Awards,Best Supporting Actor,FALSE,The Letter
20140,William Gargan,1941,Academy Awards,Best Supporting Actor,FALSE,They Knew What They Wanted
18144,Donald Crisp,1942,Academy Awards,Best Supporting Actor,TRUE,How Green Was My Valley
2144,Charles Coburn,1942,Academy Awards,Best Supporting Actor,FALSE,The Devil and Miss Jones
20138,James Gleason,1942,Academy Awards,Best Supporting Actor,FALSE,Here Comes Mr. Jordan
20137,Sydney Greenstreet,1942,Academy Awards,Best Supporting Actor,FALSE,The Maltese Falcon
10582,Walter Brennan,1942,Academy Awards,Best Supporting Actor,FALSE,Sergeant York
15758,Van Heflin,1943,Academy Awards,Best Supporting Actor,TRUE,Johnny Eager
15842,Frank Morgan,1943,Academy Awards,Best Supporting Actor,FALSE,Tortilla Flat
20135,Henry Travers,1943,Academy Awards,Best Supporting Actor,FALSE,Mrs. Miniver
14717,Walter Huston,1943,Academy Awards,Best Supporting Actor,FALSE,Yankee Doodle Dandy
20136,William Bendix,1943,Academy Awards,Best Supporting Actor,FALSE,Wake Island
2144,Charles Coburn,1944,Academy Awards,Best Supporting Actor,TRUE,The More the Merrier
20120,Akim Tamiroff,1944,Academy Awards,Best Supporting Actor,FALSE,For Whom the Bell Tolls
10138,Charles Bickford,1944,Academy Awards,Best Supporting Actor,FALSE,The Song of Bernadette
3085,Claude Rains,1944,Academy Awards,Best Supporting Actor,FALSE,Casablanca
20134,J. Carrol Naish,1944,Academy Awards,Best Supporting Actor,FALSE,Sahara
19227,Barry Fitzgerald,1945,Academy Awards,Best Supporting Actor,TRUE,Going My Way
3085,Claude Rains,1945,Academy Awards,Best Supporting Actor,FALSE,Mr. Skeffington
20132,Clifton Webb,1945,Academy Awards,Best Supporting Actor,FALSE,Laura
20133,Hume Cronyn,1945,Academy Awards,Best Supporting Actor,FALSE,The Seventh Cross
20131,Monty Woolley,1945,Academy Awards,Best Supporting Actor,FALSE,Since You Went Away
10515,James Dunn,1946,Academy Awards,Best Supporting Actor,TRUE,A Tree Grows in Brooklyn
20134,J. Carrol Naish,1946,Academy Awards,Best Supporting Actor,FALSE,A Medal for Benny
20129,John Dall,1946,Academy Awards,Best Supporting Actor,FALSE,The Corn Is Green
20130,Michael Chekhov,1946,Academy Awards,Best Supporting Actor,FALSE,Spellbound
10829,Robert Mitchum,1946,Academy Awards,Best Supporting Actor,FALSE,The Story of G.I. Joe
15222,Harold Russell,1947,Academy Awards,Best Supporting Actor,TRUE,The Best Years of Our Lives
2144,Charles Coburn,1947,Academy Awards,Best Supporting Actor,FALSE,The Green Years
3085,Claude Rains,1947,Academy Awards,Best Supporting Actor,FALSE,Notorious
20132,Clifton Webb,1947,Academy Awards,Best Supporting Actor,FALSE,The Razor's Edge
20128,William Demarest,1947,Academy Awards,Best Supporting Actor,FALSE,The Jolson Story
10839,Edmund Gwenn,1948,Academy Awards,Best Supporting Actor,TRUE,Miracle on 34th Street
10138,Charles Bickford,1948,Academy Awards,Best Supporting Actor,FALSE,The Farmer's Daughter
20125,Richard Widmark,1948,Academy Awards,Best Supporting Actor,FALSE,Kiss of Death
20126,Robert Ryan,1948,Academy Awards,Best Supporting Actor,FALSE,Crossfire
20127,Thomas Gomez,1948,Academy Awards,Best Supporting Actor,FALSE,Ride the Pink Horse
14717,Walter Huston,1949,Academy Awards,Best Supporting Actor,TRUE,The Treasure of the Sierra Madre
20122,Cecil Kellaway,1949,Academy Awards,Best Supporting Actor,FALSE,The Luck of the Irish
10138,Charles Bickford,1949,Academy Awards,Best Supporting Actor,FALSE,Johnny Belinda
20124,José Ferrer,1949,Academy Awards,Best Supporting Actor,FALSE,Joan of Arc
20123,Oskar Homolka,1949,Academy Awards,Best Supporting Actor,FALSE,I Remember Mama
20117,Dean Jagger,1950,Academy Awards,Best Supporting Actor,TRUE,Twelve O'Clock High
20120,Akim Tamiroff,1950,Academy Awards,Best Supporting Actor,FALSE,Black Magic
20118,David Brian,1950,Academy Awards,Best Supporting Actor,FALSE,Intruder in the Dust
20119,James Whitmore,1950,Academy Awards,Best Supporting Actor,FALSE,Battleground
20121,John Lund,1950,Academy Awards,Best Supporting Actor,FALSE,My Friend Irma
14570,George Sanders,1951,Academy Awards,Best Supporting Actor,TRUE,All About Eve
10839,Edmund Gwenn,1951,Academy Awards,Best Supporting Actor,FALSE,Mister 880
15206,Erich von Stroheim,1951,Academy Awards,Best Supporting Actor,FALSE,Sunset Boulevard
3110,Jeff Chandler,1951,Academy Awards,Best Supporting Actor,FALSE,Broken Arrow
20116,Sam Jaffe,1951,Academy Awards,Best Supporting Actor,FALSE,The Asphalt Jungle
3101,Karl Malden,1952,Academy Awards,Best Supporting Actor,TRUE,A Streetcar Named Desire
36803,Gig Young,1952,Academy Awards,Best Supporting Actor,FALSE,Come Fill the Cup
10488,Kevin McCarthy,1952,Academy Awards,Best Supporting Actor,FALSE,Death of a Salesman
16345,Leo Genn,1952,Academy Awards,Best Supporting Actor,FALSE,Quo Vadis
212,Peter Ustinov,1952,Academy Awards,Best Supporting Actor,FALSE,Quo Vadis
16346,Anthony Quinn,1953,Academy Awards,Best Supporting Actor,TRUE,Viva Zapata!
11470,Arthur Hunnicutt,1953,Academy Awards,Best Supporting Actor,FALSE,The Big Sky
20111,Jack Palance,1953,Academy Awards,Best Supporting Actor,FALSE,Sudden Fear
20115,Richard Burton,1953,Academy Awards,Best Supporting Actor,FALSE,My Cousin Rachel
20112,Victor McLaglen,1953,Academy Awards,Best Supporting Actor,FALSE,The Quiet Man
267,Frank Sinatra,1954,Academy Awards,Best Supporting Actor,TRUE,From Here to Eternity
11414,Brandon deWilde,1954,Academy Awards,Best Supporting Actor,FALSE,Shane
13045,Eddie Albert,1954,Academy Awards,Best Supporting Actor,FALSE,Roman Holiday
20111,Jack Palance,1954,Academy Awards,Best Supporting Actor,FALSE,Shane
16302,Robert Strauss,1954,Academy Awards,Best Supporting Actor,FALSE,Stalag 17
15053,Edmond O'Brien,1955,Academy Awards,Best Supporting Actor,TRUE,The Barefoot Contessa
3101,Karl Malden,1955,Academy Awards,Best Supporting Actor,FALSE,On the Waterfront
5546,Lee J. Cobb,1955,Academy Awards,Best Supporting Actor,FALSE,On the Waterfront
4202,Rod Steiger,1955,Academy Awards,Best Supporting Actor,FALSE,On the Waterfront
11041,Tom Tully,1955,Academy Awards,Best Supporting Actor,FALSE,The Caine Mutiny
2540,Jack Lemmon,1956,Academy Awards,Best Supporting Actor,TRUE,Mister Roberts
11210,Arthur Kennedy,1956,Academy Awards,Best Supporting Actor,FALSE,Trial
11211,Arthur O'Connell,1956,Academy Awards,Best Supporting Actor,FALSE,Picnic
15887,Joe Mantell,1956,Academy Awards,Best Supporting Actor,FALSE,Marty
10444,Sal Mineo,1956,Academy Awards,Best Supporting Actor,FALSE,Rebel Without a Cause
16346,Anthony Quinn,1957,Academy Awards,Best Supporting Actor,TRUE,Lust for Life
20110,Don Murray,1957,Academy Awards,Best Supporting Actor,FALSE,Bus Stop
18580,Mickey Rooney,1957,Academy Awards,Best Supporting Actor,FALSE,The Bold and the Brave
20109,Robert Stack,1957,Academy Awards,Best Supporting Actor,FALSE,Written on the Wind
4254,Red Buttons,1958,Academy Awards,Best Supporting Actor,TRUE,Sayonara
11210,Arthur Kennedy,1958,Academy Awards,Best Supporting Actor,FALSE,Peyton Place
20107,Russ Tamblyn,1958,Academy Awards,Best Supporting Actor,FALSE,Peyton Place
20108,Sessue Hayakawa,1958,Academy Awards,Best Supporting Actor,FALSE,The Bridge on the River Kwai
16303,Vittorio De Sica,1958,Academy Awards,Best Supporting Actor,FALSE,A Farewell to Arms
19213,Burl Ives,1959,Academy Awards,Best Supporting Actor,TRUE,The Big Country
11210,Arthur Kennedy,1959,Academy Awards,Best Supporting Actor,FALSE,Some Came Running
36803,Gig Young,1959,Academy Awards,Best Supporting Actor,FALSE,Teacher's Pet
5546,Lee J. Cobb,1959,Academy Awards,Best Supporting Actor,FALSE,The Brothers Karamazov
16187,Theodore Bikel,1959,Academy Awards,Best Supporting Actor,FALSE,The Defiant Ones
16186,Hugh Griffith,1960,Academy Awards,Best Supporting Actor,TRUE,Ben-Hur
11211,Arthur O'Connell,1960,Academy Awards,Best Supporting Actor,FALSE,Anatomy of a Murder
15053,Edmond O'Brien,1960,Academy Awards,Best Supporting Actor,FALSE,The Last Angry Man
14057,George C. Scott,1960,Academy Awards,Best Supporting Actor,FALSE,Anatomy of a Murder
16185,Robert Vaughn,1960,Academy Awards,Best Supporting Actor,FALSE,The Young Philadelphians
335,Peter Ustinov,1961,Academy Awards,Best Supporting Actor,TRUE,Spartacus
15223,Chill Wills,1961,Academy Awards,Best Supporting Actor,FALSE,The Alamo
15843,Jack Kruschen,1961,Academy Awards,Best Supporting Actor,FALSE,The Apartment
3007,Peter Falk,1961,Academy Awards,Best Supporting Actor,FALSE,Murder Inc.
10444,Sal Mineo,1961,Academy Awards,Best Supporting Actor,FALSE,Exodus
15423,George Chakiris,1962,Academy Awards,Best Supporting Actor,TRUE,West Side Story
14057,George C. Scott,1962,Academy Awards,Best Supporting Actor,FALSE,The Hustler
15550,Jackie Gleason,1962,Academy Awards,Best Supporting Actor,FALSE,The Hustler
10821,Montgomery Clift,1962,Academy Awards,Best Supporting Actor,FALSE,Judgment at Nuremberg
3007,Peter Falk,1962,Academy Awards,Best Supporting Actor,FALSE,Pocketful of Miracles
16298,Ed Begley,1963,Academy Awards,Best Supporting Actor,TRUE,Sweet Bird of Youth
15842,Omar Sharif,1963,Academy Awards,Best Supporting Actor,FALSE,Lawrence of Arabia
15133,Telly Savalas,1963,Academy Awards,Best Supporting Actor,FALSE,Birdman of Alcatraz
15148,Terence Stamp,1963,Academy Awards,Best Supporting Actor,FALSE,Billy Budd
18581,Victor Buono,1963,Academy Awards,Best Supporting Actor,FALSE,What Ever Happened to Baby Jane?
16349,Melvyn Douglas,1964,Academy Awards,Best Supporting Actor,TRUE,Hud
16299,Bobby Darin,1964,Academy Awards,Best Supporting Actor,FALSE,Captain Newman M.D.
16186,Hugh Griffith,1964,Academy Awards,Best Supporting Actor,FALSE,Tom Jones
15132,John Huston,1964,Academy Awards,Best Supporting Actor,FALSE,The Cardinal
10793,Nick Adams,1964,Academy Awards,Best Supporting Actor,FALSE,Twilight of Honor
335,Peter Ustinov,1965,Academy Awards,Best Supporting Actor,TRUE,Topkapi
15053,Edmond O'Brien,1965,Academy Awards,Best Supporting Actor,FALSE,Seven Days in May
15124,John Gielgud,1965,Academy Awards,Best Supporting Actor,FALSE,Becket
5546,Lee J. Cobb,1965,Academy Awards,Best Supporting Actor,FALSE,How the West Was Won
15759,Stanley Holloway,1965,Academy Awards,Best Supporting Actor,FALSE,My Fair Lady
19124,Martin Balsam,1966,Academy Awards,Best Supporting Actor,TRUE,A Thousand Clowns
14057,George C. Scott,1966,Academy Awards,Best Supporting Actor,FALSE,The Yellow Rolls-Royce
10842,Ian Bannen,1966,Academy Awards,Best Supporting Actor,FALSE,The Flight of the Phoenix
3222,Robert Redford,1966,Academy Awards,Best Supporting Actor,FALSE,Inside Daisy Clover
11043,Tom Courtenay,1966,Academy Awards,Best Supporting Actor,FALSE,Doctor Zhivago
13455,Walter Matthau,1967,Academy Awards,Best Supporting Actor,TRUE,The Fortune Cookie
14057,George C. Scott,1967,Academy Awards,Best Supporting Actor,FALSE,The Bible: In the Beginning...
15112,James Mason,1967,Academy Awards,Best Supporting Actor,FALSE,Georgy Girl
2041,Mako,1967,Academy Awards,Best Supporting Actor,FALSE,The Sand Pebbles
15104,Robert Shaw,1967,Academy Awards,Best Supporting Actor,FALSE,A Man for All Seasons
14431,George Kennedy,1968,Academy Awards,Best Supporting Actor,TRUE,Cool Hand Luke
15082,Cecil Kellaway,1968,Academy Awards,Best Supporting Actor,FALSE,Guess Who's Coming to Dinner
31,Dustin Hoffman,1968,Academy Awards,Best Supporting Actor,FALSE,The Graduate
15112,John Cassavetes,1968,Academy Awards,Best Supporting Actor,FALSE,The Dirty Dozen
10793,Michael J. Pollard,1968,Academy Awards,Best Supporting Actor,FALSE,Bonnie and Clyde
18579,Jack Albertson,1969,Academy Awards,Best Supporting Actor,TRUE,The Subject Was Roses
11333,Daniel Massey,1969,Academy Awards,Best Supporting Actor,FALSE,Star!
3222,Gene Wilder,1969,Academy Awards,Best Supporting Actor,FALSE,The Producers
18581,Jack Wild,1969,Academy Awards,Best Supporting Actor,FALSE,Oliver!
15112,Seymour Cassel,1969,Academy Awards,Best Supporting Actor,FALSE,Faces
11195,Gig Young,1970,Academy Awards,Best Supporting Actor,TRUE,They Shoot Horses Don't They?
20153,Anthony Quayle,1970,Academy Awards,Best Supporting Actor,FALSE,Anne of the Thousand Days
11197,Fredric March,1970,Academy Awards,Best Supporting Actor,FALSE,...tick...tick...tick...
3084,Jack Nicholson,1970,Academy Awards,Best Supporting Actor,FALSE,Easy Rider
11116,Vincent Gardenia,1970,Academy Awards,Best Supporting Actor,FALSE,Jenny
15132,John Mills,1971,Academy Awards,Best Supporting Actor,TRUE,Ryan's Daughter
11198,Chief Dan George,1971,Academy Awards,Best Supporting Actor,FALSE,Little Big Man
3222,Gene Hackman,1971,Academy Awards,Best Supporting Actor,FALSE,I Never Sang for My Father
11110,John Marley,1971,Academy Awards,Best Supporting Actor,FALSE,Love Story
16304,Richard S. Castellano,1971,Academy Awards,Best Supporting Actor,FALSE,Lovers and Other Strangers
16188,Ben Johnson,1972,Academy Awards,Best Supporting Actor,TRUE,The Last Picture Show
11199,Jeff Bridges,1972,Academy Awards,Best Supporting Actor,FALSE,The Last Picture Show
11111,Leonard Frey,1972,Academy Awards,Best Supporting Actor,FALSE,Fiddler on the Roof
11112,Richard Jaeckel,1972,Academy Awards,Best Supporting Actor,FALSE,Sometimes a Great Notion
11113,Roy Scheider,1972,Academy Awards,Best Supporting Actor,FALSE,The French Connection
15888,Joel Grey,1973,Academy Awards,Best Supporting Actor,TRUE,Cabaret
