tmdb_id,nominee,year,festival,category,won,movie_title
20150,Gale Sondergaard,1937,Academy Awards,Best Supporting Actress,TRUE,Anthony Adverse
20152,Alice Brady,1937,Academy Awards,Best Supporting Actress,FALSE,My Man Godfrey
20151,Beulah Bondi,1937,Academy Awards,Best Supporting Actress,FALSE,The Gorgeous Hussy
20153,Bonita Granville,1937,Academy Awards,Best Supporting Actress,FALSE,These Three
20154,Maria Ouspenskaya,1937,Academy Awards,Best Supporting Actress,FALSE,Dodsworth
20155,Alice Brady,1938,Academy Awards,Best Supporting Actress,TRUE,In Old Chicago
20156,Andrea Leeds,1938,Academy Awards,Best Supporting Actress,FALSE,Stage Door
20157,Anne Shirley,1938,Academy Awards,Best Supporting Actress,FALSE,Stella Dallas
20158,Claire Trevor,1938,Academy Awards,Best Supporting Actress,FALSE,Dead End
20159,May Whitty,1938,Academy Awards,Best Supporting Actress,FALSE,Night Must Fall
20160,Fay Bainter,1939,Academy Awards,Best Supporting Actress,TRUE,Jezebel
20151,Beulah Bondi,1939,Academy Awards,Best Supporting Actress,FALSE,Of Human Hearts
20161,Billie Burke,1939,Academy Awards,Best Supporting Actress,FALSE,Merrily We Live
20163,Miliza Korjus,1939,Academy Awards,Best Supporting Actress,FALSE,The Great Waltz
20162,Spring Byington,1939,Academy Awards,Best Supporting Actress,FALSE,You Can't Take It with You
20164,Hattie McDaniel,1940,Academy Awards,Best Supporting Actress,TRUE,Gone with the Wind
20167,Edna May Oliver,1940,Academy Awards,Best Supporting Actress,FALSE,Drums Along the Mohawk
20166,Geraldine Fitzgerald,1940,Academy Awards,Best Supporting Actress,FALSE,Wuthering Heights
20154,Maria Ouspenskaya,1940,Academy Awards,Best Supporting Actress,FALSE,Love Affair
20165,Olivia de Havilland,1940,Academy Awards,Best Supporting Actress,FALSE,Gone with the Wind
20168,Jane Darwell,1941,Academy Awards,Best Supporting Actress,TRUE,The Grapes of Wrath
20171,Barbara O'Neil,1941,Academy Awards,Best Supporting Actress,FALSE,All This and Heaven Too
20169,Judith Anderson,1941,Academy Awards,Best Supporting Actress,FALSE,Rebecca
20172,Marjorie Rambeau,1941,Academy Awards,Best Supporting Actress,FALSE,Primrose Path
20170,Ruth Hussey,1941,Academy Awards,Best Supporting Actress,FALSE,The Philadelphia Story
20173,Mary Astor,1942,Academy Awards,Best Supporting Actress,TRUE,The Great Lie
20177,Margaret Wycherly,1942,Academy Awards,Best Supporting Actress,FALSE,Sergeant York
20175,Patricia Collinge,1942,Academy Awards,Best Supporting Actress,FALSE,The Little Foxes
20174,Sara Allgood,1942,Academy Awards,Best Supporting Actress,FALSE,How Green Was My Valley
20176,Teresa Wright,1942,Academy Awards,Best Supporting Actress,FALSE,The Little Foxes
20176,Teresa Wright,1943,Academy Awards,Best Supporting Actress,TRUE,Mrs. Miniver
20179,Agnes Moorehead,1943,Academy Awards,Best Supporting Actress,FALSE,The Magnificent Ambersons
20178,Gladys Cooper,1943,Academy Awards,Best Supporting Actress,FALSE,Now Voyager
20159,May Whitty,1943,Academy Awards,Best Supporting Actress,FALSE,Mrs. Miniver
20180,Susan Peters,1943,Academy Awards,Best Supporting Actress,FALSE,Random Harvest
20181,Katina Paxinou,1944,Academy Awards,Best Supporting Actress,TRUE,For Whom the Bell Tolls
