tmdb_id,nominee,year,festival,category,won,movie_title
1648346,Robert Aramayo,2026,BAFTA,Best Actor,false,I Swear
1190668,Timothée Chalamet,2026,BAFTA,Best Actor,false,Marty Supreme
6193,Leonardo DiCaprio,2026,BAFTA,Best Actor,false,One Battle After Another
569,Ethan Hawke,2026,BAFTA,Best Actor,false,Blue Moon
135651,Michael B. Jordan,2026,BAFTA,Best Actor,false,Sinners
88124,Jesse Plemons,2026,BAFTA,Best Actor,false,Bugonia
3490,Adrien Brody,2025,BAFTA,Best Actor,true,The Brutalist
1190668,Timothée Chalamet,2025,BAFTA,Best Actor,false,A Complete Unknown
91671,Colman Domingo,2025,BAFTA,Best Actor,false,Sing Sing
5469,Ralph Fiennes,2025,BAFTA,Best Actor,false,Conclave
3291,Hugh Grant,2025,BAFTA,Best Actor,false,Heretic
60898,Sebastian Stan,2025,BAFTA,Best Actor,false,The Apprentice
2037,Cillian Murphy,2024,BAFTA,Best Actor,true,Oppenheimer
51329,Bradley Cooper,2024,BAFTA,Best Actor,false,Maestro
91671,Colman Domingo,2024,BAFTA,Best Actor,false,Rustin
13242,Paul Giamatti,2024,BAFTA,Best Actor,false,The Holdovers
1290466,Barry Keoghan,2024,BAFTA,Best Actor,false,Saltburn
1387126,Teo Yoo,2024,BAFTA,Best Actor,false,Past Lives
86654,Austin Butler,2023,BAFTA,Best Actor,true,Elvis
72466,Colin Farrell,2023,BAFTA,Best Actor,false,The Banshees of Inisherin
18269,Brendan Fraser,2023,BAFTA,Best Actor,false,The Whale
1829245,Daryl McCormack,2023,BAFTA,Best Actor,false,Good Luck to You Leo Grande
2326151,Paul Mescal,2023,BAFTA,Best Actor,false,Aftersun
2440,Bill Nighy,2023,BAFTA,Best Actor,false,Living
2888,Will Smith,2022,BAFTA,Best Actor,true,King Richard
81840,Adeel Akhtar,2022,BAFTA,Best Actor,false,Ali & Ava
932967,Mahershala Ali,2022,BAFTA,Best Actor,false,Swan Song
71580,Benedict Cumberbatch,2022,BAFTA,Best Actor,false,The Power of the Dog
6193,Leonardo DiCaprio,2022,BAFTA,Best Actor,false,Don't Look Up
1115,Stephen Graham,2022,BAFTA,Best Actor,false,Boiling Point
4173,Anthony Hopkins,2021,BAFTA,Best Actor,true,The Father
53240,Riz Ahmed,2021,BAFTA,Best Actor,false,Sound of Metal
172069,Chadwick Boseman,2021,BAFTA,Best Actor,false,Ma Rainey's Black Bottom
1605786,Adarsh Gourav,2021,BAFTA,Best Actor,false,The White Tiger
1019,Mads Mikkelsen,2021,BAFTA,Best Actor,false,Another Round
81051,Tahar Rahim,2021,BAFTA,Best Actor,false,The Mauritanian
73421,Joaquin Phoenix,2020,BAFTA,Best Actor,true,Joker
6193,Leonardo DiCaprio,2020,BAFTA,Best Actor,false,Once Upon a Time in Hollywood
1023139,Adam Driver,2020,BAFTA,Best Actor,false,Marriage Story
1303037,Taron Egerton,2020,BAFTA,Best Actor,false,Rocketman
378,Jonathan Pryce,2020,BAFTA,Best Actor,false,The Two Popes
17838,Rami Malek,2019,BAFTA,Best Actor,true,Bohemian Rhapsody
3894,Christian Bale,2019,BAFTA,Best Actor,false,Vice
4581,Steve Coogan,2019,BAFTA,Best Actor,false,Stan & Ollie
51329,Bradley Cooper,2019,BAFTA,Best Actor,false,A Star Is Born
110,Viggo Mortensen,2019,BAFTA,Best Actor,false,Green Book
64,Gary Oldman,2018,BAFTA,Best Actor,true,Darkest Hour
478,Jamie Bell,2018,BAFTA,Best Actor,false,Film Stars Don't Die in Liverpool
1190668,Timothée Chalamet,2018,BAFTA,Best Actor,false,Call Me by Your Name
11856,Daniel Day-Lewis,2018,BAFTA,Best Actor,false,Phantom Thread
