tmdb_id,nominee,year,festival,category,won,movie_title
3151,Jack Lemmon,1979,BAFTA,Best Actor,true,The China Syndrome
1243,Woody Allen,1979,BAFTA,Best Actor,false,Manhattan
380,Robert De Niro,1979,BAFTA,Best Actor,false,The Deer Hunter
8349,Martin Sheen,1979,BAFTA,Best Actor,false,Apocalypse Now
3037,Richard Dreyfuss,1978,BAFTA,Best Actor,true,The Goodbye Girl
4173,Anthony Hopkins,1978,BAFTA,Best Actor,false,Magic
69010,Brad Davis,1978,BAFTA,Best Actor,false,Midnight Express
14501,Peter Ustinov,1978,BAFTA,Best Actor,false,Death on the Nile
29903,Peter Finch,1977,BAFTA,Best Actor,true,Network
8252,William Holden,1977,BAFTA,Best Actor,false,Network
16483,Sylvester Stallone,1977,BAFTA,Best Actor,false,Rocky
3636,Paul Newman,1977,BAFTA,Best Actor,false,Slap Shot
514,Jack Nicholson,1976,BAFTA,Best Actor,true,One Flew Over the Cuckoo's Nest
380,Robert De Niro,1976,BAFTA,Best Actor,false,Taxi Driver
4483,Dustin Hoffman,1976,BAFTA,Best Actor,false,All the President's Men
6837,Walter Matthau,1976,BAFTA,Best Actor,false,The Bad News Bears
1158,Al Pacino,1975,BAFTA,Best Actor,true,The Godfather Part II
3037,Richard Dreyfuss,1975,BAFTA,Best Actor,false,Jaws
193,Gene Hackman,1975,BAFTA,Best Actor,false,French Connection II
4483,Dustin Hoffman,1975,BAFTA,Best Actor,false,Lenny
514,Jack Nicholson,1974,BAFTA,Best Actor,true,Chinatown
3926,Albert Finney,1974,BAFTA,Best Actor,false,Murder on the Orient Express
193,Gene Hackman,1974,BAFTA,Best Actor,false,The Conversation
1158,Al Pacino,1974,BAFTA,Best Actor,false,Serpico
6837,Walter Matthau,1973,BAFTA,Best Actor,true,Pete 'n' Tillie
3084,Marlon Brando,1973,BAFTA,Best Actor,false,Last Tango in Paris
3359,Laurence Olivier,1973,BAFTA,Best Actor,false,Sleuth
55636,Donald Sutherland,1973,BAFTA,Best Actor,false,Steelyard Blues
193,Gene Hackman,1972,BAFTA,Best Actor,true,The French Connection
3084,Marlon Brando,1972,BAFTA,Best Actor,false,The Nightcomers
862,George C. Scott,1972,BAFTA,Best Actor,false,The Hospital
8606,Robert Shaw,1972,BAFTA,Best Actor,false,Young Winston
29903,Peter Finch,1971,BAFTA,Best Actor,true,Sunday Bloody Sunday
21605,Dirk Bogarde,1971,BAFTA,Best Actor,false,Death in Venice
3926,Albert Finney,1971,BAFTA,Best Actor,false,Gumshoe
4483,Dustin Hoffman,1971,BAFTA,Best Actor,false,Little Big Man
4135,Robert Redford,1970,BAFTA,Best Actor,true,Butch Cassidy and the Sundance Kid
827,Elliott Gould,1970,BAFTA,Best Actor,false,MASH
3636,Paul Newman,1970,BAFTA,Best Actor,false,Butch Cassidy and the Sundance Kid
862,George C. Scott,1970,BAFTA,Best Actor,false,Patton
