tmdb_id,nominee,year,festival,category,won,movie_title
1498158,Jessie Buckley,2026,BAFTA,Best Actress,false,Hamnet
9827,Rose Byrne,2026,BAFTA,Best Actress,false,If I Had Legs I'd Kick You
11661,Kate Hudson,2026,BAFTA,Best Actress,false,Song Sung Blue
3914706,Chase Infiniti,2026,BAFTA,Best Actress,false,One Battle After Another
1576786,Renate Reinsve,2026,BAFTA,Best Actress,false,Sentimental Value
54693,Emma Stone,2026,BAFTA,Best Actress,false,Bugonia
1640439,Mikey Madison,2025,BAFTA,Best Actress,true,Anora
1765068,Cynthia Erivo,2025,BAFTA,Best Actress,false,Wicked
1505938,Karla Sofia Gascon,2025,BAFTA,Best Actress,false,Emilia Perez
17352,Marianne Jean-Baptiste,2025,BAFTA,Best Actress,false,Hard Truths
3416,Demi Moore,2025,BAFTA,Best Actress,false,The Substance
36592,Saoirse Ronan,2025,BAFTA,Best Actress,false,The Outrun
54693,Emma Stone,2024,BAFTA,Best Actress,true,Poor Things
165909,Fantasia Barrino,2024,BAFTA,Best Actress,false,The Color Purple
7152,Sandra Huller,2024,BAFTA,Best Actress,false,Anatomy of a Fall
36662,Carey Mulligan,2024,BAFTA,Best Actress,false,Maestro
1675593,Vivian Oparah,2024,BAFTA,Best Actress,false,Rye Lane
234352,Margot Robbie,2024,BAFTA,Best Actress,false,Barbie
112,Cate Blanchett,2023,BAFTA,Best Actress,true,Tar
19492,Viola Davis,2023,BAFTA,Best Actress,false,The Woman King
1853909,Danielle Deadwyler,2023,BAFTA,Best Actress,false,Till
224513,Ana de Armas,2023,BAFTA,Best Actress,false,Blonde
7056,Emma Thompson,2023,BAFTA,Best Actress,false,Good Luck to You Leo Grande
1620,Michelle Yeoh,2023,BAFTA,Best Actress,false,Everything Everywhere All at Once
33450,Joanna Scanlan,2022,BAFTA,Best Actress,true,After Love
237405,Lady Gaga,2022,BAFTA,Best Actress,false,House of Gucci
1741367,Alana Haim,2022,BAFTA,Best Actress,false,Licorice Pizza
1331023,Emilia Jones,2022,BAFTA,Best Actress,false,CODA
1576786,Renate Reinsve,2022,BAFTA,Best Actress,false,The Worst Person in the World
62561,Tessa Thompson,2022,BAFTA,Best Actress,false,Passing
3910,Frances McDormand,2021,BAFTA,Best Actress,true,Nomadland
2381123,Bukky Bakray,2021,BAFTA,Best Actress,false,Rocks
2379700,Radha Blank,2021,BAFTA,Best Actress,false,The Forty-Year-Old Version
556356,Vanessa Kirby,2021,BAFTA,Best Actress,false,Pieces of a Woman
134774,Wunmi Mosaku,2021,BAFTA,Best Actress,false,His House
1981,Alfre Woodard,2021,BAFTA,Best Actress,false,Clemency
9137,Renee Zellweger,2020,BAFTA,Best Actress,true,Judy
1498158,Jessie Buckley,2020,BAFTA,Best Actress,false,Wild Rose
1245,Scarlett Johansson,2020,BAFTA,Best Actress,false,Marriage Story
36592,Saoirse Ronan,2020,BAFTA,Best Actress,false,Little Women
6885,Charlize Theron,2020,BAFTA,Best Actress,false,Bombshell
39187,Olivia Colman,2019,BAFTA,Best Actress,true,The Favourite
515,Glenn Close,2019,BAFTA,Best Actress,false,The Wife
19492,Viola Davis,2019,BAFTA,Best Actress,false,Widows
237405,Lady Gaga,2019,BAFTA,Best Actress,false,A Star Is Born
