tmdb_id,nominee,year,festival,category,won,movie_title
1056121,Ryan Coogler,2026,BAFTA,Best Director,false,Sinners
122423,Yorgos Lanthimos,2026,BAFTA,Best Director,false,Bugonia
129561,Josh Safdie,2026,BAFTA,Best Director,false,Marty Supreme
4762,Paul Thomas Anderson,2026,BAFTA,Best Director,false,One Battle After Another
71609,Joachim Trier,2026,BAFTA,Best Director,false,Sentimental Value
1395183,Chloe Zhao,2026,BAFTA,Best Director,false,Hamnet
55493,Brady Corbet,2025,BAFTA,Best Director,true,The Brutalist
17496,Jacques Audiard,2025,BAFTA,Best Director,false,Emilia Perez
118415,Sean Baker,2025,BAFTA,Best Director,false,Anora
221522,Edward Berger,2025,BAFTA,Best Director,false,Conclave
1607016,Coralie Fargeat,2025,BAFTA,Best Director,false,The Substance
1467320,Payal Kapadia,2025,BAFTA,Best Director,false,All We Imagine as Light
525,Christopher Nolan,2024,BAFTA,Best Director,true,Oppenheimer
586002,Andrew Haigh,2024,BAFTA,Best Director,false,All of Us Strangers
1175620,Justine Triet,2024,BAFTA,Best Director,false,Anatomy of a Fall
13235,Alexander Payne,2024,BAFTA,Best Director,false,The Holdovers
51329,Bradley Cooper,2024,BAFTA,Best Director,false,Maestro
66728,Jonathan Glazer,2024,BAFTA,Best Director,false,The Zone of Interest
221522,Edward Berger,2023,BAFTA,Best Director,true,All Quiet on the Western Front
54472,Martin McDonagh,2023,BAFTA,Best Director,false,The Banshees of Inisherin
10099,Park Chan-wook,2023,BAFTA,Best Director,false,Decision to Leave
0,Daniel Kwan & Daniel Scheinert,2023,BAFTA,Best Director,false,Everything Everywhere All at Once
5010,Todd Field,2023,BAFTA,Best Director,false,Tar
71947,Gina Prince-Bythewood,2023,BAFTA,Best Director,false,The Woman King
10757,Jane Campion,2022,BAFTA,Best Director,true,The Power of the Dog
1361417,Aleem Khan,2022,BAFTA,Best Director,false,After Love
1487492,Ryusuke Hamaguchi,2022,BAFTA,Best Director,false,Drive My Car
