tmdb_id,nominee,year,festival,category,won,movie_title
39,Sam Mendes,1999,Golden Globe,Best Director,true,American Beauty
13563,Norman Jewison,1999,Golden Globe,Best Director,false,The Hurricane
17016,Neil Jordan,1999,Golden Globe,Best Director,false,The End of the Affair
638,Michael Mann,1999,Golden Globe,Best Director,false,The Insider
2239,Anthony Minghella,1999,Golden Globe,Best Director,false,The Talented Mr. Ripley
488,Steven Spielberg,1998,Golden Globe,Best Director,true,Saving Private Ryan
37630,Shekhar Kapur,1998,Golden Globe,Best Director,false,Elizabeth
18844,John Madden,1998,Golden Globe,Best Director,false,Shakespeare in Love
4135,Robert Redford,1998,Golden Globe,Best Director,false,The Horse Whisperer
2690,Peter Weir,1998,Golden Globe,Best Director,false,The Truman Show
2710,James Cameron,1997,Golden Globe,Best Director,true,Titanic
3388,James L. Brooks,1997,Golden Globe,Best Director,false,As Good as It Gets
323,Curtis Hanson,1997,Golden Globe,Best Director,false,L.A. Confidential
53334,Jim Sheridan,1997,Golden Globe,Best Director,false,The Boxer
488,Steven Spielberg,1997,Golden Globe,Best Director,false,Amistad
3974,Milos Forman,1996,Golden Globe,Best Director,true,The People vs. Larry Flynt
1223,Joel Coen,1996,Golden Globe,Best Director,false,Fargo
33433,Scott Hicks,1996,Golden Globe,Best Director,false,Shine
2239,Anthony Minghella,1996,Golden Globe,Best Director,false,The English Patient
9168,Alan Parker,1996,Golden Globe,Best Director,false,Evita
2461,Mel Gibson,1995,Golden Globe,Best Director,true,Braveheart
6111,Mike Figgis,1995,Golden Globe,Best Director,false,Leaving Las Vegas
6159,Ron Howard,1995,Golden Globe,Best Director,false,Apollo 13
1614,Ang Lee,1995,Golden Globe,Best Director,false,Sense and Sensibility
3026,Rob Reiner,1995,Golden Globe,Best Director,false,The American President
1032,Martin Scorsese,1995,Golden Globe,Best Director,false,Casino
24,Robert Zemeckis,1994,Golden Globe,Best Director,true,Forrest Gump
4135,Robert Redford,1994,Golden Globe,Best Director,false,Quiz Show
1152,Oliver Stone,1994,Golden Globe,Best Director,false,Natural Born Killers
138,Quentin Tarantino,1994,Golden Globe,Best Director,false,Pulp Fiction
9181,Edward Zwick,1994,Golden Globe,Best Director,false,Legends of the Fall
488,Steven Spielberg,1993,Golden Globe,Best Director,true,Schindler's List
10757,Jane Campion,1993,Golden Globe,Best Director,false,The Piano
12989,Andrew Davis,1993,Golden Globe,Best Director,false,The Fugitive
54441,James Ivory,1993,Golden Globe,Best Director,false,The Remains of the Day
1032,Martin Scorsese,1993,Golden Globe,Best Director,false,The Age of Innocence
190,Clint Eastwood,1992,Golden Globe,Best Director,true,Unforgiven
9789,Robert Altman,1992,Golden Globe,Best Director,false,The Player
54441,James Ivory,1992,Golden Globe,Best Director,false,Howards End
4135,Robert Redford,1992,Golden Globe,Best Director,false,A River Runs Through It
3026,Rob Reiner,1992,Golden Globe,Best Director,false,A Few Good Men
1152,Oliver Stone,1991,Golden Globe,Best Director,true,JFK
16294,Jonathan Demme,1991,Golden Globe,Best Director,false,The Silence of the Lambs
280,Terry Gilliam,1991,Golden Globe,Best Director,false,The Fisher King
8246,Barry Levinson,1991,Golden Globe,Best Director,false,Bugsy
10400,Barbra Streisand,1991,Golden Globe,Best Director,false,The Prince of Tides
1269,Kevin Costner,1990,Golden Globe,Best Director,true,Dances with Wolves
4956,Bernardo Bertolucci,1990,Golden Globe,Best Director,false,The Sheltering Sky
1776,Francis Ford Coppola,1990,Golden Globe,Best Director,false,The Godfather Part III
23393,Barbet Schroeder,1990,Golden Globe,Best Director,false,Reversal of Fortune
1032,Martin Scorsese,1990,Golden Globe,Best Director,false,Goodfellas
1152,Oliver Stone,1989,Golden Globe,Best Director,true,Born on the Fourth of July
5281,Spike Lee,1989,Golden Globe,Best Director,false,Do the Right Thing
3026,Rob Reiner,1989,Golden Globe,Best Director,false,When Harry Met Sally...
2690,Peter Weir,1989,Golden Globe,Best Director,false,Dead Poets Society
9181,Edward Zwick,1989,Golden Globe,Best Director,false,Glory
190,Clint Eastwood,1988,Golden Globe,Best Director,true,Bird
8246,Barry Levinson,1988,Golden Globe,Best Director,false,Rain Man
39996,Sidney Lumet,1988,Golden Globe,Best Director,false,Running on Empty
5342,Mike Nichols,1988,Golden Globe,Best Director,false,Working Girl
9168,Alan Parker,1988,Golden Globe,Best Director,false,Mississippi Burning
64061,Fred Schepisi,1988,Golden Globe,Best Director,false,A Cry in the Dark
4956,Bernardo Bertolucci,1987,Golden Globe,Best Director,true,The Last Emperor
4786,Richard Attenborough,1987,Golden Globe,Best Director,false,Cry Freedom
19665,John Boorman,1987,Golden Globe,Best Director,false,Hope and Glory
3388,James L. Brooks,1987,Golden Globe,Best Director,false,Broadcast News
7270,Adrian Lyne,1987,Golden Globe,Best Director,false,Fatal Attraction
1152,Oliver Stone,1986,Golden Globe,Best Director,true,Platoon
1243,Woody Allen,1986,Golden Globe,Best Director,false,Hannah and Her Sisters
54441,James Ivory,1986,Golden Globe,Best Director,false,A Room with a View
8965,Roland Joffe,1986,Golden Globe,Best Director,false,The Mission
3026,Rob Reiner,1986,Golden Globe,Best Director,false,Stand by Me
6593,John Huston,1985,Golden Globe,Best Director,true,Prizzi's Honor
4786,Richard Attenborough,1985,Golden Globe,Best Director,false,A Chorus Line
2226,Sydney Pollack,1985,Golden Globe,Best Director,false,Out of Africa
488,Steven Spielberg,1985,Golden Globe,Best Director,false,The Color Purple
2690,Peter Weir,1985,Golden Globe,Best Director,false,Witness
3974,Milos Forman,1984,Golden Globe,Best Director,true,Amadeus
1776,Francis Ford Coppola,1984,Golden Globe,Best Director,false,The Cotton Club
8965,Roland Joffe,1984,Golden Globe,Best Director,false,The Killing Fields
12238,David Lean,1984,Golden Globe,Best Director,false,A Passage to India
4385,Sergio Leone,1984,Golden Globe,Best Director,false,Once Upon a Time in America
10400,Barbra Streisand,1983,Golden Globe,Best Director,true,Yentl
5696,Bruce Beresford,1983,Golden Globe,Best Director,false,Tender Mercies
5100320,Ingmar Bergman,1983,Golden Globe,Best Director,false,Fanny and Alexander
3388,James L. Brooks,1983,Golden Globe,Best Director,false,Terms of Endearment
5342,Mike Nichols,1983,Golden Globe,Best Director,false,Silkwood
12804,Peter Yates,1983,Golden Globe,Best Director,false,The Dresser
4786,Richard Attenborough,1982,Golden Globe,Best Director,true,Gandhi
27436,Costa-Gavras,1982,Golden Globe,Best Director,false,Missing
39996,Sidney Lumet,1982,Golden Globe,Best Director,false,The Verdict
2226,Sydney Pollack,1982,Golden Globe,Best Director,false,Tootsie
488,Steven Spielberg,1982,Golden Globe,Best Director,false,E.T. the Extra-Terrestrial
6449,Warren Beatty,1981,Golden Globe,Best Director,true,Reds
3974,Milos Forman,1981,Golden Globe,Best Director,false,Ragtime
39996,Sidney Lumet,1981,Golden Globe,Best Director,false,Prince of the City
15389,Louis Malle,1981,Golden Globe,Best Director,false,Atlantic City
21958,Mark Rydell,1981,Golden Globe,Best Director,false,On Golden Pond
488,Steven Spielberg,1981,Golden Globe,Best Director,false,Raiders of the Lost Ark
4135,Robert Redford,1980,Golden Globe,Best Director,true,Ordinary People
5602,David Lynch,1980,Golden Globe,Best Director,false,The Elephant Man
3556,Roman Polanski,1980,Golden Globe,Best Director,false,Tess
21806,Richard Rush,1980,Golden Globe,Best Director,false,The Stunt Man
