tmdb_id,nominee,year,festival,category,won,movie_title
2710,James Cameron,2009,Golden Globe,Best Director,true,Avatar
14392,Kathryn Bigelow,2009,Golden Globe,Best Director,false,The Hurt Locker
190,Clint Eastwood,2009,Golden Globe,Best Director,false,Invictus
52443,Jason Reitman,2009,Golden Globe,Best Director,false,Up in the Air
138,Quentin Tarantino,2009,Golden Globe,Best Director,false,Inglourious Basterds
1229,Jeff Bridges,2009,Golden Globe,Best Actor (Drama),true,Crazy Heart
1461,George Clooney,2009,Golden Globe,Best Actor (Drama),false,Up in the Air
5472,Colin Firth,2009,Golden Globe,Best Actor (Drama),false,A Single Man
192,Morgan Freeman,2009,Golden Globe,Best Actor (Drama),false,Invictus
2219,Tobey Maguire,2009,Golden Globe,Best Actor (Drama),false,Brothers
3223,Robert Downey Jr.,2009,Golden Globe,Best Actor (Comedy/Musical),true,Sherlock Holmes
1892,Matt Damon,2009,Golden Globe,Best Actor (Comedy/Musical),false,The Informant!
11856,Daniel Day-Lewis,2009,Golden Globe,Best Actor (Comedy/Musical),false,Nine
24045,Joseph Gordon-Levitt,2009,Golden Globe,Best Actor (Comedy/Musical),false,500 Days of Summer
72873,Michael Stuhlbarg,2009,Golden Globe,Best Actor (Comedy/Musical),false,A Serious Man
18277,Sandra Bullock,2009,Golden Globe,Best Actress (Drama),true,The Blind Side
5081,Emily Blunt,2009,Golden Globe,Best Actress (Drama),false,The Young Victoria
15735,Helen Mirren,2009,Golden Globe,Best Actress (Drama),false,The Last Station
36662,Carey Mulligan,2009,Golden Globe,Best Actress (Drama),false,An Education
109560,Gabourey Sidibe,2009,Golden Globe,Best Actress (Drama),false,Precious
5064,Meryl Streep,2009,Golden Globe,Best Actress (Comedy/Musical),true,Julie & Julia
18277,Sandra Bullock,2009,Golden Globe,Best Actress (Comedy/Musical),false,The Proposal
8293,Marion Cotillard,2009,Golden Globe,Best Actress (Comedy/Musical),false,Nine
1204,Julia Roberts,2009,Golden Globe,Best Actress (Comedy/Musical),false,Duplicity
5064,Meryl Streep,2009,Golden Globe,Best Actress (Comedy/Musical),false,It's Complicated
2034,Danny Boyle,2008,Golden Globe,Best Director,true,Slumdog Millionaire
468,Stephen Daldry,2008,Golden Globe,Best Director,false,The Reader
7467,David Fincher,2008,Golden Globe,Best Director,false,The Curious Case of Benjamin Button
6159,Ron Howard,2008,Golden Globe,Best Director,false,Frost/Nixon
39,Sam Mendes,2008,Golden Globe,Best Director,false,Revolutionary Road
2295,Mickey Rourke,2008,Golden Globe,Best Actor (Drama),true,The Wrestler
6193,Leonardo DiCaprio,2008,Golden Globe,Best Actor (Drama),false,Revolutionary Road
8924,Frank Langella,2008,Golden Globe,Best Actor (Drama),false,Frost/Nixon
287,Brad Pitt,2008,Golden Globe,Best Actor (Drama),false,The Curious Case of Benjamin Button
2228,Sean Penn,2008,Golden Globe,Best Actor (Drama),false,Milk
72466,Colin Farrell,2008,Golden Globe,Best Actor (Comedy/Musical),true,In Bruges
