tmdb_id,nominee,year,festival,category,won,movie_title
85895,Broderick Crawford,1950,Oscar,Best Actor,true,All the King's Men
2090,Kirk Douglas,1950,Oscar,Best Actor,false,Champion
8487,Gregory Peck,1950,Oscar,Best Actor,false,Twelve O'Clock High
20393,Richard Todd,1950,Oscar,Best Actor,false,The Hasty Heart
4165,John Wayne,1950,Oscar,Best Actor,false,Sands of Iwo Jima
8725,Olivia de Havilland,1950,Oscar,Best Actress,true,The Heiress
82170,Jeanne Crain,1950,Oscar,Best Actress,false,Pinky
30124,Susan Hayward,1950,Oscar,Best Actress,false,My Foolish Heart
20141,Deborah Kerr,1950,Oscar,Best Actress,false,Edward
10601,Joseph L. Mankiewicz,1950,Oscar,Best Director,true,A Letter to Three Wives
15378,Carol Reed,1950,Oscar,Best Director,false,The Fallen Idol
14875,Robert Rossen,1950,Oscar,Best Director,false,All the King's Men
14643,William A. Wellman,1950,Oscar,Best Director,false,Battleground
10001,William Wyler,1950,Oscar,Best Director,false,The Heiress
12515,José Ferrer,1951,Oscar,Best Actor,true,Cyrano de Bergerac
4343,Louis Calhern,1951,Oscar,Best Actor,false,The Magnificent Yankee
8252,William Holden,1951,Oscar,Best Actor,false,Sunset Boulevard
854,James Stewart,1951,Oscar,Best Actor,false,Harvey
12147,Spencer Tracy,1951,Oscar,Best Actor,false,Father of the Bride
85651,Judy Holliday,1951,Oscar,Best Actress,true,Born Yesterday
10606,Anne Baxter,1951,Oscar,Best Actress,false,All About Eve
3380,Bette Davis,1951,Oscar,Best Actress,false,All About Eve
7331,Eleanor Parker,1951,Oscar,Best Actress,false,Caged
8629,Gloria Swanson,1951,Oscar,Best Actress,false,Sunset Boulevard
18738,George Stevens,1951,Oscar,Best Director,true,A Place in the Sun
6593,John Huston,1951,Oscar,Best Director,false,The Asphalt Jungle
2746,Elia Kazan,1951,Oscar,Best Director,false,A Streetcar Named Desire
13980,Vincente Minnelli,1951,Oscar,Best Director,false,An American in Paris
10001,William Wyler,1951,Oscar,Best Director,false,Detective Story
12689,Ralph Richardson,1952,BAFTA,Best Actor,true,The Sound Barrier
3084,Marlon Brando,1952,BAFTA,Best Actor,true,Viva Zapata!
10018,Jack Hawkins,1952,BAFTA,Best Actor,false,Mandy
30769,James Hayter,1952,BAFTA,Best Actor,false,The Pickwick Papers
3359,Laurence Olivier,1952,BAFTA,Best Actor,false,Carrie
121003,Nigel Patrick,1952,BAFTA,Best Actor,false,The Sound Barrier
4110,Humphrey Bogart,1952,BAFTA,Best Actor,false,The African Queen
11546,Pierre Fresnay,1952,BAFTA,Best Actor,false,God Needs Men
592526,Francesco Golisano,1952,BAFTA,Best Actor,false,Miracle in Milan
13576,Fredric March,1952,BAFTA,Best Actor,false,Death of a Salesman
10538,Vivien Leigh,1952,BAFTA,Best Actress,true,A Streetcar Named Desire
12266,Simone Signoret,1952,BAFTA,Best Actress,true,Golden Helmet
89534,Phyllis Calvert,1952,BAFTA,Best Actress,false,Mandy
12725,Celia Johnson,1952,BAFTA,Best Actress,false,I Believe in You
100784,Ann Todd,1952,BAFTA,Best Actress,false,The Sound Barrier
39156,Edwige Feuillère,1952,BAFTA,Best Actress,false,Olivia
85651,Judy Holliday,1952,BAFTA,Best Actress,false,The Marrying Kind
4110,Humphrey Bogart,1952,Oscar,Best Actor,true,The African Queen
3084,Marlon Brando,1952,Oscar,Best Actor,false,A Streetcar Named Desire
12151,Montgomery Clift,1952,Oscar,Best Actor,false,A Place in the Sun
11128,Arthur Kennedy,1952,Oscar,Best Actor,false,Bright Victory
13576,Fredric March,1952,Oscar,Best Actor,false,Death of a Salesman
10538,Vivien Leigh,1952,Oscar,Best Actress,true,A Streetcar Named Desire
6598,Katharine Hepburn,1952,Oscar,Best Actress,false,The African Queen
7331,Eleanor Parker,1952,Oscar,Best Actress,false,Detective Story
7632,Shelley Winters,1952,Oscar,Best Actress,false,A Place in the Sun
20391,Jane Wyman,1952,Oscar,Best Actress,false,The Blue Veil
8500,John Ford,1952,Oscar,Best Director,true,The Quiet Man
6593,John Huston,1952,Oscar,Best Director,false,The African Queen
2746,Elia Kazan,1952,Oscar,Best Director,false,A Streetcar Named Desire
13980,Vincente Minnelli,1952,Oscar,Best Director,false,An American in Paris
10001,William Wyler,1952,Oscar,Best Director,false,Detective Story
11857,John Gielgud,1953,BAFTA,Best Actor,true,Julius Caesar
3084,Marlon Brando,1953,BAFTA,Best Actor,true,Julius Caesar
10018,Jack Hawkins,1953,BAFTA,Best Actor,false,The Cruel Sea
12726,Trevor Howard,1953,BAFTA,Best Actor,false,The Heart of the Matter
97426,Duncan Macrae,1953,BAFTA,Best Actor,false,The Kidnappers
67676,Kenneth More,1953,BAFTA,Best Actor,false,Genevieve
11998,Eddie Albert,1953,BAFTA,Best Actor,false,Roman Holiday
18803,Van Heflin,1953,BAFTA,Best Actor,false,Shane
150819,Claude Laydu,1953,BAFTA,Best Actor,false,Diary of a Country Priest
579732,Marcel Mouloudji,1953,BAFTA,Best Actor,false,We Are All Murderers
8487,Gregory Peck,1953,BAFTA,Best Actor,false,Roman Holiday
12147,Spencer Tracy,1953,BAFTA,Best Actor,false,The Actress
1932,Audrey Hepburn,1953,BAFTA,Best Actress,true,Roman Holiday
5320,Leslie Caron,1953,BAFTA,Best Actress,true,Lili
12725,Celia Johnson,1953,BAFTA,Best Actress,false,The Captain's Paradise
